Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2000-11-20,D,Tips Music Ord Shs,31.716474,31.716474,28.021934,28.591973,1800569.973169,0
2000-11-21,D,Tips Music Ord Shs,28.116226,28.519111,27.259024,27.889067,436829.993491,0
2000-11-22,D,Tips Music Ord Shs,28.279094,29.059148,26.573262,26.676126,394729.994118,0
2000-11-23,D,Tips Music Ord Shs,26.401822,26.401822,24.541693,25.80178,667659.990051,0
2000-11-24,D,Tips Music Ord Shs,25.968935,27.24188,25.50176,26.011795,946919.98589,0
2000-11-27,D,Tips Music Ord Shs,26.144661,26.744703,25.334605,26.568976,598609.99108,0
2000-11-28,D,Tips Music Ord Shs,26.401822,26.701842,25.71606,26.268955,5311219.920857,0
2000-11-29,D,Tips Music Ord Shs,26.316102,28.373386,26.144661,28.373386,3945839.941202,0
2000-11-30,D,Tips Music Ord Shs,29.230588,30.644972,29.230588,30.644972,702979.989525,0
2000-12-01,D,Tips Music Ord Shs,31.275015,32.487956,29.337739,31.185009,8655329.871026,0
2000-12-04,D,Tips Music Ord Shs,32.046497,32.046497,29.757768,30.280661,2456959.963388,0
2000-12-05,D,Tips Music Ord Shs,30.584968,31.802194,30.546393,30.833556,2520859.962436,0
2000-12-06,D,Tips Music Ord Shs,32.41938,33.002277,30.482103,30.683546,2058589.969325,0
2000-12-07,D,Tips Music Ord Shs,30.769266,33.13943,30.010642,33.13943,4792349.928588,0
2000-12-08,D,Tips Music Ord Shs,34.20236,35.659603,33.602319,34.339512,6079259.909412,0
2000-12-11,D,Tips Music Ord Shs,35.119566,35.745324,34.043778,35.346725,4644199.930796,0
2000-12-12,D,Tips Music Ord Shs,35.402443,35.831044,33.430878,34.069494,3460429.948436,0
2000-12-13,D,Tips Music Ord Shs,34.459521,36.722534,34.339512,36.332507,5823689.91322,0
2000-12-14,D,Tips Music Ord Shs,36.002484,36.431085,34.378086,34.665249,6225739.907229,0
2000-12-15,D,Tips Music Ord Shs,33.795189,34.20236,31.892201,31.892201,4034849.939876,0
2000-12-18,D,Tips Music Ord Shs,30.113506,30.374953,29.342025,29.757768,4184839.937641,0
2000-12-19,D,Tips Music Ord Shs,28.887708,31.099289,27.379032,27.47761,5623449.916204,0
2000-12-20,D,Tips Music Ord Shs,26.573262,28.287666,26.410394,27.486182,6291049.906256,0
2000-12-21,D,Tips Music Ord Shs,26.144661,27.001863,25.373179,25.848926,2025849.969812,0
2000-12-22,D,Tips Music Ord Shs,25.887501,26.401822,23.78307,23.787356,3020549.95499,0
2000-12-26,D,Tips Music Ord Shs,22.707281,22.801573,21.884367,21.884367,3945769.941203,0
2000-12-27,D,Tips Music Ord Shs,21.601491,22.793001,20.66714,21.232894,1036779.984551,0
2000-12-28,D,Tips Music Ord Shs,21.425764,22.887294,21.108599,22.372972,1387709.979322,0
2000-12-29,D,Tips Music Ord Shs,22.454407,22.793001,21.262896,22.090096,3087549.953992,0
2001-01-01,D,Tips Music Ord Shs,22.115812,23.860218,22.034378,23.808786,3435379.948809,0
2001-01-02,D,Tips Music Ord Shs,23.915936,24.430257,22.505839,23.093022,3240019.95172,0
2001-01-03,D,Tips Music Ord Shs,22.707281,23.478763,22.381544,22.655849,5385199.919754,0
2001-01-04,D,Tips Music Ord Shs,23.375899,23.993084,21.45148,22.308682,6539539.902553,0
2001-01-05,D,Tips Music Ord Shs,21.601491,22.458693,21.601491,22.06438,2199199.967229,0
2001-01-08,D,Tips Music Ord Shs,22.261536,22.261536,20.30283,20.30283,997439.985137,0
2001-01-09,D,Tips Music Ord Shs,18.678432,18.678432,18.678432,18.678432,158919.997632,1
2001-01-10,D,Tips Music Ord Shs,17.242618,19.047029,17.22976,17.349769,3188079.952494,0
2001-01-11,D,Tips Music Ord Shs,17.658361,17.872662,16.029678,16.248264,1509849.977501,0
2001-01-12,D,Tips Music Ord Shs,16.629719,16.869735,15.099613,15.656795,2371409.964663,0
2001-01-15,D,Tips Music Ord Shs,15.536786,15.751087,14.593864,14.838167,1432469.978655,0
2001-01-16,D,Tips Music Ord Shs,14.572434,15.331058,13.972393,14.379564,2495629.962812,0
2001-01-17,D,Tips Music Ord Shs,14.825309,15.5325,14.821023,15.5325,502199.992517,0
2001-01-18,D,Tips Music Ord Shs,16.029678,16.543999,15.5325,15.922527,5166549.923012,0
2001-01-19,D,Tips Music Ord Shs,15.879667,16.543999,15.523928,16.051108,2278239.966052,0
2001-01-22,D,Tips Music Ord Shs,15.849665,16.981172,15.643937,16.029678,4357539.935068,0
2001-01-23,D,Tips Music Ord Shs,15.858237,15.986817,14.838167,14.958175,2105359.968628,0
2001-01-24,D,Tips Music Ord Shs,15.429636,15.686797,14.928173,15.056753,1191859.98224,0
2001-01-25,D,Tips Music Ord Shs,15.193906,15.193906,14.152405,14.392422,1552569.976865,0
2001-01-29,D,Tips Music Ord Shs,13.929533,14.053827,13.372351,13.668086,853019.987289,0
2001-01-30,D,Tips Music Ord Shs,14.032397,14.615294,13.565222,14.435282,1662069.975233,0
2001-01-31,D,Tips Music Ord Shs,14.272413,15.515356,14.250983,15.031037,3700289.944861,0
2001-02-01,D,Tips Music Ord Shs,14.829595,15.21105,14.229553,14.7053,1039659.984508,0
2001-02-02,D,Tips Music Ord Shs,14.491,14.911029,14.358134,14.542432,790969.988214,0
2001-02-05,D,Tips Music Ord Shs,14.400994,14.658154,14.088115,14.208123,774099.988465,0
2001-02-06,D,Tips Music Ord Shs,14.233839,14.280985,13.509504,13.659514,1297509.980666,0
2001-02-07,D,Tips Music Ord Shs,13.972393,13.972393,13.548078,13.762378,813739.987874,0
2001-02-08,D,Tips Music Ord Shs,13.809524,14.272413,13.758092,14.096687,661029.99015,0
2001-02-09,D,Tips Music Ord Shs,14.002395,15.228194,14.002395,15.228194,949689.985849,0
2001-02-12,D,Tips Music Ord Shs,15.858237,16.449706,15.815377,16.449706,1762619.973735,0
2001-02-13,D,Tips Music Ord Shs,17.14404,17.765512,16.642577,16.899738,2625059.960884,0
2001-02-14,D,Tips Music Ord Shs,16.629719,16.758299,15.549644,16.239692,4413879.934228,0
2001-02-15,D,Tips Music Ord Shs,16.329698,16.801159,16.128256,16.501139,3740949.944256,0
2001-02-16,D,Tips Music Ord Shs,16.758299,17.14404,15.181048,15.36106,2357879.964865,0
2001-02-19,D,Tips Music Ord Shs,15.429636,15.986817,14.915315,15.609649,1185589.982333,0
2001-02-20,D,Tips Music Ord Shs,15.678225,16.111112,15.476782,15.695369,5482039.918311,0
2001-02-21,D,Tips Music Ord Shs,15.789661,15.943957,15.433922,15.661081,741299.988954,0
2001-02-22,D,Tips Music Ord Shs,15.438208,15.678225,15.001035,15.455352,543839.991896,0
2001-02-23,D,Tips Music Ord Shs,15.51107,15.721085,14.400994,14.57672,5169159.922974,0
2001-02-26,D,Tips Music Ord Shs,14.581006,14.581006,13.908103,13.993823,2608909.961124,0
2001-02-27,D,Tips Music Ord Shs,14.143833,14.143833,12.875174,12.875174,828979.987647,0
2001-02-28,D,Tips Music Ord Shs,12.429429,13.908103,12.279419,13.865242,774639.988457,0
2001-03-01,D,Tips Music Ord Shs,14.135261,14.508144,12.763738,12.905176,3757569.944008,0
2001-03-02,D,Tips Music Ord Shs,13.372351,13.372351,11.876534,11.876534,558609.991676,0
2001-03-05,D,Tips Music Ord Shs,11.143626,11.640803,10.929326,10.929326,759319.988685,0
2001-03-07,D,Tips Music Ord Shs,11.400787,11.632231,10.05498,10.282138,874579.986968,0
2001-03-08,D,Tips Music Ord Shs,10.123556,10.123556,9.459224,9.502084,341849.994906,0
2001-03-09,D,Tips Music Ord Shs,9.326358,9.326358,8.74346,9.146345,458889.993162,0
2001-03-12,D,Tips Music Ord Shs,8.7006,9.33493,8.52916,8.799179,490349.992693,0
2001-03-13,D,Tips Music Ord Shs,8.790607,8.790607,8.096273,8.096273,215229.996793,0
2001-03-14,D,Tips Music Ord Shs,7.453371,8.747746,7.453371,8.747746,175179.99739,0
2001-03-15,D,Tips Music Ord Shs,8.74346,9.343502,8.057699,8.970619,82279.998774,0
2001-03-16,D,Tips Music Ord Shs,8.57202,9.257782,8.271999,8.344862,1168169.982593,0
2001-03-19,D,Tips Music Ord Shs,8.151991,8.563448,7.68053,7.761964,411099.993874,0
2001-03-20,D,Tips Music Ord Shs,7.294789,7.629098,7.144779,7.157637,716029.98933,0
2001-03-21,D,Tips Music Ord Shs,6.716178,7.071917,6.587597,6.626172,978309.985422,0
2001-03-22,D,Tips Music Ord Shs,6.429015,6.81047,6.171854,6.244717,155799.997678,0
2001-03-23,D,Tips Music Ord Shs,6.291863,6.291863,5.747539,5.781828,89959.998659,0
2001-03-26,D,Tips Music Ord Shs,5.593243,6.244717,5.593243,5.880406,302199.995497,0
2001-03-27,D,Tips Music Ord Shs,5.957554,5.957554,5.567527,5.636103,367419.994525,0
2001-03-28,D,Tips Music Ord Shs,5.923266,6.09042,5.923266,6.09042,37059.999448,0
2001-03-29,D,Tips Music Ord Shs,6.171854,6.411871,5.743253,5.798972,180419.997312,0
2001-03-30,D,Tips Music Ord Shs,5.786114,5.786114,5.336082,5.340368,188549.99719,0
2001-04-02,D,Tips Music Ord Shs,5.014632,5.036062,4.916054,4.971772,85589.998725,0
2001-04-03,D,Tips Music Ord Shs,4.808903,5.267506,4.808903,5.100352,139309.997924,0
2001-04-04,D,Tips Music Ord Shs,5.348941,5.348941,4.697467,4.744613,153679.99771,0
2001-04-06,D,Tips Music Ord Shs,5.010346,5.057492,4.367444,4.367444,297339.995569,0
2001-04-09,D,Tips Music Ord Shs,4.28601,4.611747,4.204576,4.47888,111919.998332,0
2001-04-10,D,Tips Music Ord Shs,4.298868,4.410304,4.123142,4.123142,157299.997656,0
2001-04-11,D,Tips Music Ord Shs,4.123142,4.123142,3.793119,3.823121,1013719.984894,0
2001-04-12,D,Tips Music Ord Shs,3.763117,3.763117,3.518814,3.5231,157829.997648,0
2001-04-16,D,Tips Music Ord Shs,3.557388,3.805977,3.35166,3.454524,973479.985494,0
2001-04-17,D,Tips Music Ord Shs,3.591676,3.733115,3.428808,3.733115,588509.991231,0
2001-04-18,D,Tips Music Ord Shs,3.814549,4.033135,3.814549,4.033135,159319.997626,0
2001-04-19,D,Tips Music Ord Shs,4.358872,4.358872,4.358872,4.358872,30449.999546,1
2001-04-20,D,Tips Music Ord Shs,4.710325,4.710325,4.710325,4.710325,202869.996977,1
2001-04-23,D,Tips Music Ord Shs,5.031776,5.087494,4.928912,5.087494,389819.994191,0
2001-04-24,D,Tips Music Ord Shs,5.481807,5.494665,5.151784,5.494665,319839.995234,0
2001-04-25,D,Tips Music Ord Shs,5.936124,5.936124,5.936124,5.936124,62699.999066,1
2001-04-26,D,Tips Music Ord Shs,6.411871,6.411871,6.411871,6.411871,167039.997511,1
2001-04-27,D,Tips Music Ord Shs,6.686176,6.729036,5.901836,5.901836,1395839.9792,0
2001-04-30,D,Tips Music Ord Shs,5.83326,6.377583,5.430375,5.451805,797629.988114,0
2001-05-02,D,Tips Music Ord Shs,5.571813,5.888978,5.186072,5.846118,1178069.982445,0
2001-05-03,D,Tips Music Ord Shs,5.657533,5.858976,5.378943,5.378943,277399.995866,0
2001-05-04,D,Tips Music Ord Shs,5.143212,5.280364,4.950342,4.950342,584379.991292,0
2001-05-07,D,Tips Music Ord Shs,5.057492,5.293222,4.950342,5.04892,404729.993969,0
2001-05-08,D,Tips Music Ord Shs,5.143212,5.314652,4.928912,5.194644,545569.99187,0
2001-05-09,D,Tips Music Ord Shs,5.541811,5.571813,5.164642,5.237504,503239.992501,0
2001-05-10,D,Tips Music Ord Shs,5.207502,5.271792,5.061778,5.168928,108549.998382,0
2001-05-11,D,Tips Music Ord Shs,5.126068,5.143212,4.894623,4.98463,203619.996966,0
2001-05-14,D,Tips Music Ord Shs,4.843191,5.014632,4.838905,4.958914,83409.998757,0
2001-05-15,D,Tips Music Ord Shs,4.637463,5.357513,4.568887,5.357513,850219.987331,0
2001-05-16,D,Tips Music Ord Shs,5.786114,5.786114,5.271792,5.370371,715879.989333,0
2001-05-17,D,Tips Music Ord Shs,5.554669,5.554669,5.301794,5.361799,292819.995637,0
2001-05-18,D,Tips Music Ord Shs,5.473235,5.730395,5.357513,5.558955,789719.988232,0
2001-05-21,D,Tips Music Ord Shs,5.571813,6.0047,5.533239,6.0047,859009.9872,0
2001-05-22,D,Tips Music Ord Shs,6.291863,6.484733,6.184712,6.484733,835229.987554,0
2001-05-23,D,Tips Music Ord Shs,6.677604,7.00334,6.677604,7.00334,618229.990788,0
2001-05-24,D,Tips Music Ord Shs,7.53052,7.564808,6.686176,7.093347,2977149.955637,0
2001-05-25,D,Tips Music Ord Shs,6.857616,7.663386,6.78904,7.466229,2225829.966833,0
2001-05-28,D,Tips Music Ord Shs,7.834826,8.066271,7.286217,8.066271,2082239.968972,0
2001-05-29,D,Tips Music Ord Shs,8.640596,8.713458,8.314859,8.713458,1754259.973859,0
2001-05-30,D,Tips Music Ord Shs,9.322072,9.412078,8.790607,9.039195,5910949.91192,0
2001-05-31,D,Tips Music Ord Shs,8.829181,9.172061,8.319145,8.516302,5683279.915313,0
2001-06-01,D,Tips Music Ord Shs,8.4863,8.820609,8.027697,8.121989,3178249.95264,0
2001-06-04,D,Tips Music Ord Shs,8.263427,8.683456,7.843398,7.933405,2864449.957316,0
2001-06-05,D,Tips Music Ord Shs,7.886258,8.130561,7.359079,7.483374,3208669.952187,0
2001-06-06,D,Tips Music Ord Shs,7.929119,7.950549,7.539092,7.607668,2205589.967134,0
2001-06-07,D,Tips Music Ord Shs,7.556236,7.646242,6.999054,7.157637,1466439.978148,0
2001-06-08,D,Tips Music Ord Shs,7.209069,7.731962,6.87476,7.731962,3683089.945118,0
2001-06-11,D,Tips Music Ord Shs,7.886258,8.353434,7.714818,8.314859,8230409.877357,0
2001-06-12,D,Tips Music Ord Shs,8.229139,8.983477,8.143419,8.983477,7574319.887134,0
2001-06-13,D,Tips Music Ord Shs,9.129201,9.54923,8.494872,9.129201,15605049.767467,1
2001-06-14,D,Tips Music Ord Shs,8.914901,9.077769,8.40058,8.469156,8057559.879933,0
2001-06-15,D,Tips Music Ord Shs,8.314859,8.314859,7.791966,7.791966,4827909.928059,0
2001-06-18,D,Tips Music Ord Shs,7.466229,8.417724,7.277645,8.314859,12936909.807225,0
2001-06-19,D,Tips Music Ord Shs,8.314859,8.649168,7.667672,7.877686,14935999.777436,0
2001-06-20,D,Tips Music Ord Shs,7.971979,7.971979,7.286217,7.483374,20592509.693148,0
2001-06-21,D,Tips Music Ord Shs,7.414797,7.414797,6.887618,6.909048,8559439.872454,0
2001-06-22,D,Tips Music Ord Shs,6.686176,6.70332,6.356153,6.454731,11064889.83512,0
2001-06-25,D,Tips Music Ord Shs,6.257575,6.403299,5.94041,6.051846,5417369.919275,0
2001-06-26,D,Tips Music Ord Shs,5.828974,6.471875,5.786114,6.180426,9425539.859549,0
2001-06-27,D,Tips Music Ord Shs,6.257575,6.287577,5.871834,5.966126,5548589.91732,0
