Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-05-10,D,Thirumalai Chemicals Ord Shs,17.8,17.8,17.5,17.6,4999.999925,0
1995-05-12,D,Thirumalai Chemicals Ord Shs,17.485,17.485,17.2,17.2,14499.999784,0
1995-05-15,D,Thirumalai Chemicals Ord Shs,17.0,17.125,17.0,17.0,6499.999903,1
1995-05-16,D,Thirumalai Chemicals Ord Shs,16.5,17.0,16.5,17.0,8499.999873,0
1995-05-17,D,Thirumalai Chemicals Ord Shs,17.0,17.2,16.9,17.165,33499.999501,0
1995-05-18,D,Thirumalai Chemicals Ord Shs,17.2,18.5,17.2,18.5,45999.999315,0
1995-05-19,D,Thirumalai Chemicals Ord Shs,18.6,18.6,18.4,18.4,32499.999516,0
1995-05-22,D,Thirumalai Chemicals Ord Shs,18.0,18.2,17.7,17.885,52499.999218,0
1995-05-23,D,Thirumalai Chemicals Ord Shs,17.8,17.8,17.75,17.78,54999.99918,0
1995-05-24,D,Thirumalai Chemicals Ord Shs,18.0,18.0,17.55,17.8,19499.999709,0
1995-05-25,D,Thirumalai Chemicals Ord Shs,17.25,17.6,17.25,17.35,8999.999866,0
1995-05-26,D,Thirumalai Chemicals Ord Shs,17.3,17.4,17.3,17.4,8499.999873,0
1995-05-29,D,Thirumalai Chemicals Ord Shs,17.4,17.5,17.3,17.325,7499.999888,0
1995-05-30,D,Thirumalai Chemicals Ord Shs,17.375,17.375,16.5,16.86,18499.999724,0
1995-05-31,D,Thirumalai Chemicals Ord Shs,16.7,17.675,16.7,17.675,163499.997564,0
1995-06-01,D,Thirumalai Chemicals Ord Shs,17.8,17.8,17.8,17.8,2999.999955,1
1995-06-02,D,Thirumalai Chemicals Ord Shs,17.3,17.5,17.3,17.4,8999.999866,0
1995-06-05,D,Thirumalai Chemicals Ord Shs,17.3,17.6,17.2,17.5,27499.99959,0
1995-06-06,D,Thirumalai Chemicals Ord Shs,17.5,17.5,17.3,17.3,1999.99997,0
1995-06-07,D,Thirumalai Chemicals Ord Shs,17.4,17.6,17.4,17.51,2499.999963,0
1995-06-08,D,Thirumalai Chemicals Ord Shs,17.32,17.6,17.32,17.6,5499.999918,0
1995-06-09,D,Thirumalai Chemicals Ord Shs,17.46,17.6,17.46,17.6,6499.999903,0
1995-06-12,D,Thirumalai Chemicals Ord Shs,17.5,17.55,17.5,17.515,18999.999717,0
1995-06-13,D,Thirumalai Chemicals Ord Shs,17.3,17.325,17.3,17.3,18499.999724,1
1995-06-14,D,Thirumalai Chemicals Ord Shs,17.0,17.3,17.0,17.3,4499.999933,0
1995-06-15,D,Thirumalai Chemicals Ord Shs,16.9,17.1,16.805,17.1,32499.999516,0
1995-06-16,D,Thirumalai Chemicals Ord Shs,17.1,17.3,17.1,17.3,3999.99994,0
1995-06-19,D,Thirumalai Chemicals Ord Shs,17.8,18.8,17.8,18.56,65499.999024,0
1995-06-20,D,Thirumalai Chemicals Ord Shs,18.5,19.2,18.5,19.11,29999.999553,0
1995-06-21,D,Thirumalai Chemicals Ord Shs,19.5,20.5,19.1,19.215,95499.998577,0
1995-06-22,D,Thirumalai Chemicals Ord Shs,20.8,20.8,19.35,19.595,105999.99842,0
1995-06-23,D,Thirumalai Chemicals Ord Shs,19.8,19.8,19.4,19.425,19999.999702,0
1995-06-26,D,Thirumalai Chemicals Ord Shs,19.25,19.25,18.65,18.65,21499.99968,0
1995-06-27,D,Thirumalai Chemicals Ord Shs,18.5,18.89,18.3,18.675,108499.998383,0
1995-06-28,D,Thirumalai Chemicals Ord Shs,18.51,19.0,18.5,19.0,34499.999486,0
1995-06-29,D,Thirumalai Chemicals Ord Shs,19.19,19.2,18.715,19.1,25499.99962,0
1995-06-30,D,Thirumalai Chemicals Ord Shs,18.31,18.675,18.3,18.375,7499.999888,0
1995-07-03,D,Thirumalai Chemicals Ord Shs,18.8,19.3,18.405,19.055,99499.998517,0
1995-07-04,D,Thirumalai Chemicals Ord Shs,18.8,18.975,18.55,18.945,57999.999136,0
1995-07-05,D,Thirumalai Chemicals Ord Shs,18.6,18.8,18.5,18.505,33999.999493,0
1995-07-06,D,Thirumalai Chemicals Ord Shs,18.595,18.6,18.2,18.29,33499.999501,0
1995-07-07,D,Thirumalai Chemicals Ord Shs,18.3,18.6,18.3,18.45,11499.999829,0
1995-07-10,D,Thirumalai Chemicals Ord Shs,18.6,18.7,18.3,18.5,7499.999888,0
1995-07-11,D,Thirumalai Chemicals Ord Shs,18.5,18.5,18.05,18.1,39999.999404,0
1995-07-12,D,Thirumalai Chemicals Ord Shs,18.7,18.84,18.61,18.84,20999.999687,0
1995-07-13,D,Thirumalai Chemicals Ord Shs,18.8,19.2,18.795,19.165,16499.999754,0
1995-07-14,D,Thirumalai Chemicals Ord Shs,19.495,20.125,19.495,19.95,19499.999709,0
1995-07-17,D,Thirumalai Chemicals Ord Shs,20.45,20.8,20.3,20.73,52499.999218,0
1995-07-18,D,Thirumalai Chemicals Ord Shs,21.2,21.35,20.8,21.245,44999.999329,0
1995-07-19,D,Thirumalai Chemicals Ord Shs,21.25,21.495,21.03,21.485,34499.999486,0
1995-07-20,D,Thirumalai Chemicals Ord Shs,21.975,23.0,21.8,22.4,74999.998882,0
1995-07-21,D,Thirumalai Chemicals Ord Shs,22.895,22.895,22.29,22.5,49499.999262,0
1995-07-24,D,Thirumalai Chemicals Ord Shs,22.4,22.6,22.25,22.455,66499.999009,0
1995-07-25,D,Thirumalai Chemicals Ord Shs,22.5,22.5,22.1,22.36,26999.999598,0
