Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-09-15,D,Tamilnad Mercantile Bank Ord Shs,495.0,515.0,481.0,509.65,2143945,0
2022-09-16,D,Tamilnad Mercantile Bank Ord Shs,505.0,505.0,492.6,493.7,215374,0
2022-09-19,D,Tamilnad Mercantile Bank Ord Shs,494.75,499.0,489.0,497.15,140252,0
2022-09-20,D,Tamilnad Mercantile Bank Ord Shs,497.15,509.9,490.0,493.45,171893,0
2022-09-21,D,Tamilnad Mercantile Bank Ord Shs,495.0,505.0,490.0,493.2,201612,0
2022-09-22,D,Tamilnad Mercantile Bank Ord Shs,493.2,499.0,492.6,493.7,82122,0
2022-09-23,D,Tamilnad Mercantile Bank Ord Shs,495.95,496.35,486.5,490.1,100865,0
2022-09-26,D,Tamilnad Mercantile Bank Ord Shs,489.95,489.95,478.25,482.3,101873,0
2022-09-27,D,Tamilnad Mercantile Bank Ord Shs,488.0,488.0,480.0,480.95,61227,0
2022-09-28,D,Tamilnad Mercantile Bank Ord Shs,480.95,483.3,475.0,476.4,55243,0
2022-09-29,D,Tamilnad Mercantile Bank Ord Shs,487.5,489.8,476.1,481.65,64806,0
2022-09-30,D,Tamilnad Mercantile Bank Ord Shs,481.65,484.0,475.05,478.45,38768,0
2022-10-03,D,Tamilnad Mercantile Bank Ord Shs,482.55,483.45,473.5,474.5,47950,0
2022-10-04,D,Tamilnad Mercantile Bank Ord Shs,476.95,482.35,471.5,473.45,47965,0
2022-10-06,D,Tamilnad Mercantile Bank Ord Shs,479.1,482.65,474.8,480.25,45865,0
2022-10-07,D,Tamilnad Mercantile Bank Ord Shs,482.0,482.0,475.0,476.65,29209,0
2022-10-10,D,Tamilnad Mercantile Bank Ord Shs,480.0,480.0,470.0,470.9,47816,0
2022-10-11,D,Tamilnad Mercantile Bank Ord Shs,471.0,476.45,469.0,469.7,32487,0
2022-10-12,D,Tamilnad Mercantile Bank Ord Shs,468.0,471.05,464.45,467.0,85227,0
2022-10-13,D,Tamilnad Mercantile Bank Ord Shs,468.0,469.65,463.55,465.45,65116,0
2022-10-14,D,Tamilnad Mercantile Bank Ord Shs,467.85,474.85,465.0,466.15,51978,0
2022-10-17,D,Tamilnad Mercantile Bank Ord Shs,468.0,494.6,465.0,475.65,131322,0
2022-10-18,D,Tamilnad Mercantile Bank Ord Shs,479.3,490.0,476.35,486.05,63348,0
2022-10-19,D,Tamilnad Mercantile Bank Ord Shs,486.5,502.0,483.95,498.4,117064,0
2022-10-20,D,Tamilnad Mercantile Bank Ord Shs,500.0,500.0,481.1,485.35,48288,0
2022-10-21,D,Tamilnad Mercantile Bank Ord Shs,486.0,494.4,481.0,483.15,29622,0
2022-10-24,D,Tamilnad Mercantile Bank Ord Shs,494.0,494.0,483.5,490.15,13949,0
2022-10-25,D,Tamilnad Mercantile Bank Ord Shs,492.0,493.4,484.05,487.15,25312,0
2022-10-27,D,Tamilnad Mercantile Bank Ord Shs,488.0,537.65,487.15,514.35,593555,0
2022-10-28,D,Tamilnad Mercantile Bank Ord Shs,522.0,525.0,498.05,507.75,143964,0
2022-10-31,D,Tamilnad Mercantile Bank Ord Shs,510.95,513.95,501.0,503.0,79569,0
2022-11-01,D,Tamilnad Mercantile Bank Ord Shs,503.5,511.0,503.35,504.95,35234,0
2022-11-02,D,Tamilnad Mercantile Bank Ord Shs,503.0,504.95,493.6,494.65,63561,0
2022-11-03,D,Tamilnad Mercantile Bank Ord Shs,494.65,514.6,492.4,502.5,83741,0
2022-11-04,D,Tamilnad Mercantile Bank Ord Shs,502.5,511.45,501.0,505.85,53774,0
2022-11-07,D,Tamilnad Mercantile Bank Ord Shs,511.45,526.9,506.45,509.9,197647,0
2022-11-09,D,Tamilnad Mercantile Bank Ord Shs,512.0,518.6,506.15,508.5,103488,0
2022-11-10,D,Tamilnad Mercantile Bank Ord Shs,509.0,511.95,500.15,506.95,55708,0
2022-11-11,D,Tamilnad Mercantile Bank Ord Shs,512.0,516.5,491.55,501.95,78811,0
2022-11-14,D,Tamilnad Mercantile Bank Ord Shs,504.0,508.2,500.0,503.75,53761,0
2022-11-15,D,Tamilnad Mercantile Bank Ord Shs,503.5,507.45,502.8,504.0,23677,0
2022-11-16,D,Tamilnad Mercantile Bank Ord Shs,508.0,509.5,500.0,502.15,34580,0
2022-11-17,D,Tamilnad Mercantile Bank Ord Shs,500.15,510.5,500.15,509.8,118103,0
2022-11-18,D,Tamilnad Mercantile Bank Ord Shs,509.45,514.3,505.0,510.6,57353,0
2022-11-21,D,Tamilnad Mercantile Bank Ord Shs,512.75,525.0,508.1,510.0,240335,0
2022-11-22,D,Tamilnad Mercantile Bank Ord Shs,509.0,513.6,506.1,508.65,578808,0
2022-11-23,D,Tamilnad Mercantile Bank Ord Shs,512.9,512.9,505.0,507.3,41073,0
2022-11-24,D,Tamilnad Mercantile Bank Ord Shs,512.4,512.4,505.05,507.2,45300,0
2022-11-25,D,Tamilnad Mercantile Bank Ord Shs,508.45,518.1,505.0,510.05,139484,0
2022-11-28,D,Tamilnad Mercantile Bank Ord Shs,507.0,512.7,506.5,510.05,45850,0
2022-11-29,D,Tamilnad Mercantile Bank Ord Shs,513.3,513.3,506.3,507.3,31723,0
2022-11-30,D,Tamilnad Mercantile Bank Ord Shs,509.9,511.45,507.35,509.9,33986,1
2022-12-01,D,Tamilnad Mercantile Bank Ord Shs,518.5,548.5,517.3,528.75,778679,0
2022-12-02,D,Tamilnad Mercantile Bank Ord Shs,530.0,532.45,520.05,521.1,72437,0
2022-12-05,D,Tamilnad Mercantile Bank Ord Shs,523.45,530.0,515.1,522.2,51363,0
2022-12-06,D,Tamilnad Mercantile Bank Ord Shs,516.25,523.55,498.0,511.15,88458,0
2022-12-07,D,Tamilnad Mercantile Bank Ord Shs,511.15,517.75,510.3,515.65,33507,0
2022-12-08,D,Tamilnad Mercantile Bank Ord Shs,525.0,529.8,511.0,513.2,92381,0
2022-12-09,D,Tamilnad Mercantile Bank Ord Shs,519.0,519.0,510.0,512.9,49771,0
2022-12-12,D,Tamilnad Mercantile Bank Ord Shs,516.75,518.95,510.1,512.6,150892,0
2022-12-13,D,Tamilnad Mercantile Bank Ord Shs,513.0,524.6,507.5,521.1,171040,0
2022-12-14,D,Tamilnad Mercantile Bank Ord Shs,524.35,529.0,512.35,520.55,123205,0
2022-12-15,D,Tamilnad Mercantile Bank Ord Shs,525.0,526.7,512.7,513.5,130363,0
2022-12-16,D,Tamilnad Mercantile Bank Ord Shs,513.5,514.55,508.1,508.95,150055,0
2022-12-19,D,Tamilnad Mercantile Bank Ord Shs,509.0,513.85,501.7,503.55,116152,0
2022-12-20,D,Tamilnad Mercantile Bank Ord Shs,502.3,511.95,501.8,505.1,197361,0
2022-12-21,D,Tamilnad Mercantile Bank Ord Shs,507.5,510.2,491.35,493.4,147657,0
2022-12-22,D,Tamilnad Mercantile Bank Ord Shs,498.5,499.85,486.5,496.7,111304,0
2022-12-23,D,Tamilnad Mercantile Bank Ord Shs,497.0,497.0,481.6,483.4,75194,0
2022-12-26,D,Tamilnad Mercantile Bank Ord Shs,483.5,493.25,477.85,482.4,78651,0
2022-12-27,D,Tamilnad Mercantile Bank Ord Shs,487.8,490.0,483.4,484.95,32586,0
2022-12-28,D,Tamilnad Mercantile Bank Ord Shs,487.9,488.7,480.5,481.2,70234,0
2022-12-29,D,Tamilnad Mercantile Bank Ord Shs,486.7,486.7,478.15,479.1,36884,0
2022-12-30,D,Tamilnad Mercantile Bank Ord Shs,480.0,484.0,475.0,478.6,72140,0
2023-01-02,D,Tamilnad Mercantile Bank Ord Shs,487.55,487.55,477.3,478.05,65336,0
2023-01-03,D,Tamilnad Mercantile Bank Ord Shs,481.9,485.65,479.05,483.7,82224,0
2023-01-04,D,Tamilnad Mercantile Bank Ord Shs,484.75,487.75,478.2,482.4,97125,0
2023-01-05,D,Tamilnad Mercantile Bank Ord Shs,482.9,483.85,476.25,481.35,63906,0
2023-01-06,D,Tamilnad Mercantile Bank Ord Shs,482.0,482.0,475.0,479.6,33810,0
2023-01-09,D,Tamilnad Mercantile Bank Ord Shs,487.3,487.3,479.0,480.45,54440,0
2023-01-10,D,Tamilnad Mercantile Bank Ord Shs,484.95,484.95,478.0,479.9,32309,0
2023-01-11,D,Tamilnad Mercantile Bank Ord Shs,485.45,485.8,478.1,480.7,52333,0
2023-01-12,D,Tamilnad Mercantile Bank Ord Shs,485.0,485.0,478.65,479.9,44086,0
2023-01-13,D,Tamilnad Mercantile Bank Ord Shs,484.9,484.9,479.5,480.85,32519,0
2023-01-16,D,Tamilnad Mercantile Bank Ord Shs,482.0,483.0,478.5,480.3,20806,0
2023-01-17,D,Tamilnad Mercantile Bank Ord Shs,482.0,485.9,477.75,479.85,36039,0
2023-01-18,D,Tamilnad Mercantile Bank Ord Shs,482.0,482.0,475.95,476.95,27785,0
2023-01-19,D,Tamilnad Mercantile Bank Ord Shs,479.55,479.55,475.25,476.75,34677,0
2023-01-20,D,Tamilnad Mercantile Bank Ord Shs,480.95,481.55,476.5,478.55,41144,0
2023-01-23,D,Tamilnad Mercantile Bank Ord Shs,480.55,488.55,475.2,479.1,100932,0
2023-01-24,D,Tamilnad Mercantile Bank Ord Shs,479.1,483.05,479.1,481.05,32665,0
2023-01-25,D,Tamilnad Mercantile Bank Ord Shs,480.0,482.95,475.1,479.0,51735,0
2023-01-27,D,Tamilnad Mercantile Bank Ord Shs,480.0,480.0,468.0,472.75,49734,0
2023-01-30,D,Tamilnad Mercantile Bank Ord Shs,473.25,475.05,467.0,469.7,34753,0
2023-01-31,D,Tamilnad Mercantile Bank Ord Shs,478.8,478.8,468.0,470.1,42854,0
2023-02-01,D,Tamilnad Mercantile Bank Ord Shs,475.5,477.8,468.3,470.4,27042,0
2023-02-02,D,Tamilnad Mercantile Bank Ord Shs,475.0,475.0,465.3,469.35,31302,0
2023-02-03,D,Tamilnad Mercantile Bank Ord Shs,470.5,472.35,466.2,470.4,22201,0
2023-02-06,D,Tamilnad Mercantile Bank Ord Shs,470.4,475.4,467.3,472.0,21665,0
2023-02-07,D,Tamilnad Mercantile Bank Ord Shs,470.0,472.55,460.4,461.2,104966,0
2023-02-08,D,Tamilnad Mercantile Bank Ord Shs,465.0,469.45,462.0,465.05,198703,0
2023-02-09,D,Tamilnad Mercantile Bank Ord Shs,469.5,469.5,454.0,455.15,147619,0
2023-02-10,D,Tamilnad Mercantile Bank Ord Shs,457.0,460.9,451.25,458.9,484995,0
2023-02-13,D,Tamilnad Mercantile Bank Ord Shs,464.9,464.9,456.5,458.55,21991,0
2023-02-14,D,Tamilnad Mercantile Bank Ord Shs,464.4,464.4,455.0,457.05,28573,0
2023-02-15,D,Tamilnad Mercantile Bank Ord Shs,460.5,460.55,423.0,430.85,277713,0
2023-02-16,D,Tamilnad Mercantile Bank Ord Shs,440.0,452.6,437.3,446.4,116916,0
2023-02-17,D,Tamilnad Mercantile Bank Ord Shs,449.0,452.5,440.5,443.75,119702,0
2023-02-20,D,Tamilnad Mercantile Bank Ord Shs,452.0,454.7,445.95,451.75,53706,0
2023-02-21,D,Tamilnad Mercantile Bank Ord Shs,455.5,458.95,450.55,455.4,40272,0
2023-02-22,D,Tamilnad Mercantile Bank Ord Shs,460.0,460.0,450.45,455.5,40906,0
2023-02-23,D,Tamilnad Mercantile Bank Ord Shs,460.5,460.5,453.0,457.35,19288,0
2023-02-24,D,Tamilnad Mercantile Bank Ord Shs,458.95,458.95,450.0,454.2,25092,0
2023-02-27,D,Tamilnad Mercantile Bank Ord Shs,454.5,456.0,450.0,453.2,18978,0
2023-02-28,D,Tamilnad Mercantile Bank Ord Shs,455.0,457.7,449.45,452.7,18287,0
2023-03-01,D,Tamilnad Mercantile Bank Ord Shs,452.85,456.25,449.8,451.95,26868,0
2023-03-02,D,Tamilnad Mercantile Bank Ord Shs,451.95,454.95,448.0,450.7,23459,0
2023-03-03,D,Tamilnad Mercantile Bank Ord Shs,450.7,455.25,450.15,451.7,12607,0
2023-03-06,D,Tamilnad Mercantile Bank Ord Shs,455.45,455.45,450.55,454.6,16937,0
2023-03-08,D,Tamilnad Mercantile Bank Ord Shs,456.0,458.0,451.7,455.4,25062,0
2023-03-09,D,Tamilnad Mercantile Bank Ord Shs,458.0,458.65,452.1,455.9,18414,0
2023-03-10,D,Tamilnad Mercantile Bank Ord Shs,458.65,460.0,450.8,453.35,47406,0
2023-03-13,D,Tamilnad Mercantile Bank Ord Shs,448.15,453.3,428.0,428.8,256117,0
2023-03-14,D,Tamilnad Mercantile Bank Ord Shs,433.0,435.4,417.25,430.2,163946,0
2023-03-15,D,Tamilnad Mercantile Bank Ord Shs,438.0,438.0,425.45,432.25,223367,0
2023-03-16,D,Tamilnad Mercantile Bank Ord Shs,432.35,432.35,418.0,423.75,250914,0
2023-03-17,D,Tamilnad Mercantile Bank Ord Shs,428.5,428.5,421.0,424.9,193965,0
2023-03-20,D,Tamilnad Mercantile Bank Ord Shs,424.9,424.9,415.1,416.4,129754,0
2023-03-21,D,Tamilnad Mercantile Bank Ord Shs,421.9,421.9,416.0,416.4,62031,0
2023-03-22,D,Tamilnad Mercantile Bank Ord Shs,417.0,418.55,414.0,415.1,84239,0
2023-03-23,D,Tamilnad Mercantile Bank Ord Shs,424.9,424.9,413.5,414.85,94979,0
2023-03-24,D,Tamilnad Mercantile Bank Ord Shs,419.0,419.0,413.0,414.05,69050,0
2023-03-27,D,Tamilnad Mercantile Bank Ord Shs,417.0,417.0,408.45,412.45,103152,0
2023-03-28,D,Tamilnad Mercantile Bank Ord Shs,409.0,415.95,404.0,405.05,107548,0
2023-03-29,D,Tamilnad Mercantile Bank Ord Shs,410.9,410.9,399.0,403.15,130155,0
2023-03-31,D,Tamilnad Mercantile Bank Ord Shs,411.0,411.0,399.0,407.6,119991,0
2023-04-03,D,Tamilnad Mercantile Bank Ord Shs,416.8,416.8,403.7,404.5,75968,0
