Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-08-07,D,Total Transport Systems Ord Shs,54.0,54.0,54.0,54.0,42000,1
2017-08-08,D,Total Transport Systems Ord Shs,64.8,64.8,50.2,52.8,2736000,0
2017-08-09,D,Total Transport Systems Ord Shs,51.35,55.9,51.0,51.85,330000,0
2017-08-10,D,Total Transport Systems Ord Shs,51.55,52.5,45.0,46.5,432000,0
2017-08-11,D,Total Transport Systems Ord Shs,45.15,48.8,45.15,47.35,144000,0
2017-08-14,D,Total Transport Systems Ord Shs,47.25,48.8,46.7,47.45,63000,0
2017-08-16,D,Total Transport Systems Ord Shs,48.95,49.55,48.3,49.25,117000,0
2017-08-17,D,Total Transport Systems Ord Shs,49.9,49.9,48.6,49.0,30000,0
2017-08-18,D,Total Transport Systems Ord Shs,47.6,47.65,46.85,46.9,24000,0
2017-08-21,D,Total Transport Systems Ord Shs,47.0,47.15,45.0,45.95,39000,0
2017-08-22,D,Total Transport Systems Ord Shs,46.0,46.0,44.15,44.55,51000,0
2017-08-23,D,Total Transport Systems Ord Shs,46.0,46.5,45.0,46.0,63000,1
2017-08-24,D,Total Transport Systems Ord Shs,45.55,45.55,45.25,45.25,12000,0
2017-08-28,D,Total Transport Systems Ord Shs,45.1,45.1,43.1,43.9,21000,0
2017-08-29,D,Total Transport Systems Ord Shs,43.6,45.2,43.6,43.65,12000,0
2017-08-30,D,Total Transport Systems Ord Shs,44.1,45.8,43.5,45.7,54000,0
2017-08-31,D,Total Transport Systems Ord Shs,45.5,46.1,45.0,46.1,21000,0
2017-09-01,D,Total Transport Systems Ord Shs,47.25,55.3,47.25,55.3,294000,0
2017-09-04,D,Total Transport Systems Ord Shs,60.0,63.3,54.0,54.7,366000,0
2017-09-05,D,Total Transport Systems Ord Shs,57.8,57.8,54.2,54.8,51000,0
2017-09-06,D,Total Transport Systems Ord Shs,52.5,54.0,52.5,54.0,24000,0
2017-09-07,D,Total Transport Systems Ord Shs,52.6,54.2,52.6,54.2,6000,0
2017-09-08,D,Total Transport Systems Ord Shs,52.6,52.6,50.0,50.0,30000,0
2017-09-11,D,Total Transport Systems Ord Shs,51.45,52.35,50.0,50.15,30000,0
2017-09-12,D,Total Transport Systems Ord Shs,49.85,50.95,49.85,50.0,24000,0
2017-09-13,D,Total Transport Systems Ord Shs,51.0,51.0,48.15,49.9,18000,0
2017-09-14,D,Total Transport Systems Ord Shs,50.5,50.5,48.5,48.5,12000,0
2017-09-15,D,Total Transport Systems Ord Shs,48.05,49.5,47.5,47.8,45000,0
2017-09-18,D,Total Transport Systems Ord Shs,48.0,48.5,48.0,48.3,24000,0
2017-09-19,D,Total Transport Systems Ord Shs,48.9,49.0,48.4,48.4,9000,0
2017-09-20,D,Total Transport Systems Ord Shs,50.4,50.4,48.0,48.0,21000,0
2017-09-21,D,Total Transport Systems Ord Shs,46.95,46.95,46.3,46.85,18000,0
2017-09-22,D,Total Transport Systems Ord Shs,47.0,47.0,45.25,45.55,42000,0
2017-09-25,D,Total Transport Systems Ord Shs,45.1,45.8,44.75,45.2,30000,0
2017-09-26,D,Total Transport Systems Ord Shs,45.0,45.0,44.9,44.9,6000,0
2017-09-27,D,Total Transport Systems Ord Shs,46.45,46.45,44.55,44.55,12000,0
2017-09-28,D,Total Transport Systems Ord Shs,43.05,45.0,43.05,44.7,18000,0
2017-09-29,D,Total Transport Systems Ord Shs,45.05,46.2,45.0,45.0,15000,0
2017-10-04,D,Total Transport Systems Ord Shs,43.8,45.0,43.8,45.0,18000,0
2017-10-05,D,Total Transport Systems Ord Shs,44.0,44.0,44.0,44.0,3000,1
2017-10-06,D,Total Transport Systems Ord Shs,45.0,46.0,44.05,45.5,21000,0
2017-10-09,D,Total Transport Systems Ord Shs,44.15,45.3,43.1,43.35,30000,0
2017-10-10,D,Total Transport Systems Ord Shs,44.25,44.25,43.55,43.55,9000,0
2017-10-11,D,Total Transport Systems Ord Shs,44.5,44.5,43.0,43.5,12000,0
2017-10-12,D,Total Transport Systems Ord Shs,43.1,44.5,43.1,43.75,24000,0
2017-10-13,D,Total Transport Systems Ord Shs,43.65,43.65,43.4,43.4,6000,0
2017-10-16,D,Total Transport Systems Ord Shs,43.1,44.0,43.0,44.0,9000,0
2017-10-17,D,Total Transport Systems Ord Shs,43.0,43.0,43.0,43.0,3000,1
2017-10-18,D,Total Transport Systems Ord Shs,44.0,44.0,44.0,44.0,3000,1
2017-10-19,D,Total Transport Systems Ord Shs,44.9,45.0,44.9,44.95,6000,0
2017-10-24,D,Total Transport Systems Ord Shs,44.5,45.25,44.0,45.0,18000,0
2017-10-25,D,Total Transport Systems Ord Shs,45.5,46.0,45.0,45.0,9000,0
2017-10-26,D,Total Transport Systems Ord Shs,45.0,45.0,43.0,43.0,27000,0
2017-10-27,D,Total Transport Systems Ord Shs,43.0,43.0,41.4,41.65,30000,0
2017-10-30,D,Total Transport Systems Ord Shs,43.0,43.0,42.0,42.0,12000,0
2017-10-31,D,Total Transport Systems Ord Shs,42.0,50.4,42.0,50.2,192000,0
2017-11-01,D,Total Transport Systems Ord Shs,52.95,54.9,47.6,48.7,93000,0
2017-11-02,D,Total Transport Systems Ord Shs,49.15,49.15,48.15,48.3,21000,0
2017-11-03,D,Total Transport Systems Ord Shs,49.0,50.55,49.0,49.5,9000,0
2017-11-06,D,Total Transport Systems Ord Shs,47.0,47.0,44.6,45.55,72000,0
2017-11-07,D,Total Transport Systems Ord Shs,45.0,45.0,44.1,44.25,12000,0
2017-11-08,D,Total Transport Systems Ord Shs,44.0,46.7,43.5,45.2,54000,0
