Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-05-20,D,TPL Plastech Ord Shs,20.7,20.7,19.15,19.675,35069.999477,0
2015-05-21,D,TPL Plastech Ord Shs,19.15,20.7,18.6,19.8,78469.998831,0
2015-05-22,D,TPL Plastech Ord Shs,19.5,20.0,19.495,20.0,2109.999969,0
2015-05-25,D,TPL Plastech Ord Shs,20.9,20.9,20.2,20.49,7269.999892,0
2015-05-26,D,TPL Plastech Ord Shs,22.9,22.9,19.85,19.915,5789.999914,0
2015-05-27,D,TPL Plastech Ord Shs,20.0,20.9,20.0,20.075,12409.999815,0
2015-05-28,D,TPL Plastech Ord Shs,20.4,20.6,20.0,20.0,13449.9998,0
2015-05-29,D,TPL Plastech Ord Shs,20.0,20.0,19.91,19.94,2599.999961,0
2015-06-01,D,TPL Plastech Ord Shs,20.2,21.5,20.2,20.85,1179.999982,0
2015-06-02,D,TPL Plastech Ord Shs,20.5,20.5,20.16,20.16,239.999996,0
2015-06-03,D,TPL Plastech Ord Shs,20.5,20.6,19.72,20.35,10999.999836,0
2015-06-04,D,TPL Plastech Ord Shs,20.37,20.37,20.0,20.0,2199.999967,0
2015-06-05,D,TPL Plastech Ord Shs,21.295,21.3,20.21,20.285,5719.999915,0
2015-06-08,D,TPL Plastech Ord Shs,20.11,20.395,20.11,20.2,3599.999946,0
2015-06-09,D,TPL Plastech Ord Shs,22.8,22.8,19.715,19.84,67909.998988,0
2015-06-10,D,TPL Plastech Ord Shs,19.9,20.0,19.5,19.9,18599.999723,1
2015-06-11,D,TPL Plastech Ord Shs,19.9,19.9,18.005,18.785,11139.999834,0
2015-06-12,D,TPL Plastech Ord Shs,18.5,19.0,18.5,18.91,51009.99924,0
2015-06-15,D,TPL Plastech Ord Shs,19.89,20.0,18.9,19.0,38629.999424,0
2015-06-16,D,TPL Plastech Ord Shs,19.0,19.25,18.8,19.02,41749.999378,0
2015-06-17,D,TPL Plastech Ord Shs,19.2,19.765,19.0,19.4,46249.999311,0
2015-06-18,D,TPL Plastech Ord Shs,19.45,19.5,19.13,19.4,37549.99944,0
2015-06-19,D,TPL Plastech Ord Shs,19.9,21.8,19.5,20.08,73649.998903,0
2015-06-22,D,TPL Plastech Ord Shs,20.01,22.8,19.9,21.71,72949.998913,0
2015-06-23,D,TPL Plastech Ord Shs,22.0,22.8,21.8,22.235,48859.999272,0
2015-06-24,D,TPL Plastech Ord Shs,23.4,25.6,22.8,24.35,54379.99919,0
2015-06-25,D,TPL Plastech Ord Shs,25.5,26.2,25.11,25.755,113169.998314,0
2015-06-26,D,TPL Plastech Ord Shs,26.0,26.2,25.6,25.685,39119.999417,0
2015-06-29,D,TPL Plastech Ord Shs,24.5,25.5,23.51,25.435,17059.999746,0
2015-06-30,D,TPL Plastech Ord Shs,25.9,27.38,25.83,26.87,118699.998231,0
2015-07-01,D,TPL Plastech Ord Shs,27.0,27.49,26.99,27.0,104909.998437,1
2015-07-02,D,TPL Plastech Ord Shs,26.9,31.5,26.9,30.735,208779.996889,0
