Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1998-04-15,D,Trigyn Technologies Ord Shs,142.25,146.025,142.25,146.025,16000,0
1998-04-16,D,Trigyn Technologies Ord Shs,159.0,159.975,141.5,143.9625,23200,0
1998-04-17,D,Trigyn Technologies Ord Shs,142.5,150.0,138.5,147.375,19200,0
1998-04-20,D,Trigyn Technologies Ord Shs,146.75,162.05,146.75,161.575,54800,0
1998-04-21,D,Trigyn Technologies Ord Shs,165.0,165.775,162.75,165.7625,22400,0
1998-04-22,D,Trigyn Technologies Ord Shs,177.5,182.35,177.5,181.85,179200,0
1998-04-23,D,Trigyn Technologies Ord Shs,181.25,192.5,166.5,180.75,142800,0
1998-04-24,D,Trigyn Technologies Ord Shs,183.75,198.75,179.25,191.725,253200,0
1998-04-27,D,Trigyn Technologies Ord Shs,202.5,204.875,196.2625,200.4375,59600,0
1998-04-28,D,Trigyn Technologies Ord Shs,202.0,202.0,183.875,186.7,30400,0
1998-04-29,D,Trigyn Technologies Ord Shs,202.5,205.0,192.525,201.8625,95200,0
1998-04-30,D,Trigyn Technologies Ord Shs,206.25,218.5,204.25,216.25,122800,0
1998-05-04,D,Trigyn Technologies Ord Shs,218.0,232.0,218.0,226.7875,210800,0
1998-05-05,D,Trigyn Technologies Ord Shs,228.975,233.025,204.375,210.9375,134400,0
1998-05-06,D,Trigyn Technologies Ord Shs,221.25,226.25,207.5,208.8875,105200,0
1998-05-08,D,Trigyn Technologies Ord Shs,208.75,208.75,193.025,197.7375,94000,0
1998-05-11,D,Trigyn Technologies Ord Shs,197.25,202.5,193.0,199.3625,39200,0
1998-05-12,D,Trigyn Technologies Ord Shs,194.5,194.5,179.425,179.425,104000,0
1998-05-13,D,Trigyn Technologies Ord Shs,181.25,197.25,162.5,168.0,129600,0
1998-05-14,D,Trigyn Technologies Ord Shs,167.225,180.6625,157.5,176.8125,134000,0
1998-05-15,D,Trigyn Technologies Ord Shs,183.75,189.475,178.5,186.875,102400,0
1998-05-18,D,Trigyn Technologies Ord Shs,189.7375,205.5625,186.75,205.5625,98800,0
1998-05-19,D,Trigyn Technologies Ord Shs,209.75,215.25,186.8,202.675,134000,0
1998-05-20,D,Trigyn Technologies Ord Shs,203.75,222.95,200.25,220.925,208800,0
1998-05-21,D,Trigyn Technologies Ord Shs,232.5,232.5,204.25,209.6875,130800,0
1998-05-22,D,Trigyn Technologies Ord Shs,216.0,216.0,200.25,205.65,58000,0
1998-05-25,D,Trigyn Technologies Ord Shs,203.75,207.975,200.5125,204.275,56000,0
1998-05-26,D,Trigyn Technologies Ord Shs,201.75,212.5,201.25,206.2875,136800,0
1998-05-27,D,Trigyn Technologies Ord Shs,218.75,223.75,210.0,210.625,107200,0
1998-05-28,D,Trigyn Technologies Ord Shs,214.0,217.0,207.8875,209.475,38800,0
1998-05-29,D,Trigyn Technologies Ord Shs,202.5,207.0,194.25,202.2375,58000,0
1998-06-01,D,Trigyn Technologies Ord Shs,206.75,210.0,197.25,199.075,54000,0
1998-06-02,D,Trigyn Technologies Ord Shs,193.75,196.0,179.2125,179.2125,56400,0
1998-06-03,D,Trigyn Technologies Ord Shs,183.75,183.75,167.5,180.6,42400,0
1998-06-04,D,Trigyn Technologies Ord Shs,182.0,187.5,176.7625,178.6,23600,0
1998-06-05,D,Trigyn Technologies Ord Shs,175.0,175.0,160.875,161.0,40000,0
1998-06-08,D,Trigyn Technologies Ord Shs,165.0,165.0,144.9375,146.375,40400,0
1998-06-09,D,Trigyn Technologies Ord Shs,146.25,158.7375,137.5,149.6875,46800,0
1998-06-10,D,Trigyn Technologies Ord Shs,150.0,155.0,138.0,140.05,22800,0
1998-06-11,D,Trigyn Technologies Ord Shs,137.5,145.0,126.5,143.075,29600,0
1998-06-12,D,Trigyn Technologies Ord Shs,150.75,153.75,147.0,151.0625,37200,0
1998-06-15,D,Trigyn Technologies Ord Shs,145.5,147.5,135.9875,135.9875,21200,0
1998-06-16,D,Trigyn Technologies Ord Shs,123.75,148.75,122.425,127.95,41200,0
1998-06-17,D,Trigyn Technologies Ord Shs,133.75,133.75,123.0,127.3875,100000,0
1998-06-18,D,Trigyn Technologies Ord Shs,135.0,135.0,124.25,125.3125,90400,0
1998-06-19,D,Trigyn Technologies Ord Shs,118.0,120.0,112.8125,112.875,5600,0
1998-06-22,D,Trigyn Technologies Ord Shs,102.5,102.5,101.6125,101.6125,10400,0
1998-06-23,D,Trigyn Technologies Ord Shs,107.5,107.5,96.25,101.55,40400,0
1998-06-24,D,Trigyn Technologies Ord Shs,110.0,111.6875,105.0,111.6875,4400,0
1998-06-25,D,Trigyn Technologies Ord Shs,122.8375,122.8375,122.8375,122.8375,2000,1
1998-06-26,D,Trigyn Technologies Ord Shs,126.75,126.9125,126.75,126.9125,2400,0
1998-07-01,D,Trigyn Technologies Ord Shs,139.5875,139.5875,139.5875,139.5875,400,1
1998-07-02,D,Trigyn Technologies Ord Shs,145.0,153.1,140.25,149.05,26800,0
1998-07-03,D,Trigyn Technologies Ord Shs,146.25,150.75,138.75,139.4375,16000,0
1998-07-06,D,Trigyn Technologies Ord Shs,142.75,146.75,142.5,146.625,8400,0
1998-07-07,D,Trigyn Technologies Ord Shs,147.75,158.6,147.75,158.6,24800,0
1998-07-08,D,Trigyn Technologies Ord Shs,162.0,167.475,161.25,163.6875,28800,0
1998-07-09,D,Trigyn Technologies Ord Shs,164.25,165.9375,150.75,153.9375,30400,0
1998-07-10,D,Trigyn Technologies Ord Shs,156.0,160.975,155.0,158.175,18000,0
1998-07-13,D,Trigyn Technologies Ord Shs,162.25,163.0,151.5,154.3125,24400,0
1998-07-14,D,Trigyn Technologies Ord Shs,155.0,157.5,153.75,157.1375,19200,0
1998-07-15,D,Trigyn Technologies Ord Shs,160.0,162.425,157.5,159.25,12000,0
1998-07-16,D,Trigyn Technologies Ord Shs,164.75,171.9625,161.775,171.9625,50000,0
1998-07-17,D,Trigyn Technologies Ord Shs,182.25,182.25,167.525,173.25,36400,0
1998-07-20,D,Trigyn Technologies Ord Shs,180.0,180.375,165.35,168.4875,16800,0
1998-07-21,D,Trigyn Technologies Ord Shs,167.8125,171.125,163.0,165.0625,18400,0
1998-07-22,D,Trigyn Technologies Ord Shs,168.0,168.0,163.5625,166.25,10400,0
1998-07-23,D,Trigyn Technologies Ord Shs,165.5,165.5,157.1,157.625,24000,0
1998-07-24,D,Trigyn Technologies Ord Shs,155.0,155.0,147.1,148.6125,24800,0
1998-07-27,D,Trigyn Technologies Ord Shs,148.6,150.0,141.25,142.3125,20000,0
1998-07-28,D,Trigyn Technologies Ord Shs,140.0,151.75,137.525,149.625,34000,0
1998-07-29,D,Trigyn Technologies Ord Shs,154.75,159.5,153.0,155.325,22000,0
1998-07-30,D,Trigyn Technologies Ord Shs,155.5,155.75,151.75,152.5,12800,0
1998-07-31,D,Trigyn Technologies Ord Shs,150.5,153.5,149.75,152.75,6400,0
1998-08-03,D,Trigyn Technologies Ord Shs,150.25,150.25,147.5,150.2,9600,0
1998-08-04,D,Trigyn Technologies Ord Shs,151.0,152.475,147.5125,149.6625,14400,0
1998-08-05,D,Trigyn Technologies Ord Shs,147.0,152.0,147.0,151.0125,10400,0
1998-08-06,D,Trigyn Technologies Ord Shs,152.475,155.0,150.75,152.0,19600,0
1998-08-07,D,Trigyn Technologies Ord Shs,148.75,154.5,148.75,154.5,4000,0
1998-08-10,D,Trigyn Technologies Ord Shs,152.0,154.0,151.0125,152.875,9200,0
1998-08-11,D,Trigyn Technologies Ord Shs,151.2875,153.75,149.0,150.5375,20400,0
1998-08-12,D,Trigyn Technologies Ord Shs,149.025,152.5,148.75,149.3125,20000,0
1998-08-13,D,Trigyn Technologies Ord Shs,149.0,152.5,149.0,151.0,16000,0
1998-08-14,D,Trigyn Technologies Ord Shs,152.925,152.9375,152.0,152.5,11200,0
1998-08-17,D,Trigyn Technologies Ord Shs,157.6875,161.25,157.5,158.525,7600,0
1998-08-18,D,Trigyn Technologies Ord Shs,156.25,160.0,156.25,159.0125,13200,0
1998-08-19,D,Trigyn Technologies Ord Shs,161.125,168.2375,161.125,162.6875,14800,0
1998-08-20,D,Trigyn Technologies Ord Shs,163.75,175.7125,162.75,175.5125,31200,0
1998-08-21,D,Trigyn Technologies Ord Shs,175.25,179.225,170.5,171.0875,26000,0
1998-08-24,D,Trigyn Technologies Ord Shs,172.5,178.5,172.5,177.9375,198400,0
1998-08-25,D,Trigyn Technologies Ord Shs,181.25,183.75,180.8125,183.0375,19200,0
1998-08-27,D,Trigyn Technologies Ord Shs,185.25,191.9375,183.625,184.6,32800,0
1998-08-28,D,Trigyn Technologies Ord Shs,181.25,181.25,170.625,175.9,13600,0
1998-08-31,D,Trigyn Technologies Ord Shs,185.0,185.0,174.0,174.4625,8800,0
1998-09-01,D,Trigyn Technologies Ord Shs,169.25,169.25,161.05,161.925,20000,0
1998-09-02,D,Trigyn Technologies Ord Shs,168.5,172.5,166.875,168.25,18800,0
1998-09-03,D,Trigyn Technologies Ord Shs,172.375,178.625,170.5,176.9,116000,0
1998-09-04,D,Trigyn Technologies Ord Shs,175.025,175.025,171.325,173.1875,6800,0
1998-09-07,D,Trigyn Technologies Ord Shs,168.75,174.625,163.0,174.125,8400,0
1998-09-08,D,Trigyn Technologies Ord Shs,172.5125,175.75,172.5,174.9375,18400,0
1998-09-09,D,Trigyn Technologies Ord Shs,175.5,177.5,171.275,171.3,18800,0
1998-09-10,D,Trigyn Technologies Ord Shs,170.25,171.75,169.5,171.75,2400,0
1998-09-11,D,Trigyn Technologies Ord Shs,169.0,169.0,165.0,166.0875,8000,0
1998-09-14,D,Trigyn Technologies Ord Shs,163.0125,167.05,163.0,165.8625,7200,0
1998-09-15,D,Trigyn Technologies Ord Shs,166.45,168.5,166.0125,167.275,12000,0
1998-09-16,D,Trigyn Technologies Ord Shs,172.375,174.7375,172.0,172.85,10000,0
1998-09-17,D,Trigyn Technologies Ord Shs,172.5,172.5,170.0125,170.0125,6400,0
1998-09-18,D,Trigyn Technologies Ord Shs,169.0,170.0,166.25,169.25,15600,0
1998-09-21,D,Trigyn Technologies Ord Shs,171.5,176.25,168.75,172.025,19200,0
1998-09-22,D,Trigyn Technologies Ord Shs,173.75,179.0,173.75,176.325,27600,0
1998-09-23,D,Trigyn Technologies Ord Shs,211.5,219.0,195.625,212.25,290200,0
1998-09-24,D,Trigyn Technologies Ord Shs,217.5,218.5,212.625,213.675,109000,0
1998-09-25,D,Trigyn Technologies Ord Shs,214.0,216.5,210.25,215.5,115200,0
1998-09-28,D,Trigyn Technologies Ord Shs,431.0,434.25,428.0,430.1,33800,0
1998-09-29,D,Trigyn Technologies Ord Shs,432.25,439.0,429.0,432.15,45500,0
