Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-05-10,D,Trucap Finance Ord Shs,93.4,96.9,77.45,89.9,1797621,0
2022-05-11,D,Trucap Finance Ord Shs,90.0,92.5,83.0,87.85,931995,0
2022-05-12,D,Trucap Finance Ord Shs,87.85,88.9,81.8,82.85,272284,0
2022-05-13,D,Trucap Finance Ord Shs,82.85,89.1,80.0,81.45,273194,0
2022-05-16,D,Trucap Finance Ord Shs,81.75,84.9,76.65,78.75,239924,0
2022-05-17,D,Trucap Finance Ord Shs,81.85,84.65,78.6,82.7,150069,0
2022-05-18,D,Trucap Finance Ord Shs,81.1,83.9,81.0,81.05,132976,0
2022-05-19,D,Trucap Finance Ord Shs,78.8,80.55,73.0,75.6,67082,0
2022-05-20,D,Trucap Finance Ord Shs,75.0,79.5,75.0,77.55,108473,0
2022-05-23,D,Trucap Finance Ord Shs,76.05,79.0,73.65,74.7,49452,0
2022-05-24,D,Trucap Finance Ord Shs,73.25,89.6,71.9,88.55,1073309,0
2022-05-25,D,Trucap Finance Ord Shs,93.9,93.9,82.35,83.95,430436,0
2022-05-26,D,Trucap Finance Ord Shs,86.0,86.0,79.5,81.45,77184,0
2022-05-27,D,Trucap Finance Ord Shs,82.3,83.3,79.05,80.2,178480,0
2022-05-30,D,Trucap Finance Ord Shs,81.25,83.0,78.35,80.5,1017997,0
2022-05-31,D,Trucap Finance Ord Shs,81.7,83.2,78.0,79.55,833119,0
2022-06-01,D,Trucap Finance Ord Shs,79.95,81.7,77.1,78.3,839285,0
2022-06-02,D,Trucap Finance Ord Shs,78.9,79.5,74.85,77.9,912855,0
2022-06-03,D,Trucap Finance Ord Shs,78.85,81.5,76.75,80.05,1001243,0
2022-06-06,D,Trucap Finance Ord Shs,79.75,83.5,78.0,78.9,287113,0
2022-06-07,D,Trucap Finance Ord Shs,78.0,79.65,76.75,77.15,126435,0
2022-06-08,D,Trucap Finance Ord Shs,77.15,83.5,77.15,79.6,366291,0
2022-06-09,D,Trucap Finance Ord Shs,80.7,82.0,79.05,80.0,141162,0
2022-06-10,D,Trucap Finance Ord Shs,80.95,80.95,78.1,78.45,113665,0
2022-06-13,D,Trucap Finance Ord Shs,75.05,79.7,75.05,78.35,156651,0
2022-06-14,D,Trucap Finance Ord Shs,77.15,78.75,74.5,75.65,197431,0
2022-06-15,D,Trucap Finance Ord Shs,75.0,78.0,75.0,75.55,208831,0
2022-06-16,D,Trucap Finance Ord Shs,77.4,78.9,72.25,74.5,146934,0
2022-06-17,D,Trucap Finance Ord Shs,73.95,77.7,70.55,76.5,336389,0
2022-06-20,D,Trucap Finance Ord Shs,75.0,77.0,72.0,72.5,671556,0
2022-06-21,D,Trucap Finance Ord Shs,73.1,73.85,70.95,71.8,86277,0
2022-06-22,D,Trucap Finance Ord Shs,72.15,72.15,61.7,63.8,533617,0
2022-06-23,D,Trucap Finance Ord Shs,63.3,64.85,60.65,63.0,688889,0
2022-06-24,D,Trucap Finance Ord Shs,61.55,64.95,61.55,63.15,106199,0
2022-06-27,D,Trucap Finance Ord Shs,62.2,75.75,62.05,75.75,1027248,0
2022-06-28,D,Trucap Finance Ord Shs,82.4,90.9,78.95,90.9,3033334,0
2022-06-29,D,Trucap Finance Ord Shs,89.1,109.05,88.0,107.3,4465299,0
2022-06-30,D,Trucap Finance Ord Shs,105.1,111.8,99.25,107.45,2577288,0
2022-07-01,D,Trucap Finance Ord Shs,107.8,110.7,97.5,99.75,966980,0
2022-07-04,D,Trucap Finance Ord Shs,102.9,103.0,93.6,98.2,293643,0
2022-07-05,D,Trucap Finance Ord Shs,96.3,101.8,96.3,97.75,254892,0
2022-07-06,D,Trucap Finance Ord Shs,97.0,107.5,94.85,97.7,736662,0
2022-07-07,D,Trucap Finance Ord Shs,98.7,104.0,97.3,100.6,1196374,0
2022-07-08,D,Trucap Finance Ord Shs,101.5,103.5,99.0,100.65,237219,0
2022-07-11,D,Trucap Finance Ord Shs,96.85,102.7,96.85,97.2,154309,0
