Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-08-23,D,TVS Supply Chain Solutions Ord Shs,207.05,208.6,199.0,201.0,24133608,0
2023-08-24,D,TVS Supply Chain Solutions Ord Shs,201.05,202.9,193.8,199.1,2675099,0
2023-08-25,D,TVS Supply Chain Solutions Ord Shs,198.05,198.3,195.5,197.05,946520,0
2023-08-28,D,TVS Supply Chain Solutions Ord Shs,198.95,198.95,195.1,197.4,601097,0
2023-08-29,D,TVS Supply Chain Solutions Ord Shs,197.45,201.85,197.4,200.0,1645512,0
2023-08-30,D,TVS Supply Chain Solutions Ord Shs,201.1,204.1,200.0,200.3,1396819,0
2023-08-31,D,TVS Supply Chain Solutions Ord Shs,201.9,203.05,199.55,200.15,531338,0
2023-09-01,D,TVS Supply Chain Solutions Ord Shs,201.8,202.0,196.7,200.2,540220,0
2023-09-04,D,TVS Supply Chain Solutions Ord Shs,202.4,202.95,199.3,200.05,786608,0
2023-09-05,D,TVS Supply Chain Solutions Ord Shs,202.0,202.7,199.85,200.05,633999,0
2023-09-06,D,TVS Supply Chain Solutions Ord Shs,200.0,203.7,199.75,201.05,557607,0
2023-09-07,D,TVS Supply Chain Solutions Ord Shs,202.0,232.95,200.85,221.3,7039853,0
2023-09-08,D,TVS Supply Chain Solutions Ord Shs,221.45,241.45,221.0,230.9,5421706,0
2023-09-11,D,TVS Supply Chain Solutions Ord Shs,253.0,258.0,242.0,245.35,6766049,0
2023-09-12,D,TVS Supply Chain Solutions Ord Shs,244.0,244.0,225.0,229.05,3008560,0
2023-09-13,D,TVS Supply Chain Solutions Ord Shs,230.85,232.85,217.95,221.35,2810594,0
2023-09-14,D,TVS Supply Chain Solutions Ord Shs,223.6,227.7,216.8,226.15,4628575,0
2023-09-15,D,TVS Supply Chain Solutions Ord Shs,227.5,229.5,221.0,222.4,1424989,0
2023-09-18,D,TVS Supply Chain Solutions Ord Shs,222.4,224.5,220.55,222.65,1172985,0
2023-09-20,D,TVS Supply Chain Solutions Ord Shs,221.0,222.75,213.0,214.65,1582128,0
2023-09-21,D,TVS Supply Chain Solutions Ord Shs,215.9,218.65,212.1,214.15,1253075,0
2023-09-22,D,TVS Supply Chain Solutions Ord Shs,214.95,217.8,211.3,213.45,463679,0
2023-09-25,D,TVS Supply Chain Solutions Ord Shs,214.9,215.4,209.55,210.45,714959,0
2023-09-26,D,TVS Supply Chain Solutions Ord Shs,211.5,212.5,209.0,210.1,697093,0
2023-09-27,D,TVS Supply Chain Solutions Ord Shs,210.95,214.9,208.05,211.5,2146030,0
2023-09-28,D,TVS Supply Chain Solutions Ord Shs,213.7,221.35,213.7,217.05,4189468,0
2023-09-29,D,TVS Supply Chain Solutions Ord Shs,221.8,222.5,214.75,215.55,2490124,0
2023-10-03,D,TVS Supply Chain Solutions Ord Shs,215.0,215.35,213.5,214.15,462948,0
2023-10-04,D,TVS Supply Chain Solutions Ord Shs,213.0,215.2,210.8,214.25,940862,0
2023-10-05,D,TVS Supply Chain Solutions Ord Shs,216.7,216.75,210.5,211.55,1588150,0
2023-10-06,D,TVS Supply Chain Solutions Ord Shs,212.4,218.0,210.7,216.2,1255675,0
2023-10-09,D,TVS Supply Chain Solutions Ord Shs,215.0,215.0,210.05,210.95,1103443,0
2023-10-10,D,TVS Supply Chain Solutions Ord Shs,211.75,214.0,210.5,211.1,1036483,0
2023-10-11,D,TVS Supply Chain Solutions Ord Shs,212.0,230.8,211.35,228.25,5820082,0
2023-10-12,D,TVS Supply Chain Solutions Ord Shs,228.4,231.15,222.7,223.85,1868474,0
2023-10-13,D,TVS Supply Chain Solutions Ord Shs,223.45,228.7,222.0,226.65,1361962,0
2023-10-16,D,TVS Supply Chain Solutions Ord Shs,227.0,227.8,221.0,221.75,1183108,0
2023-10-17,D,TVS Supply Chain Solutions Ord Shs,223.7,229.5,221.8,223.15,1451931,0
2023-10-18,D,TVS Supply Chain Solutions Ord Shs,223.8,226.25,213.1,214.45,1803319,0
2023-10-19,D,TVS Supply Chain Solutions Ord Shs,213.9,216.95,212.2,215.75,1297434,0
2023-10-20,D,TVS Supply Chain Solutions Ord Shs,215.7,215.7,211.0,212.15,745206,0
2023-10-23,D,TVS Supply Chain Solutions Ord Shs,226.0,226.0,208.95,210.3,2713317,0
2023-10-25,D,TVS Supply Chain Solutions Ord Shs,213.5,214.2,207.1,208.85,1119342,0
2023-10-26,D,TVS Supply Chain Solutions Ord Shs,208.6,210.9,202.65,209.7,1323291,0
2023-10-27,D,TVS Supply Chain Solutions Ord Shs,211.0,214.0,209.3,210.45,2106636,0
2023-10-30,D,TVS Supply Chain Solutions Ord Shs,211.2,214.9,210.05,213.2,736861,0
2023-10-31,D,TVS Supply Chain Solutions Ord Shs,213.75,216.45,212.0,212.9,508171,0
2023-11-01,D,TVS Supply Chain Solutions Ord Shs,213.45,214.85,210.95,211.8,400151,0
2023-11-02,D,TVS Supply Chain Solutions Ord Shs,213.3,214.4,212.2,212.85,324175,0
2023-11-03,D,TVS Supply Chain Solutions Ord Shs,214.3,216.2,213.35,213.85,306545,0
2023-11-06,D,TVS Supply Chain Solutions Ord Shs,215.3,219.6,214.6,218.5,1182397,0
2023-11-07,D,TVS Supply Chain Solutions Ord Shs,211.0,223.9,210.15,219.15,2730848,0
2023-11-08,D,TVS Supply Chain Solutions Ord Shs,220.0,220.2,214.2,214.85,784662,0
2023-11-09,D,TVS Supply Chain Solutions Ord Shs,214.7,215.8,212.0,212.35,489216,0
2023-11-10,D,TVS Supply Chain Solutions Ord Shs,212.8,213.65,211.0,211.85,426776,0
2023-11-12,D,TVS Supply Chain Solutions Ord Shs,215.0,215.0,213.2,213.9,249129,0
2023-11-13,D,TVS Supply Chain Solutions Ord Shs,213.95,215.0,212.0,213.35,594740,0
2023-11-15,D,TVS Supply Chain Solutions Ord Shs,215.0,215.0,211.6,211.9,816528,0
2023-11-16,D,TVS Supply Chain Solutions Ord Shs,212.85,215.75,211.0,212.3,1164984,0
2023-11-17,D,TVS Supply Chain Solutions Ord Shs,213.3,214.6,211.45,211.9,844728,0
2023-11-20,D,TVS Supply Chain Solutions Ord Shs,212.6,214.3,209.2,209.95,836895,0
2023-11-21,D,TVS Supply Chain Solutions Ord Shs,210.6,215.5,210.6,212.55,1822758,0
2023-11-22,D,TVS Supply Chain Solutions Ord Shs,213.7,213.75,208.3,209.5,727097,0
2023-11-23,D,TVS Supply Chain Solutions Ord Shs,210.65,212.45,209.15,211.35,793071,0
2023-11-24,D,TVS Supply Chain Solutions Ord Shs,211.65,211.65,209.5,210.0,387446,0
2023-11-28,D,TVS Supply Chain Solutions Ord Shs,210.75,211.5,206.5,207.35,712514,0
2023-11-29,D,TVS Supply Chain Solutions Ord Shs,209.1,211.0,207.55,208.95,558957,0
2023-11-30,D,TVS Supply Chain Solutions Ord Shs,209.5,210.5,207.3,207.85,880677,0
2023-12-01,D,TVS Supply Chain Solutions Ord Shs,209.6,210.0,205.9,206.3,950073,0
2023-12-04,D,TVS Supply Chain Solutions Ord Shs,209.2,210.25,207.45,208.7,737637,0
2023-12-05,D,TVS Supply Chain Solutions Ord Shs,208.7,209.75,207.35,208.9,472230,0
2023-12-06,D,TVS Supply Chain Solutions Ord Shs,209.05,209.8,206.6,207.7,651507,0
2023-12-07,D,TVS Supply Chain Solutions Ord Shs,207.0,210.25,207.0,207.9,698808,0
2023-12-08,D,TVS Supply Chain Solutions Ord Shs,208.4,209.9,206.0,206.6,691754,0
2023-12-11,D,TVS Supply Chain Solutions Ord Shs,207.0,208.6,206.35,207.35,366309,0
2023-12-12,D,TVS Supply Chain Solutions Ord Shs,208.0,208.9,202.9,203.9,733128,0
2023-12-13,D,TVS Supply Chain Solutions Ord Shs,204.0,206.7,201.85,204.25,1274765,0
2023-12-14,D,TVS Supply Chain Solutions Ord Shs,205.5,211.0,203.5,209.6,3822787,0
2023-12-15,D,TVS Supply Chain Solutions Ord Shs,211.0,211.0,206.0,206.3,1186798,0
2023-12-18,D,TVS Supply Chain Solutions Ord Shs,208.0,208.25,205.25,205.65,514089,0
2023-12-19,D,TVS Supply Chain Solutions Ord Shs,206.3,207.3,203.45,203.8,756087,0
2023-12-20,D,TVS Supply Chain Solutions Ord Shs,204.9,204.95,198.65,199.95,928412,0
2023-12-21,D,TVS Supply Chain Solutions Ord Shs,198.0,200.5,197.5,198.65,823092,0
2023-12-22,D,TVS Supply Chain Solutions Ord Shs,199.45,202.6,198.5,199.0,1107867,0
2023-12-26,D,TVS Supply Chain Solutions Ord Shs,199.0,203.75,199.0,201.5,1377882,0
2023-12-27,D,TVS Supply Chain Solutions Ord Shs,204.0,204.0,199.0,199.4,758860,0
2023-12-28,D,TVS Supply Chain Solutions Ord Shs,201.45,201.45,198.35,198.9,321738,0
2023-12-29,D,TVS Supply Chain Solutions Ord Shs,199.1,200.15,198.0,198.2,457182,0
2024-01-01,D,TVS Supply Chain Solutions Ord Shs,198.2,200.2,198.2,198.9,453389,0
2024-01-02,D,TVS Supply Chain Solutions Ord Shs,198.9,200.0,196.3,198.9,802992,1
2024-01-03,D,TVS Supply Chain Solutions Ord Shs,199.0,200.1,198.35,199.15,596881,0
2024-01-04,D,TVS Supply Chain Solutions Ord Shs,200.0,200.9,199.25,199.55,439330,0
2024-01-05,D,TVS Supply Chain Solutions Ord Shs,200.0,200.5,198.0,198.75,606840,0
2024-01-08,D,TVS Supply Chain Solutions Ord Shs,198.75,199.0,196.5,196.9,404930,0
2024-01-09,D,TVS Supply Chain Solutions Ord Shs,198.0,198.65,195.1,195.45,537936,0
2024-01-10,D,TVS Supply Chain Solutions Ord Shs,195.5,199.0,194.55,197.25,667095,0
2024-01-11,D,TVS Supply Chain Solutions Ord Shs,197.55,203.95,197.4,199.9,1136200,0
2024-01-12,D,TVS Supply Chain Solutions Ord Shs,202.5,202.5,197.95,198.35,618636,0
2024-01-15,D,TVS Supply Chain Solutions Ord Shs,200.0,200.0,197.5,197.8,346015,0
2024-01-16,D,TVS Supply Chain Solutions Ord Shs,199.15,199.15,196.0,197.0,307968,0
2024-01-17,D,TVS Supply Chain Solutions Ord Shs,196.0,197.0,194.1,194.8,384794,0
2024-01-18,D,TVS Supply Chain Solutions Ord Shs,194.0,196.95,192.1,194.65,434201,0
2024-01-19,D,TVS Supply Chain Solutions Ord Shs,195.1,196.35,194.5,194.95,227874,0
2024-01-20,D,TVS Supply Chain Solutions Ord Shs,195.7,195.7,194.0,194.6,221175,0
2024-01-23,D,TVS Supply Chain Solutions Ord Shs,195.0,195.1,185.85,187.25,772350,0
2024-01-24,D,TVS Supply Chain Solutions Ord Shs,190.0,200.95,187.25,195.4,1807692,0
2024-01-25,D,TVS Supply Chain Solutions Ord Shs,197.95,197.95,193.75,195.2,386360,0
2024-01-29,D,TVS Supply Chain Solutions Ord Shs,195.95,196.45,193.5,194.2,269237,0
2024-01-30,D,TVS Supply Chain Solutions Ord Shs,194.2,195.0,193.55,194.05,186261,0
2024-01-31,D,TVS Supply Chain Solutions Ord Shs,193.9,194.15,193.0,193.25,277538,0
2024-02-01,D,TVS Supply Chain Solutions Ord Shs,195.0,195.8,193.0,193.55,415588,0
2024-02-02,D,TVS Supply Chain Solutions Ord Shs,194.0,194.55,192.35,192.95,349523,0
2024-02-05,D,TVS Supply Chain Solutions Ord Shs,194.35,195.35,190.8,191.45,457794,0
2024-02-06,D,TVS Supply Chain Solutions Ord Shs,189.45,192.9,186.75,188.75,669824,0
2024-02-07,D,TVS Supply Chain Solutions Ord Shs,189.0,193.3,188.8,191.0,513968,0
2024-02-08,D,TVS Supply Chain Solutions Ord Shs,192.0,192.45,187.3,187.7,383710,0
2024-02-09,D,TVS Supply Chain Solutions Ord Shs,189.0,189.9,184.1,185.3,459658,0
2024-02-12,D,TVS Supply Chain Solutions Ord Shs,186.3,186.35,181.3,183.2,327648,0
2024-02-13,D,TVS Supply Chain Solutions Ord Shs,183.95,184.8,179.35,181.1,273599,0
2024-02-14,D,TVS Supply Chain Solutions Ord Shs,180.0,181.0,178.7,179.3,404086,0
2024-02-15,D,TVS Supply Chain Solutions Ord Shs,179.4,187.0,179.4,183.6,654013,0
2024-02-16,D,TVS Supply Chain Solutions Ord Shs,184.6,186.9,181.95,182.3,251268,0
2024-02-19,D,TVS Supply Chain Solutions Ord Shs,183.95,193.3,182.1,190.05,696722,0
2024-02-20,D,TVS Supply Chain Solutions Ord Shs,189.4,205.0,186.65,200.45,7316250,0
2024-02-21,D,TVS Supply Chain Solutions Ord Shs,198.0,198.0,189.35,190.05,1861173,0
2024-02-22,D,TVS Supply Chain Solutions Ord Shs,192.0,194.4,186.65,187.7,1175314,0
2024-02-23,D,TVS Supply Chain Solutions Ord Shs,189.95,191.0,187.0,187.4,827193,0
2024-02-26,D,TVS Supply Chain Solutions Ord Shs,188.4,190.2,187.0,188.2,404851,0
2024-02-27,D,TVS Supply Chain Solutions Ord Shs,188.2,189.1,185.0,185.65,498524,0
2024-02-28,D,TVS Supply Chain Solutions Ord Shs,186.0,187.7,180.0,180.4,607814,0
2024-02-29,D,TVS Supply Chain Solutions Ord Shs,181.3,182.0,178.9,180.45,357172,0
2024-03-01,D,TVS Supply Chain Solutions Ord Shs,181.25,183.0,178.7,179.75,442401,0
2024-03-02,D,TVS Supply Chain Solutions Ord Shs,180.3,184.25,179.75,183.9,190751,0
2024-03-04,D,TVS Supply Chain Solutions Ord Shs,184.1,184.4,179.45,179.9,582946,0
2024-03-05,D,TVS Supply Chain Solutions Ord Shs,180.0,180.5,178.0,178.3,429685,0
2024-03-06,D,TVS Supply Chain Solutions Ord Shs,178.3,178.5,172.1,172.65,647684,0
2024-03-07,D,TVS Supply Chain Solutions Ord Shs,172.8,176.1,172.0,172.95,657461,0
2024-03-11,D,TVS Supply Chain Solutions Ord Shs,172.95,174.35,167.4,167.85,697510,0
2024-03-12,D,TVS Supply Chain Solutions Ord Shs,168.05,168.25,162.25,164.45,803082,0
2024-03-13,D,TVS Supply Chain Solutions Ord Shs,165.3,166.4,145.0,149.9,1870771,0
2024-03-14,D,TVS Supply Chain Solutions Ord Shs,149.8,158.95,149.1,154.7,2643581,0
2024-03-15,D,TVS Supply Chain Solutions Ord Shs,156.8,159.7,148.95,150.7,2090927,0
2024-03-18,D,TVS Supply Chain Solutions Ord Shs,153.0,156.8,146.8,148.4,2221005,0
2024-03-19,D,TVS Supply Chain Solutions Ord Shs,148.6,156.9,148.25,155.2,2356255,0
2024-03-20,D,TVS Supply Chain Solutions Ord Shs,152.3,160.4,151.35,158.25,2995327,0
2024-03-21,D,TVS Supply Chain Solutions Ord Shs,158.4,164.6,158.4,163.6,1947667,0
2024-03-22,D,TVS Supply Chain Solutions Ord Shs,163.5,166.7,159.3,161.0,1046705,0
2024-03-26,D,TVS Supply Chain Solutions Ord Shs,161.1,162.5,155.1,155.65,1013851,0
2024-03-27,D,TVS Supply Chain Solutions Ord Shs,155.5,157.9,152.5,153.85,1844912,0
2024-03-28,D,TVS Supply Chain Solutions Ord Shs,155.0,159.5,153.25,154.4,2369012,0
2024-04-01,D,TVS Supply Chain Solutions Ord Shs,157.35,164.5,157.05,162.9,963179,0
2024-04-02,D,TVS Supply Chain Solutions Ord Shs,163.4,173.85,162.95,172.45,2299376,0
2024-04-03,D,TVS Supply Chain Solutions Ord Shs,172.45,172.45,169.3,170.45,724003,0
2024-04-04,D,TVS Supply Chain Solutions Ord Shs,172.0,172.0,169.1,170.65,641792,0
2024-04-05,D,TVS Supply Chain Solutions Ord Shs,170.0,177.4,169.1,175.95,1079978,0
2024-04-08,D,TVS Supply Chain Solutions Ord Shs,178.0,182.9,169.0,171.25,1959891,0
2024-04-09,D,TVS Supply Chain Solutions Ord Shs,171.6,174.45,169.9,171.8,460573,0
2024-04-10,D,TVS Supply Chain Solutions Ord Shs,172.2,173.3,170.5,172.0,348741,0
2024-04-12,D,TVS Supply Chain Solutions Ord Shs,171.85,177.95,171.6,174.65,1101544,0
2024-04-15,D,TVS Supply Chain Solutions Ord Shs,171.95,172.0,166.8,167.75,2521159,0
2024-04-16,D,TVS Supply Chain Solutions Ord Shs,167.0,169.25,162.9,163.55,660940,0
2024-04-18,D,TVS Supply Chain Solutions Ord Shs,164.95,166.9,160.95,161.8,1189499,0
2024-04-19,D,TVS Supply Chain Solutions Ord Shs,159.6,189.65,158.9,180.6,16085737,0
2024-04-22,D,TVS Supply Chain Solutions Ord Shs,182.0,194.3,177.55,178.45,16047279,0
2024-04-23,D,TVS Supply Chain Solutions Ord Shs,180.7,183.4,175.35,176.65,3349721,0
2024-04-24,D,TVS Supply Chain Solutions Ord Shs,177.7,180.4,176.75,179.6,2262758,0
2024-04-25,D,TVS Supply Chain Solutions Ord Shs,178.65,187.2,178.35,183.7,2761354,0
2024-04-26,D,TVS Supply Chain Solutions Ord Shs,183.7,186.0,179.4,182.55,2050918,0
2024-04-29,D,TVS Supply Chain Solutions Ord Shs,183.9,184.2,180.85,181.25,736691,0
2024-04-30,D,TVS Supply Chain Solutions Ord Shs,182.0,182.15,177.8,178.35,576841,0
2024-05-02,D,TVS Supply Chain Solutions Ord Shs,178.95,181.6,177.25,177.45,831292,0
2024-05-03,D,TVS Supply Chain Solutions Ord Shs,178.2,179.9,173.95,175.05,594494,0
2024-05-06,D,TVS Supply Chain Solutions Ord Shs,175.75,175.75,169.65,171.4,671832,0
2024-05-07,D,TVS Supply Chain Solutions Ord Shs,171.85,171.95,163.95,165.25,995577,0
2024-05-08,D,TVS Supply Chain Solutions Ord Shs,166.0,168.9,164.15,167.65,419925,0
2024-05-09,D,TVS Supply Chain Solutions Ord Shs,172.0,174.0,165.05,166.2,1359072,0
2024-05-10,D,TVS Supply Chain Solutions Ord Shs,169.2,172.2,164.5,167.8,462681,0
2024-05-13,D,TVS Supply Chain Solutions Ord Shs,168.45,170.9,165.0,168.75,688662,0
