Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-09-15,D,TV Vision Ltd Ord Shs,252.0,252.0,239.4,239.4,27173,0
2016-09-16,D,TV Vision Ltd Ord Shs,227.45,240.0,227.45,231.4,18152,0
2016-09-19,D,TV Vision Ltd Ord Shs,240.0,241.0,233.0,237.6,11340,0
2016-09-20,D,TV Vision Ltd Ord Shs,240.0,240.0,231.05,235.75,10936,0
2016-09-21,D,TV Vision Ltd Ord Shs,239.0,247.5,231.1,242.2,12057,0
2016-09-22,D,TV Vision Ltd Ord Shs,248.0,254.3,248.0,254.3,10608,0
2016-09-23,D,TV Vision Ltd Ord Shs,265.95,267.0,260.0,261.15,9675,0
2016-09-26,D,TV Vision Ltd Ord Shs,273.8,273.9,264.0,273.5,11130,0
2016-09-27,D,TV Vision Ltd Ord Shs,271.5,284.95,267.0,280.65,16866,0
2016-09-28,D,TV Vision Ltd Ord Shs,284.8,291.5,283.5,289.95,12936,0
2016-09-29,D,TV Vision Ltd Ord Shs,290.0,290.0,280.2,282.9,53198,0
2016-09-30,D,TV Vision Ltd Ord Shs,260.05,294.95,260.05,282.1,57078,0
2016-10-03,D,TV Vision Ltd Ord Shs,285.0,294.0,278.0,281.1,65385,0
2016-10-04,D,TV Vision Ltd Ord Shs,280.35,289.95,280.0,285.05,52953,0
2016-10-05,D,TV Vision Ltd Ord Shs,286.0,309.2,282.0,305.1,35611,0
2016-10-06,D,TV Vision Ltd Ord Shs,310.0,312.0,299.5,299.8,54338,0
2016-10-07,D,TV Vision Ltd Ord Shs,298.0,312.95,298.0,304.1,64779,0
2016-10-10,D,TV Vision Ltd Ord Shs,298.0,312.0,298.0,302.0,45661,0
2016-10-13,D,TV Vision Ltd Ord Shs,285.1,302.95,285.0,288.45,65298,0
2016-10-14,D,TV Vision Ltd Ord Shs,297.0,299.7,277.0,297.95,69359,0
2016-10-17,D,TV Vision Ltd Ord Shs,298.0,306.0,284.0,284.05,56560,0
2016-10-18,D,TV Vision Ltd Ord Shs,295.0,314.0,280.0,311.6,61272,0
2016-10-19,D,TV Vision Ltd Ord Shs,309.95,310.0,285.6,297.1,71106,0
2016-10-20,D,TV Vision Ltd Ord Shs,297.95,298.0,290.05,294.75,70418,0
2016-10-21,D,TV Vision Ltd Ord Shs,304.0,308.8,285.8,299.75,58668,0
2016-10-24,D,TV Vision Ltd Ord Shs,300.0,300.85,287.0,290.4,54755,0
2016-10-25,D,TV Vision Ltd Ord Shs,299.6,299.6,285.5,285.8,59235,0
2016-10-26,D,TV Vision Ltd Ord Shs,287.1,291.85,268.0,291.7,54039,0
2016-10-27,D,TV Vision Ltd Ord Shs,292.0,301.7,288.0,290.45,56254,0
2016-10-28,D,TV Vision Ltd Ord Shs,290.5,295.0,274.1,290.05,56504,0
2016-10-30,D,TV Vision Ltd Ord Shs,297.75,298.0,290.1,294.1,27262,0
2016-11-01,D,TV Vision Ltd Ord Shs,293.0,298.0,286.2,294.9,53758,0
2016-11-02,D,TV Vision Ltd Ord Shs,292.0,294.95,272.5,290.45,51424,0
2016-11-03,D,TV Vision Ltd Ord Shs,290.0,292.05,275.0,277.2,52798,0
2016-11-04,D,TV Vision Ltd Ord Shs,278.0,299.0,271.0,288.3,54091,0
2016-11-07,D,TV Vision Ltd Ord Shs,265.0,300.0,265.0,281.25,61667,0
2016-11-08,D,TV Vision Ltd Ord Shs,285.0,292.5,280.0,284.15,62491,0
2016-11-09,D,TV Vision Ltd Ord Shs,270.0,280.95,250.0,270.05,41887,0
2016-11-10,D,TV Vision Ltd Ord Shs,275.55,324.05,275.5,321.1,80629,0
2016-11-11,D,TV Vision Ltd Ord Shs,304.9,314.0,283.4,296.85,89316,0
2016-11-15,D,TV Vision Ltd Ord Shs,296.95,297.25,274.0,282.65,86728,0
2016-11-16,D,TV Vision Ltd Ord Shs,283.1,283.2,270.0,270.85,55743,0
2016-11-17,D,TV Vision Ltd Ord Shs,279.95,299.0,260.0,290.5,50982,0
2016-11-18,D,TV Vision Ltd Ord Shs,299.0,300.0,273.0,276.2,45753,0
2016-11-21,D,TV Vision Ltd Ord Shs,276.5,295.0,270.0,275.35,43078,0
2016-11-22,D,TV Vision Ltd Ord Shs,275.5,286.85,267.0,276.1,73927,0
2016-11-23,D,TV Vision Ltd Ord Shs,276.0,285.0,273.05,279.2,58677,0
2016-11-24,D,TV Vision Ltd Ord Shs,268.05,284.8,268.05,274.0,50385,0
2016-11-25,D,TV Vision Ltd Ord Shs,291.65,292.0,272.5,279.7,62728,0
2016-11-28,D,TV Vision Ltd Ord Shs,279.5,279.5,266.3,275.85,57802,0
