Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-12-12,D,Ujjivan Small Finance Bank Ord Shs,58.75,62.8,53.05,55.95,251414527,0
2019-12-13,D,Ujjivan Small Finance Bank Ord Shs,55.4,55.4,51.1,52.0,40886357,0
2019-12-16,D,Ujjivan Small Finance Bank Ord Shs,52.0,59.65,51.25,58.45,75723164,0
2019-12-17,D,Ujjivan Small Finance Bank Ord Shs,60.35,61.1,57.5,58.65,59177594,0
2019-12-18,D,Ujjivan Small Finance Bank Ord Shs,58.55,58.9,56.75,57.8,16440516,0
2019-12-19,D,Ujjivan Small Finance Bank Ord Shs,57.1,59.4,56.65,59.1,16846660,0
2019-12-20,D,Ujjivan Small Finance Bank Ord Shs,58.8,59.7,57.6,58.1,9016461,0
2019-12-23,D,Ujjivan Small Finance Bank Ord Shs,57.75,58.6,56.2,56.4,6044590,0
2019-12-24,D,Ujjivan Small Finance Bank Ord Shs,56.5,56.95,55.3,55.55,5209932,0
2019-12-26,D,Ujjivan Small Finance Bank Ord Shs,55.55,55.9,53.2,53.6,6485440,0
2019-12-27,D,Ujjivan Small Finance Bank Ord Shs,53.9,55.4,53.15,53.55,8207009,0
2019-12-30,D,Ujjivan Small Finance Bank Ord Shs,53.4,54.7,53.3,54.05,5161631,0
2019-12-31,D,Ujjivan Small Finance Bank Ord Shs,54.0,54.8,53.75,53.85,2608305,0
2020-01-01,D,Ujjivan Small Finance Bank Ord Shs,53.85,54.2,52.9,53.05,3369319,0
2020-01-02,D,Ujjivan Small Finance Bank Ord Shs,53.3,57.25,52.9,55.6,10788226,0
2020-01-03,D,Ujjivan Small Finance Bank Ord Shs,55.6,56.2,54.65,54.9,3802527,0
2020-01-06,D,Ujjivan Small Finance Bank Ord Shs,54.8,54.8,53.0,53.2,2878675,0
2020-01-07,D,Ujjivan Small Finance Bank Ord Shs,53.5,54.3,53.25,53.6,2223498,0
2020-01-08,D,Ujjivan Small Finance Bank Ord Shs,52.7,54.4,52.1,54.05,2992351,0
2020-01-09,D,Ujjivan Small Finance Bank Ord Shs,55.0,55.0,52.9,53.15,5424010,0
2020-01-10,D,Ujjivan Small Finance Bank Ord Shs,53.3,53.75,51.8,52.2,4962166,0
2020-01-13,D,Ujjivan Small Finance Bank Ord Shs,52.25,53.0,52.25,52.55,2490710,0
2020-01-14,D,Ujjivan Small Finance Bank Ord Shs,52.85,53.5,52.3,52.55,2848871,0
2020-01-15,D,Ujjivan Small Finance Bank Ord Shs,52.9,52.9,51.6,51.7,4121422,0
2020-01-16,D,Ujjivan Small Finance Bank Ord Shs,51.95,52.95,51.2,51.5,3698950,0
2020-01-17,D,Ujjivan Small Finance Bank Ord Shs,51.7,51.9,50.3,50.4,4884518,0
2020-01-20,D,Ujjivan Small Finance Bank Ord Shs,50.75,50.8,48.6,49.05,4565526,0
2020-01-21,D,Ujjivan Small Finance Bank Ord Shs,49.25,50.6,48.35,49.95,4427125,0
2020-01-22,D,Ujjivan Small Finance Bank Ord Shs,50.8,52.9,49.75,51.35,7374048,0
2020-01-23,D,Ujjivan Small Finance Bank Ord Shs,52.0,54.2,52.0,53.6,14228890,0
2020-01-24,D,Ujjivan Small Finance Bank Ord Shs,54.0,55.3,53.7,54.8,6737755,0
2020-01-27,D,Ujjivan Small Finance Bank Ord Shs,55.0,55.95,54.0,54.6,4975971,0
2020-01-28,D,Ujjivan Small Finance Bank Ord Shs,54.6,56.25,54.5,55.05,5831800,0
2020-01-29,D,Ujjivan Small Finance Bank Ord Shs,55.5,55.75,54.8,54.9,2661337,0
2020-01-30,D,Ujjivan Small Finance Bank Ord Shs,54.9,56.0,53.85,55.45,3154683,0
2020-01-31,D,Ujjivan Small Finance Bank Ord Shs,56.1,56.4,55.55,55.8,3129732,0
2020-02-01,D,Ujjivan Small Finance Bank Ord Shs,56.0,56.0,52.55,53.6,2854454,0
2020-02-03,D,Ujjivan Small Finance Bank Ord Shs,53.5,54.25,53.0,53.25,1987363,0
2020-02-04,D,Ujjivan Small Finance Bank Ord Shs,53.9,54.5,53.4,54.05,2223160,0
2020-02-05,D,Ujjivan Small Finance Bank Ord Shs,53.7,57.8,53.6,56.25,6277829,0
2020-02-06,D,Ujjivan Small Finance Bank Ord Shs,56.2,58.2,55.8,56.75,4033152,0
2020-02-07,D,Ujjivan Small Finance Bank Ord Shs,56.85,56.9,55.75,55.95,1442427,0
2020-02-10,D,Ujjivan Small Finance Bank Ord Shs,55.8,55.95,54.5,54.95,1347813,0
2020-02-11,D,Ujjivan Small Finance Bank Ord Shs,55.1,55.95,54.1,54.95,2048203,0
2020-02-12,D,Ujjivan Small Finance Bank Ord Shs,55.0,55.3,54.1,54.3,1554938,0
2020-02-13,D,Ujjivan Small Finance Bank Ord Shs,54.05,55.15,53.6,54.7,1947090,0
2020-02-14,D,Ujjivan Small Finance Bank Ord Shs,55.0,55.5,54.1,54.5,1393438,0
2020-02-17,D,Ujjivan Small Finance Bank Ord Shs,54.0,54.45,53.2,53.5,1305086,0
2020-02-18,D,Ujjivan Small Finance Bank Ord Shs,53.05,53.5,52.2,52.8,1124779,0
2020-02-19,D,Ujjivan Small Finance Bank Ord Shs,53.0,53.9,52.9,53.05,2178575,0
2020-02-20,D,Ujjivan Small Finance Bank Ord Shs,52.8,53.6,52.45,53.25,1351336,0
2020-02-24,D,Ujjivan Small Finance Bank Ord Shs,53.0,53.2,51.5,51.65,1453779,0
2020-02-25,D,Ujjivan Small Finance Bank Ord Shs,51.65,52.15,50.85,51.15,1422367,0
2020-02-26,D,Ujjivan Small Finance Bank Ord Shs,51.0,51.25,49.15,49.85,2892356,0
2020-02-27,D,Ujjivan Small Finance Bank Ord Shs,50.0,50.0,48.65,49.55,1753310,0
2020-02-28,D,Ujjivan Small Finance Bank Ord Shs,48.0,48.8,47.0,48.4,2657101,0
2020-03-02,D,Ujjivan Small Finance Bank Ord Shs,50.5,50.9,48.25,48.7,2200495,0
2020-03-03,D,Ujjivan Small Finance Bank Ord Shs,48.7,49.7,48.0,48.8,1485021,0
2020-03-04,D,Ujjivan Small Finance Bank Ord Shs,48.75,50.0,46.5,49.1,2324931,0
2020-03-05,D,Ujjivan Small Finance Bank Ord Shs,49.5,50.2,48.5,49.85,1102893,0
2020-03-06,D,Ujjivan Small Finance Bank Ord Shs,46.0,47.0,39.9,44.4,3685026,0
2020-03-09,D,Ujjivan Small Finance Bank Ord Shs,42.0,42.85,40.1,40.8,2999073,0
2020-03-11,D,Ujjivan Small Finance Bank Ord Shs,41.0,42.75,40.5,41.3,1916543,0
2020-03-12,D,Ujjivan Small Finance Bank Ord Shs,37.0,39.7,37.0,38.7,3275828,0
2020-03-13,D,Ujjivan Small Finance Bank Ord Shs,32.5,43.0,31.0,41.3,4107654,0
2020-03-16,D,Ujjivan Small Finance Bank Ord Shs,39.8,41.85,38.1,39.5,2766365,0
2020-03-17,D,Ujjivan Small Finance Bank Ord Shs,39.5,40.5,36.05,36.85,2678737,0
2020-03-18,D,Ujjivan Small Finance Bank Ord Shs,37.5,38.45,31.55,31.95,4903807,0
2020-03-19,D,Ujjivan Small Finance Bank Ord Shs,30.5,31.3,28.7,30.05,2967208,0
2020-03-20,D,Ujjivan Small Finance Bank Ord Shs,30.7,31.2,29.0,29.4,3789703,0
2020-03-23,D,Ujjivan Small Finance Bank Ord Shs,27.0,28.65,25.0,25.4,2705682,0
2020-03-24,D,Ujjivan Small Finance Bank Ord Shs,26.0,27.4,23.6,24.1,1780301,0
2020-03-25,D,Ujjivan Small Finance Bank Ord Shs,23.6,25.0,23.1,24.35,1513021,0
2020-03-26,D,Ujjivan Small Finance Bank Ord Shs,24.45,26.75,24.45,26.75,2052369,0
2020-03-27,D,Ujjivan Small Finance Bank Ord Shs,29.4,29.4,27.7,28.75,3251044,0
2020-03-30,D,Ujjivan Small Finance Bank Ord Shs,26.75,27.65,25.9,27.2,904089,0
2020-03-31,D,Ujjivan Small Finance Bank Ord Shs,27.3,28.5,26.75,27.3,3597702,1
2020-04-01,D,Ujjivan Small Finance Bank Ord Shs,27.3,28.3,26.5,27.45,795708,0
2020-04-03,D,Ujjivan Small Finance Bank Ord Shs,27.6,28.85,25.1,27.6,2753531,1
2020-04-07,D,Ujjivan Small Finance Bank Ord Shs,29.0,29.1,27.6,28.4,963978,0
2020-04-08,D,Ujjivan Small Finance Bank Ord Shs,28.15,29.45,27.05,28.4,953535,0
2020-04-09,D,Ujjivan Small Finance Bank Ord Shs,28.8,29.35,28.3,28.9,1370611,0
2020-04-13,D,Ujjivan Small Finance Bank Ord Shs,29.5,29.7,28.0,28.55,1084087,0
2020-04-15,D,Ujjivan Small Finance Bank Ord Shs,28.0,28.95,27.9,28.05,1122894,0
2020-04-16,D,Ujjivan Small Finance Bank Ord Shs,27.95,28.85,27.5,28.6,891463,0
2020-04-17,D,Ujjivan Small Finance Bank Ord Shs,29.95,31.45,29.2,30.95,2719054,0
