Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-03-15,D,Uniinfo Telecom Services Ord Shs,56.0,56.8,52.5,55.75,1054000,0
2018-03-16,D,Uniinfo Telecom Services Ord Shs,56.45,57.3,54.1,54.9,216000,0
2018-03-19,D,Uniinfo Telecom Services Ord Shs,55.95,56.2,54.25,55.0,136000,0
2018-03-20,D,Uniinfo Telecom Services Ord Shs,54.9,55.0,54.25,54.45,48000,0
2018-03-21,D,Uniinfo Telecom Services Ord Shs,54.0,54.45,53.75,54.05,10000,0
2018-03-22,D,Uniinfo Telecom Services Ord Shs,55.25,55.25,52.5,53.5,54000,0
2018-03-23,D,Uniinfo Telecom Services Ord Shs,51.5,54.0,51.0,53.65,46000,0
2018-03-26,D,Uniinfo Telecom Services Ord Shs,53.95,55.0,52.3,53.75,68000,0
2018-03-27,D,Uniinfo Telecom Services Ord Shs,54.95,55.3,53.55,54.15,24000,0
2018-03-28,D,Uniinfo Telecom Services Ord Shs,53.15,54.0,53.15,54.0,4000,0
2018-04-02,D,Uniinfo Telecom Services Ord Shs,53.05,53.05,52.1,53.0,6000,0
2018-04-03,D,Uniinfo Telecom Services Ord Shs,54.2,54.2,54.2,54.2,2000,1
2018-04-04,D,Uniinfo Telecom Services Ord Shs,53.25,55.0,53.25,54.5,28000,0
2018-04-05,D,Uniinfo Telecom Services Ord Shs,53.5,54.95,53.5,53.85,16000,0
2018-04-06,D,Uniinfo Telecom Services Ord Shs,53.25,53.25,52.5,52.5,6000,0
2018-04-09,D,Uniinfo Telecom Services Ord Shs,53.0,53.8,53.0,53.8,6000,0
2018-04-10,D,Uniinfo Telecom Services Ord Shs,52.6,54.0,52.6,54.0,12000,0
2018-04-11,D,Uniinfo Telecom Services Ord Shs,54.0,54.0,54.0,54.0,50000,1
2018-04-12,D,Uniinfo Telecom Services Ord Shs,51.0,53.2,51.0,52.4,14000,0
2018-04-13,D,Uniinfo Telecom Services Ord Shs,53.5,54.9,53.5,54.6,54000,0
2018-04-16,D,Uniinfo Telecom Services Ord Shs,54.8,54.8,52.3,52.3,18000,0
2018-04-17,D,Uniinfo Telecom Services Ord Shs,53.9,53.9,53.9,53.9,2000,1
