Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-07-27,D,Univastu India Ord Shs,24.0,24.0,19.25,20.1,1062000,0
2017-07-28,D,Univastu India Ord Shs,20.25,20.725,20.25,20.3,282000,0
2017-07-31,D,Univastu India Ord Shs,20.0,20.475,19.525,20.2,192000,0
2017-08-01,D,Univastu India Ord Shs,20.25,20.45,19.8,20.4,180000,0
2017-08-02,D,Univastu India Ord Shs,20.425,20.425,19.8,20.25,84000,0
2017-08-03,D,Univastu India Ord Shs,20.25,20.675,20.075,20.2,114000,0
2017-08-04,D,Univastu India Ord Shs,20.2,20.625,20.15,20.3,156000,0
2017-08-07,D,Univastu India Ord Shs,20.3,20.7,20.275,20.55,138000,0
2017-08-08,D,Univastu India Ord Shs,20.4,20.7,20.4,20.625,78000,0
2017-08-09,D,Univastu India Ord Shs,20.4,20.75,20.35,20.675,72000,0
2017-08-10,D,Univastu India Ord Shs,20.55,20.8,20.375,20.625,102000,0
2017-08-11,D,Univastu India Ord Shs,20.375,21.0,20.0,20.75,162000,0
2017-08-14,D,Univastu India Ord Shs,20.95,20.95,20.95,20.95,6000,1
2017-08-16,D,Univastu India Ord Shs,20.75,21.5,20.75,21.225,60000,0
2017-08-17,D,Univastu India Ord Shs,20.75,21.45,20.75,21.45,36000,0
2017-08-18,D,Univastu India Ord Shs,21.45,21.725,21.45,21.725,30000,0
2017-08-21,D,Univastu India Ord Shs,21.75,21.75,21.25,21.25,18000,0
2017-08-22,D,Univastu India Ord Shs,20.4,21.45,20.4,21.45,36000,0
2017-08-23,D,Univastu India Ord Shs,21.4,21.75,21.4,21.75,18000,0
2017-08-24,D,Univastu India Ord Shs,21.875,21.875,21.0,21.8,102000,0
2017-08-28,D,Univastu India Ord Shs,21.225,21.225,21.2,21.2,24000,0
2017-08-29,D,Univastu India Ord Shs,21.5,21.5,21.45,21.475,66000,0
2017-08-31,D,Univastu India Ord Shs,21.1,21.5,21.075,21.375,84000,0
2017-09-01,D,Univastu India Ord Shs,21.025,21.45,21.025,21.45,30000,0
2017-09-04,D,Univastu India Ord Shs,21.5,21.5,21.5,21.5,12000,1
2017-09-05,D,Univastu India Ord Shs,21.2,21.6,21.075,21.4,72000,0
2017-09-06,D,Univastu India Ord Shs,20.9,21.5,20.9,21.5,12000,0
2017-09-08,D,Univastu India Ord Shs,21.45,21.9,20.8,21.675,54000,0
2017-09-12,D,Univastu India Ord Shs,21.875,21.875,21.875,21.875,6000,1
2017-09-13,D,Univastu India Ord Shs,21.925,22.0,21.925,22.0,18000,0
2017-09-14,D,Univastu India Ord Shs,21.975,22.125,20.875,22.025,60000,0
2017-09-15,D,Univastu India Ord Shs,21.975,22.125,21.975,22.1,42000,0
2017-09-18,D,Univastu India Ord Shs,22.0,22.25,22.0,22.25,24000,0
2017-09-19,D,Univastu India Ord Shs,22.3,22.3,22.3,22.3,6000,1
2017-09-20,D,Univastu India Ord Shs,22.7,22.7,22.7,22.7,6000,1
2017-09-25,D,Univastu India Ord Shs,21.725,21.725,21.7,21.7,12000,0
2017-09-26,D,Univastu India Ord Shs,22.725,22.725,22.725,22.725,12000,1
2017-09-29,D,Univastu India Ord Shs,21.775,22.75,21.75,22.75,24000,0
2017-10-03,D,Univastu India Ord Shs,21.75,22.65,21.625,22.575,54000,0
2017-10-04,D,Univastu India Ord Shs,22.0,22.0,22.0,22.0,18000,1
2017-10-05,D,Univastu India Ord Shs,22.0,22.4,22.0,22.4,18000,0
2017-10-09,D,Univastu India Ord Shs,22.95,23.0,22.95,23.0,12000,0
2017-10-10,D,Univastu India Ord Shs,22.025,22.15,22.0,22.05,24000,0
2017-10-12,D,Univastu India Ord Shs,22.3,22.3,22.3,22.3,12000,1
2017-10-13,D,Univastu India Ord Shs,22.375,22.975,22.375,22.975,30000,0
2017-10-17,D,Univastu India Ord Shs,23.15,23.15,23.15,23.15,6000,1
2017-10-18,D,Univastu India Ord Shs,23.025,23.325,23.025,23.325,42000,0
2017-10-23,D,Univastu India Ord Shs,22.9,22.9,22.9,22.9,12000,1
2017-10-24,D,Univastu India Ord Shs,23.0,23.0,23.0,23.0,18000,1
2017-10-25,D,Univastu India Ord Shs,23.7,23.7,23.7,23.7,12000,1
2017-10-26,D,Univastu India Ord Shs,23.75,23.75,23.525,23.525,42000,0
2017-10-30,D,Univastu India Ord Shs,23.625,23.625,23.625,23.625,12000,1
2017-10-31,D,Univastu India Ord Shs,23.625,24.25,23.625,24.0,24000,0
2017-11-01,D,Univastu India Ord Shs,24.0,24.0,23.55,23.55,18000,0
2017-11-02,D,Univastu India Ord Shs,23.5,24.375,23.5,24.375,12000,0
2017-11-03,D,Univastu India Ord Shs,24.5,24.5,23.8,23.8,18000,0
2017-11-09,D,Univastu India Ord Shs,24.3,24.3,24.3,24.3,6000,1
2017-11-10,D,Univastu India Ord Shs,24.35,24.35,23.55,23.95,18000,0
2017-11-13,D,Univastu India Ord Shs,24.05,24.1,24.05,24.1,24000,0
2017-11-14,D,Univastu India Ord Shs,24.5,24.5,24.2,24.2,24000,0
2017-11-15,D,Univastu India Ord Shs,24.4,24.4,24.4,24.4,12000,1
2017-11-16,D,Univastu India Ord Shs,24.45,24.45,24.45,24.45,6000,1
2017-11-17,D,Univastu India Ord Shs,24.475,24.475,24.475,24.475,6000,1
2017-11-22,D,Univastu India Ord Shs,24.45,24.45,24.45,24.45,12000,1
2017-11-27,D,Univastu India Ord Shs,24.75,25.5,24.75,25.5,18000,0
2017-12-05,D,Univastu India Ord Shs,25.55,25.55,25.55,25.55,6000,1
2017-12-14,D,Univastu India Ord Shs,26.75,30.0,26.75,28.5,48000,0
2017-12-19,D,Univastu India Ord Shs,28.8,28.8,28.8,28.8,12000,1
2017-12-29,D,Univastu India Ord Shs,28.75,28.75,28.75,28.75,6000,1
2018-01-01,D,Univastu India Ord Shs,30.0,30.0,30.0,30.0,6000,1
2018-01-03,D,Univastu India Ord Shs,30.5,36.0,30.05,35.5,54000,0
2018-01-04,D,Univastu India Ord Shs,33.95,33.95,33.95,33.95,6000,1
2018-01-05,D,Univastu India Ord Shs,33.9,33.9,33.9,33.9,6000,1
2018-01-09,D,Univastu India Ord Shs,33.85,33.85,33.85,33.85,6000,1
2018-01-10,D,Univastu India Ord Shs,36.5,36.5,36.5,36.5,6000,1
2018-01-11,D,Univastu India Ord Shs,36.5,36.5,36.5,36.5,6000,1
2018-01-12,D,Univastu India Ord Shs,36.75,36.75,35.55,36.15,12000,0
2018-01-16,D,Univastu India Ord Shs,35.05,36.0,35.05,35.9,18000,0
2018-01-17,D,Univastu India Ord Shs,35.55,37.0,33.05,37.0,36000,0
2018-01-18,D,Univastu India Ord Shs,35.55,35.55,35.55,35.55,6000,1
2018-01-25,D,Univastu India Ord Shs,34.9,35.05,34.9,35.05,18000,0
2018-01-29,D,Univastu India Ord Shs,34.4,37.45,34.4,36.475,24000,0
2018-02-05,D,Univastu India Ord Shs,34.0,34.2,34.0,34.2,12000,0
2018-02-09,D,Univastu India Ord Shs,34.4,34.4,34.4,34.4,6000,1
2018-02-12,D,Univastu India Ord Shs,36.425,36.5,36.425,36.5,18000,0
2018-03-08,D,Univastu India Ord Shs,36.25,36.25,36.25,36.25,6000,1
2018-03-13,D,Univastu India Ord Shs,36.875,36.875,36.85,36.85,12000,0
2018-03-21,D,Univastu India Ord Shs,36.25,36.25,36.25,36.25,24000,1
2018-03-23,D,Univastu India Ord Shs,33.5,33.5,33.5,33.5,6000,1
2018-03-26,D,Univastu India Ord Shs,33.5,33.5,33.5,33.5,6000,1
2018-03-27,D,Univastu India Ord Shs,32.5,32.5,32.5,32.5,6000,1
2018-03-28,D,Univastu India Ord Shs,32.75,38.0,32.75,37.55,66000,0
2018-04-05,D,Univastu India Ord Shs,35.55,35.55,35.55,35.55,6000,1
2018-04-06,D,Univastu India Ord Shs,36.25,36.5,36.25,36.5,24000,0
2018-04-09,D,Univastu India Ord Shs,36.5,36.5,36.5,36.5,6000,1
2018-04-16,D,Univastu India Ord Shs,36.45,36.55,36.45,36.475,24000,0
2018-04-18,D,Univastu India Ord Shs,36.5,36.5,36.5,36.5,30000,1
2018-04-19,D,Univastu India Ord Shs,36.75,36.75,36.75,36.75,6000,1
2018-04-25,D,Univastu India Ord Shs,36.8,37.0,36.8,37.0,36000,0
2018-05-03,D,Univastu India Ord Shs,37.2,37.5,37.2,37.5,18000,0
2018-05-04,D,Univastu India Ord Shs,38.0,39.45,38.0,39.45,18000,0
2018-05-08,D,Univastu India Ord Shs,40.0,40.0,40.0,40.0,6000,1
2018-05-09,D,Univastu India Ord Shs,40.25,40.25,40.25,40.25,6000,1
2018-05-14,D,Univastu India Ord Shs,39.75,40.75,39.75,40.75,24000,0
2018-05-15,D,Univastu India Ord Shs,40.5,40.875,39.75,40.4,36000,0
2018-05-17,D,Univastu India Ord Shs,39.75,39.75,39.75,39.75,6000,1
2018-05-22,D,Univastu India Ord Shs,39.7,39.8,39.7,39.8,12000,0
2018-06-05,D,Univastu India Ord Shs,39.5,39.5,39.5,39.5,3000,1
2018-06-06,D,Univastu India Ord Shs,39.75,39.75,39.0,39.0,6000,0
2018-06-07,D,Univastu India Ord Shs,39.25,39.25,39.25,39.25,3000,1
2018-06-13,D,Univastu India Ord Shs,41.0,41.5,41.0,41.25,15000,0
2018-06-22,D,Univastu India Ord Shs,41.375,41.375,41.375,41.375,3000,1
2018-06-27,D,Univastu India Ord Shs,41.25,41.25,41.25,41.25,24000,1
2018-06-28,D,Univastu India Ord Shs,41.25,41.7,41.25,41.65,30000,0
2018-07-02,D,Univastu India Ord Shs,41.05,41.05,41.05,41.05,51000,1
2018-07-04,D,Univastu India Ord Shs,39.0,39.0,39.0,39.0,3000,1
2018-07-06,D,Univastu India Ord Shs,41.25,41.375,41.25,41.3,6000,0
2018-07-16,D,Univastu India Ord Shs,43.5,43.5,43.5,43.5,9000,1
2018-07-20,D,Univastu India Ord Shs,45.0,45.0,45.0,45.0,3000,1
2018-07-30,D,Univastu India Ord Shs,44.0,45.0,44.0,45.0,9000,0
2018-08-06,D,Univastu India Ord Shs,46.5,46.5,46.5,46.5,3000,1
2018-08-28,D,Univastu India Ord Shs,46.5,46.5,46.5,46.5,3000,1
2018-09-27,D,Univastu India Ord Shs,46.55,46.55,43.05,43.05,21000,0
2018-10-05,D,Univastu India Ord Shs,43.5,43.5,43.5,43.5,6000,1
2018-10-08,D,Univastu India Ord Shs,43.5,43.5,43.5,43.5,3000,1
2018-10-09,D,Univastu India Ord Shs,42.0,42.0,42.0,42.0,3000,1
2018-10-26,D,Univastu India Ord Shs,41.0,42.45,41.0,42.3,30000,0
2018-10-31,D,Univastu India Ord Shs,39.0,42.5,39.0,41.225,15000,0
2018-11-15,D,Univastu India Ord Shs,39.5,39.5,39.5,39.5,3000,1
2018-11-28,D,Univastu India Ord Shs,42.125,42.125,42.125,42.125,12000,1
2018-12-19,D,Univastu India Ord Shs,39.0,39.0,39.0,39.0,3000,1
2018-12-20,D,Univastu India Ord Shs,39.5,45.85,39.5,45.85,6000,0
2018-12-31,D,Univastu India Ord Shs,42.0,42.0,42.0,42.0,3000,1
2019-01-10,D,Univastu India Ord Shs,42.0,42.0,41.95,41.975,6000,0
2019-01-14,D,Univastu India Ord Shs,41.975,41.975,41.975,41.975,12000,1
2019-01-29,D,Univastu India Ord Shs,42.425,42.425,39.025,40.0,9000,0
2019-02-01,D,Univastu India Ord Shs,40.95,40.95,40.95,40.95,12000,1
2019-02-08,D,Univastu India Ord Shs,39.0,39.0,39.0,39.0,3000,1
2019-03-08,D,Univastu India Ord Shs,39.5,40.0,39.5,39.75,6000,0
2019-03-11,D,Univastu India Ord Shs,40.25,40.25,40.25,40.25,9000,1
2019-03-18,D,Univastu India Ord Shs,40.5,40.5,40.5,40.5,9000,1
2019-04-05,D,Univastu India Ord Shs,39.0,40.5,39.0,39.75,21000,0
2019-04-08,D,Univastu India Ord Shs,39.0,39.0,39.0,39.0,3000,1
2019-05-03,D,Univastu India Ord Shs,36.25,36.25,36.25,36.25,3000,1
