Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-07-21,D,Utkarsh Small Finance Bank Ord Shs,40.0,48.0,37.2,48.0,265460620,0
2023-07-24,D,Utkarsh Small Finance Bank Ord Shs,52.95,56.3,50.2,51.3,115622544,0
2023-07-25,D,Utkarsh Small Finance Bank Ord Shs,52.5,53.85,48.75,51.2,31533256,0
2023-07-26,D,Utkarsh Small Finance Bank Ord Shs,52.0,52.2,49.9,50.1,8829772,0
2023-07-27,D,Utkarsh Small Finance Bank Ord Shs,49.95,50.45,48.0,48.15,8765735,0
2023-07-28,D,Utkarsh Small Finance Bank Ord Shs,48.95,51.65,48.6,51.25,14506626,0
2023-07-31,D,Utkarsh Small Finance Bank Ord Shs,52.0,52.6,51.0,51.45,7674595,0
2023-08-01,D,Utkarsh Small Finance Bank Ord Shs,51.65,51.9,50.6,51.1,4207530,0
2023-08-02,D,Utkarsh Small Finance Bank Ord Shs,51.2,51.6,48.8,49.85,6582622,0
2023-08-03,D,Utkarsh Small Finance Bank Ord Shs,50.4,51.2,49.5,50.4,3790377,1
2023-08-04,D,Utkarsh Small Finance Bank Ord Shs,50.85,51.4,50.0,50.75,3991555,0
2023-08-07,D,Utkarsh Small Finance Bank Ord Shs,51.75,54.95,50.9,53.3,15148835,0
2023-08-08,D,Utkarsh Small Finance Bank Ord Shs,53.8,53.8,51.15,51.6,6930700,0
2023-08-09,D,Utkarsh Small Finance Bank Ord Shs,51.0,51.3,49.6,50.35,6089259,0
2023-08-10,D,Utkarsh Small Finance Bank Ord Shs,50.0,51.65,50.0,50.35,3365576,0
2023-08-11,D,Utkarsh Small Finance Bank Ord Shs,50.4,51.3,50.35,50.9,2195425,0
2023-08-14,D,Utkarsh Small Finance Bank Ord Shs,51.0,51.15,49.9,50.55,2560844,0
2023-08-16,D,Utkarsh Small Finance Bank Ord Shs,50.5,52.25,50.25,51.65,3786319,0
2023-08-17,D,Utkarsh Small Finance Bank Ord Shs,51.0,51.0,48.9,49.0,7062918,0
2023-08-18,D,Utkarsh Small Finance Bank Ord Shs,49.1,49.6,47.6,48.2,5971511,0
2023-08-21,D,Utkarsh Small Finance Bank Ord Shs,48.45,49.0,47.6,47.75,3696307,0
2023-08-22,D,Utkarsh Small Finance Bank Ord Shs,48.0,49.0,47.6,47.75,4257457,0
2023-08-23,D,Utkarsh Small Finance Bank Ord Shs,47.8,48.4,47.4,47.65,2858126,0
2023-08-24,D,Utkarsh Small Finance Bank Ord Shs,47.8,48.5,47.4,48.1,4583853,0
2023-08-25,D,Utkarsh Small Finance Bank Ord Shs,48.35,49.35,47.95,49.05,5463062,0
2023-08-28,D,Utkarsh Small Finance Bank Ord Shs,49.45,49.45,47.85,48.55,2718149,0
2023-08-29,D,Utkarsh Small Finance Bank Ord Shs,48.75,49.15,48.0,48.25,2953267,0
2023-08-30,D,Utkarsh Small Finance Bank Ord Shs,48.5,49.05,47.8,48.05,1722568,0
2023-08-31,D,Utkarsh Small Finance Bank Ord Shs,48.4,48.6,47.45,47.8,1702358,0
2023-09-01,D,Utkarsh Small Finance Bank Ord Shs,47.8,48.35,47.7,48.0,1322282,0
2023-09-04,D,Utkarsh Small Finance Bank Ord Shs,48.5,48.6,47.7,48.1,2256946,0
2023-09-05,D,Utkarsh Small Finance Bank Ord Shs,47.75,48.95,47.75,48.5,2738046,0
2023-09-06,D,Utkarsh Small Finance Bank Ord Shs,48.65,48.65,47.95,48.1,1622237,0
2023-09-07,D,Utkarsh Small Finance Bank Ord Shs,48.15,48.4,47.85,48.05,1603541,0
2023-09-08,D,Utkarsh Small Finance Bank Ord Shs,48.3,49.4,47.75,48.1,7520898,0
2023-09-11,D,Utkarsh Small Finance Bank Ord Shs,48.4,48.55,47.85,47.95,2888628,0
2023-09-12,D,Utkarsh Small Finance Bank Ord Shs,48.0,48.1,45.9,47.6,5299888,0
2023-09-13,D,Utkarsh Small Finance Bank Ord Shs,47.9,50.45,46.65,49.6,9240077,0
2023-09-14,D,Utkarsh Small Finance Bank Ord Shs,50.1,50.3,49.0,49.45,2585561,0
2023-09-15,D,Utkarsh Small Finance Bank Ord Shs,49.8,52.3,49.25,50.55,8829787,0
2023-09-18,D,Utkarsh Small Finance Bank Ord Shs,50.95,53.0,50.4,51.6,10010300,0
2023-09-20,D,Utkarsh Small Finance Bank Ord Shs,51.75,54.1,50.55,51.35,8062744,0
2023-09-21,D,Utkarsh Small Finance Bank Ord Shs,51.3,51.7,49.75,49.9,3072338,0
2023-09-22,D,Utkarsh Small Finance Bank Ord Shs,49.8,50.75,49.2,50.0,2000322,0
2023-09-25,D,Utkarsh Small Finance Bank Ord Shs,50.35,50.4,49.75,50.05,907105,0
2023-09-26,D,Utkarsh Small Finance Bank Ord Shs,50.15,50.85,49.5,49.75,1840882,0
2023-09-27,D,Utkarsh Small Finance Bank Ord Shs,49.95,51.2,49.25,50.0,3395217,0
2023-09-28,D,Utkarsh Small Finance Bank Ord Shs,50.3,51.9,50.2,50.95,3021148,0
2023-09-29,D,Utkarsh Small Finance Bank Ord Shs,51.5,52.1,51.05,51.25,2009106,0
2023-10-03,D,Utkarsh Small Finance Bank Ord Shs,51.5,52.7,51.2,51.6,2734866,0
2023-10-04,D,Utkarsh Small Finance Bank Ord Shs,51.5,53.15,51.0,51.35,4346738,0
2023-10-05,D,Utkarsh Small Finance Bank Ord Shs,51.65,61.6,51.65,59.55,69218167,0
2023-10-06,D,Utkarsh Small Finance Bank Ord Shs,60.3,60.9,58.1,58.75,24078050,0
2023-10-09,D,Utkarsh Small Finance Bank Ord Shs,57.1,57.3,53.05,54.05,19141335,0
2023-10-10,D,Utkarsh Small Finance Bank Ord Shs,54.45,56.7,53.8,56.35,12586119,0
2023-10-11,D,Utkarsh Small Finance Bank Ord Shs,57.3,58.15,56.0,56.55,9751789,0
2023-10-12,D,Utkarsh Small Finance Bank Ord Shs,56.85,56.95,55.25,55.7,4272916,0
2023-10-13,D,Utkarsh Small Finance Bank Ord Shs,54.6,59.65,54.6,59.05,18215827,0
2023-10-16,D,Utkarsh Small Finance Bank Ord Shs,57.9,58.95,54.65,55.1,16586930,0
