Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-10-06,D,Valiant Laboratories Ord Shs,162.15,170.25,162.1,170.25,3427170,0
2023-10-09,D,Valiant Laboratories Ord Shs,170.5,173.95,162.1,167.55,1320242,0
2023-10-10,D,Valiant Laboratories Ord Shs,168.05,170.45,167.9,168.85,531390,0
2023-10-11,D,Valiant Laboratories Ord Shs,168.7,170.05,164.7,167.4,740158,0
2023-10-12,D,Valiant Laboratories Ord Shs,165.2,168.9,165.05,168.3,279712,0
2023-10-13,D,Valiant Laboratories Ord Shs,167.1,176.7,166.1,176.7,421024,0
2023-10-16,D,Valiant Laboratories Ord Shs,185.5,185.5,185.5,185.5,79141,1
2023-10-17,D,Valiant Laboratories Ord Shs,194.75,194.75,194.75,194.75,174881,1
2023-10-18,D,Valiant Laboratories Ord Shs,195.0,196.0,185.05,185.05,866251,0
2023-10-19,D,Valiant Laboratories Ord Shs,181.0,194.3,177.1,194.3,512395,0
2023-10-20,D,Valiant Laboratories Ord Shs,192.3,198.9,186.1,189.25,784155,0
2023-10-23,D,Valiant Laboratories Ord Shs,190.45,194.0,173.3,175.05,498252,0
2023-10-25,D,Valiant Laboratories Ord Shs,179.4,179.85,166.75,175.25,385057,0
2023-10-26,D,Valiant Laboratories Ord Shs,173.55,191.9,169.6,188.6,656139,0
2023-10-27,D,Valiant Laboratories Ord Shs,191.8,197.5,187.05,190.85,603401,0
2023-10-30,D,Valiant Laboratories Ord Shs,191.8,202.8,186.45,194.85,920494,0
2023-10-31,D,Valiant Laboratories Ord Shs,196.1,198.3,189.05,190.1,244211,0
2023-11-01,D,Valiant Laboratories Ord Shs,191.3,201.85,188.55,193.15,753754,0
2023-11-02,D,Valiant Laboratories Ord Shs,194.95,205.45,193.95,201.95,1346749,0
2023-11-03,D,Valiant Laboratories Ord Shs,203.0,206.1,192.05,192.85,639784,0
2023-11-06,D,Valiant Laboratories Ord Shs,194.75,198.7,185.85,187.15,790659,0
2023-11-07,D,Valiant Laboratories Ord Shs,179.6,189.6,179.6,184.5,539062,0
2023-11-08,D,Valiant Laboratories Ord Shs,187.0,187.7,182.0,183.05,480089,0
2023-11-09,D,Valiant Laboratories Ord Shs,185.0,185.75,174.95,176.75,624743,0
2023-11-10,D,Valiant Laboratories Ord Shs,176.9,185.4,175.0,183.5,408876,0
2023-11-12,D,Valiant Laboratories Ord Shs,186.95,191.0,185.2,187.7,136626,0
2023-11-13,D,Valiant Laboratories Ord Shs,187.0,187.0,180.8,182.1,160510,0
2023-11-15,D,Valiant Laboratories Ord Shs,186.0,192.4,183.0,190.95,476153,0
2023-11-16,D,Valiant Laboratories Ord Shs,191.8,192.1,186.9,188.45,192625,0
2023-11-17,D,Valiant Laboratories Ord Shs,188.45,191.9,187.05,188.4,249869,0
2023-11-20,D,Valiant Laboratories Ord Shs,188.5,190.9,184.0,184.45,287891,0
2023-11-21,D,Valiant Laboratories Ord Shs,185.0,186.75,182.05,182.9,156644,0
2023-11-22,D,Valiant Laboratories Ord Shs,184.85,185.45,180.5,182.35,230891,0
2023-11-23,D,Valiant Laboratories Ord Shs,183.45,184.15,181.0,182.05,69704,0
2023-11-24,D,Valiant Laboratories Ord Shs,181.5,184.8,181.05,184.4,87336,0
2023-11-28,D,Valiant Laboratories Ord Shs,186.4,190.8,184.1,185.05,227811,0
2023-11-29,D,Valiant Laboratories Ord Shs,185.05,188.25,183.05,184.6,131213,0
2023-11-30,D,Valiant Laboratories Ord Shs,183.15,184.75,177.15,181.0,125035,0
2023-12-01,D,Valiant Laboratories Ord Shs,178.6,188.7,175.8,178.85,240323,0
2023-12-04,D,Valiant Laboratories Ord Shs,181.95,182.3,177.05,179.6,166745,0
2023-12-05,D,Valiant Laboratories Ord Shs,180.35,180.35,176.55,177.7,145737,0
2023-12-06,D,Valiant Laboratories Ord Shs,179.95,180.9,176.0,176.5,125721,0
2023-12-07,D,Valiant Laboratories Ord Shs,177.0,180.2,175.2,177.15,88211,0
2023-12-08,D,Valiant Laboratories Ord Shs,178.0,178.95,174.6,176.5,76861,0
2023-12-11,D,Valiant Laboratories Ord Shs,178.65,178.65,174.55,176.1,74961,0
2023-12-12,D,Valiant Laboratories Ord Shs,178.0,178.0,171.95,173.15,154438,0
2023-12-13,D,Valiant Laboratories Ord Shs,174.95,175.45,169.7,174.2,66479,0
2023-12-14,D,Valiant Laboratories Ord Shs,175.85,175.85,170.6,172.95,88822,0
2023-12-15,D,Valiant Laboratories Ord Shs,173.95,174.8,171.5,172.4,74979,0
2023-12-18,D,Valiant Laboratories Ord Shs,173.0,174.15,170.35,172.6,86595,0
2023-12-19,D,Valiant Laboratories Ord Shs,173.4,185.0,173.1,178.65,606404,0
2023-12-20,D,Valiant Laboratories Ord Shs,179.9,181.55,170.0,170.95,213785,0
2023-12-21,D,Valiant Laboratories Ord Shs,167.35,175.5,167.0,174.25,92546,0
2023-12-22,D,Valiant Laboratories Ord Shs,179.0,179.8,174.65,177.0,84258,0
2023-12-26,D,Valiant Laboratories Ord Shs,177.0,180.55,173.25,174.85,419495,0
2023-12-27,D,Valiant Laboratories Ord Shs,178.9,178.9,173.0,175.0,63100,0
2023-12-28,D,Valiant Laboratories Ord Shs,175.0,175.9,173.2,174.55,253180,0
2023-12-29,D,Valiant Laboratories Ord Shs,174.6,176.45,172.25,173.2,305015,0
2024-01-01,D,Valiant Laboratories Ord Shs,175.75,179.0,173.5,175.2,155446,0
2024-01-02,D,Valiant Laboratories Ord Shs,175.2,176.7,171.1,173.25,349879,0
2024-01-03,D,Valiant Laboratories Ord Shs,174.35,175.45,172.0,172.3,241723,0
2024-01-04,D,Valiant Laboratories Ord Shs,175.0,177.1,172.5,174.85,127243,0
2024-01-05,D,Valiant Laboratories Ord Shs,177.7,177.7,171.75,172.7,160080,0
2024-01-08,D,Valiant Laboratories Ord Shs,175.8,175.8,167.9,169.2,102162,0
2024-01-09,D,Valiant Laboratories Ord Shs,171.55,173.85,168.5,168.95,390676,0
2024-01-10,D,Valiant Laboratories Ord Shs,169.0,170.2,166.35,167.5,272726,0
2024-01-11,D,Valiant Laboratories Ord Shs,168.0,176.1,168.0,174.6,326406,0
2024-01-12,D,Valiant Laboratories Ord Shs,176.2,181.9,173.55,174.75,996184,0
2024-01-15,D,Valiant Laboratories Ord Shs,176.0,180.0,174.2,177.15,221848,0
2024-01-16,D,Valiant Laboratories Ord Shs,177.15,191.0,176.1,187.95,1596091,0
2024-01-17,D,Valiant Laboratories Ord Shs,185.0,192.0,182.05,186.8,735788,0
2024-01-18,D,Valiant Laboratories Ord Shs,184.0,191.8,183.4,186.55,293109,0
2024-01-19,D,Valiant Laboratories Ord Shs,193.0,206.15,191.0,204.8,1564362,0
2024-01-20,D,Valiant Laboratories Ord Shs,203.0,211.0,202.0,205.9,499210,0
2024-01-23,D,Valiant Laboratories Ord Shs,205.75,205.75,188.2,190.45,380469,0
2024-01-24,D,Valiant Laboratories Ord Shs,191.0,197.4,189.85,195.5,213523,0
2024-01-25,D,Valiant Laboratories Ord Shs,197.35,198.2,191.0,192.75,133947,0
2024-01-29,D,Valiant Laboratories Ord Shs,192.75,204.25,191.1,202.35,323119,0
