Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-03,D,Vardhman Polytex Ord Shs,7.719897,7.719897,7.719897,7.719897,1133.434757,1
1995-01-11,D,Vardhman Polytex Ord Shs,6.617055,6.617055,6.617055,6.617055,5667.173785,1
1995-01-17,D,Vardhman Polytex Ord Shs,6.617055,6.617055,6.617055,6.617055,1133.434757,1
1995-01-18,D,Vardhman Polytex Ord Shs,6.617055,6.617055,6.617055,6.617055,1133.434757,1
1995-02-03,D,Vardhman Polytex Ord Shs,6.617055,6.617055,6.617055,6.617055,14734.651841,1
1995-02-06,D,Vardhman Polytex Ord Shs,6.617055,6.617055,6.617055,6.617055,7934.043299,1
1995-02-07,D,Vardhman Polytex Ord Shs,6.617055,6.617055,6.617055,6.617055,1133.434757,1
1995-02-09,D,Vardhman Polytex Ord Shs,6.352373,6.396486,6.352373,6.352373,10200.912813,1
1995-02-10,D,Vardhman Polytex Ord Shs,6.396486,6.396486,6.396486,6.396486,1133.434757,1
1995-02-13,D,Vardhman Polytex Ord Shs,6.352373,6.352373,6.352373,6.352373,2266.869514,1
1995-02-14,D,Vardhman Polytex Ord Shs,6.352373,6.352373,6.352373,6.352373,1133.434757,1
1995-02-15,D,Vardhman Polytex Ord Shs,6.264145,6.264145,6.264145,6.264145,1133.434757,1
1995-02-21,D,Vardhman Polytex Ord Shs,5.911236,5.911236,5.911236,5.911236,2266.869514,1
1995-02-22,D,Vardhman Polytex Ord Shs,6.043577,6.043577,6.043577,6.043577,1133.434757,1
1995-02-23,D,Vardhman Polytex Ord Shs,6.175918,6.175918,6.175918,6.175918,5667.173785,1
1995-03-06,D,Vardhman Polytex Ord Shs,6.175918,6.352373,6.175918,6.352373,35136.477467,0
1995-03-07,D,Vardhman Polytex Ord Shs,6.352373,6.352373,6.352373,6.352373,4533.739028,1
1995-03-09,D,Vardhman Polytex Ord Shs,6.272968,6.272968,6.272968,6.272968,2266.869514,1
1995-03-10,D,Vardhman Polytex Ord Shs,6.272968,6.352373,6.264145,6.352373,3400.304271,0
1995-09-06,D,Vardhman Polytex Ord Shs,4.146688,4.146688,4.146688,4.146688,4533.739028,1
1995-10-05,D,Vardhman Polytex Ord Shs,4.146688,4.146688,4.146688,4.146688,1133.434757,1
1995-10-10,D,Vardhman Polytex Ord Shs,4.190801,4.190801,4.190801,4.190801,2266.869514,1
1995-10-11,D,Vardhman Polytex Ord Shs,4.190801,4.190801,4.190801,4.190801,1133.434757,1
1995-10-12,D,Vardhman Polytex Ord Shs,4.190801,4.190801,4.190801,4.190801,1133.434757,1
1995-10-19,D,Vardhman Polytex Ord Shs,4.146688,4.146688,4.146688,4.146688,1133.434757,1
1995-10-31,D,Vardhman Polytex Ord Shs,3.793778,3.793778,3.793778,3.793778,1133.434757,1
1995-11-06,D,Vardhman Polytex Ord Shs,3.793778,3.793778,3.793778,3.793778,3400.304271,1
1995-11-07,D,Vardhman Polytex Ord Shs,4.146688,4.146688,4.142276,4.142276,3400.304271,0
1995-11-09,D,Vardhman Polytex Ord Shs,3.970233,4.05846,3.970233,4.05846,4533.739028,0
1995-11-10,D,Vardhman Polytex Ord Shs,3.882006,3.970233,3.882006,3.970233,3400.304271,0
1995-11-13,D,Vardhman Polytex Ord Shs,3.970233,3.970233,3.970233,3.970233,1133.434757,1
1995-11-14,D,Vardhman Polytex Ord Shs,3.970233,3.970233,3.970233,3.970233,1133.434757,1
1995-12-19,D,Vardhman Polytex Ord Shs,3.970233,3.970233,3.970233,3.970233,1133.434757,1
1995-12-22,D,Vardhman Polytex Ord Shs,3.617323,3.617323,3.617323,3.617323,1133.434757,1
1995-12-27,D,Vardhman Polytex Ord Shs,3.268825,3.268825,3.268825,3.268825,1133.434757,1
1995-12-28,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.352641,3.352641,2266.869514,1
1996-01-02,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.352641,3.352641,2266.869514,1
1996-01-11,D,Vardhman Polytex Ord Shs,3.043845,3.043845,3.043845,3.043845,1133.434757,1
1996-01-15,D,Vardhman Polytex Ord Shs,3.087959,3.087959,3.087959,3.087959,1133.434757,1
1996-01-16,D,Vardhman Polytex Ord Shs,3.132073,3.132073,3.132073,3.132073,1133.434757,1
1996-01-17,D,Vardhman Polytex Ord Shs,3.255591,3.264414,3.255591,3.264414,2266.869514,0
1996-01-19,D,Vardhman Polytex Ord Shs,3.132073,3.132073,3.132073,3.132073,1133.434757,1
1996-01-25,D,Vardhman Polytex Ord Shs,3.264414,3.264414,3.087959,3.087959,3400.304271,0
1996-02-01,D,Vardhman Polytex Ord Shs,3.2203,3.2203,3.2203,3.2203,2266.869514,1
1996-02-07,D,Vardhman Polytex Ord Shs,3.264414,3.264414,3.264414,3.264414,1133.434757,1
1996-02-09,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.352641,3.352641,11334.34757,1
1996-02-22,D,Vardhman Polytex Ord Shs,3.520273,3.529096,3.520273,3.529096,3400.304271,0
1996-02-23,D,Vardhman Polytex Ord Shs,3.529096,3.529096,3.396755,3.529096,3400.304271,1
1996-02-26,D,Vardhman Polytex Ord Shs,3.524685,3.595266,3.524685,3.595266,5667.173785,0
1996-02-27,D,Vardhman Polytex Ord Shs,3.617323,3.617323,3.617323,3.617323,1133.434757,1
1996-02-28,D,Vardhman Polytex Ord Shs,3.617323,3.617323,3.617323,3.617323,2266.869514,1
1996-02-29,D,Vardhman Polytex Ord Shs,3.529096,3.529096,3.396755,3.396755,2266.869514,0
1996-03-01,D,Vardhman Polytex Ord Shs,3.440869,3.44528,3.352641,3.44528,15868.086598,0
1996-03-04,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.352641,3.352641,1133.434757,1
1996-03-07,D,Vardhman Polytex Ord Shs,3.330584,3.330584,3.330584,3.330584,2266.869514,1
1996-03-08,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.352641,3.352641,2266.869514,1
1996-03-15,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.352641,3.352641,1133.434757,1
1996-03-21,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.185009,3.185009,2266.869514,0
1996-03-22,D,Vardhman Polytex Ord Shs,3.34823,3.352641,3.34823,3.352641,3400.304271,0
1996-03-25,D,Vardhman Polytex Ord Shs,3.176186,3.2203,3.176186,3.2203,9067.478056,0
1996-03-27,D,Vardhman Polytex Ord Shs,3.132073,3.132073,3.110016,3.118839,3400.304271,0
1996-03-28,D,Vardhman Polytex Ord Shs,3.087959,3.132073,2.960029,3.132073,4533.739028,0
1996-04-01,D,Vardhman Polytex Ord Shs,3.105604,3.154129,3.105604,3.154129,4533.739028,0
1996-04-03,D,Vardhman Polytex Ord Shs,3.087959,3.087959,3.087959,3.087959,7934.043299,1
1996-04-04,D,Vardhman Polytex Ord Shs,2.999732,2.999732,2.999732,2.999732,1133.434757,1
1996-04-08,D,Vardhman Polytex Ord Shs,3.171775,3.171775,3.171775,3.171775,1133.434757,1
1996-04-09,D,Vardhman Polytex Ord Shs,3.176186,3.176186,3.176186,3.176186,2266.869514,1
1996-04-10,D,Vardhman Polytex Ord Shs,3.176186,3.176186,3.176186,3.176186,1133.434757,1
1996-04-12,D,Vardhman Polytex Ord Shs,3.087959,3.087959,3.087959,3.087959,2266.869514,1
1996-04-15,D,Vardhman Polytex Ord Shs,3.154129,3.396755,3.154129,3.154129,2266.869514,1
1996-04-16,D,Vardhman Polytex Ord Shs,3.211477,3.2203,3.211477,3.2203,2266.869514,0
1996-04-17,D,Vardhman Polytex Ord Shs,3.264414,3.352641,3.264414,3.352641,11334.34757,0
1996-04-18,D,Vardhman Polytex Ord Shs,3.352641,3.352641,3.352641,3.352641,2266.869514,1
1996-04-19,D,Vardhman Polytex Ord Shs,3.396755,3.396755,3.396755,3.396755,1133.434757,1
