Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-06,D,Vardhman Holdings Ord Shs,270.0,270.0,270.0,270.0,200,1
1995-01-18,D,Vardhman Holdings Ord Shs,260.0,260.0,260.0,260.0,200,1
1995-01-25,D,Vardhman Holdings Ord Shs,245.0,245.0,245.0,245.0,100,1
1995-01-27,D,Vardhman Holdings Ord Shs,245.0,245.0,245.0,245.0,300,1
1995-01-30,D,Vardhman Holdings Ord Shs,250.0,250.0,250.0,250.0,150,1
1995-01-31,D,Vardhman Holdings Ord Shs,250.0,250.0,250.0,250.0,150,1
1995-02-02,D,Vardhman Holdings Ord Shs,260.0,265.0,260.0,260.0,700,1
1995-02-07,D,Vardhman Holdings Ord Shs,250.0,250.0,237.5,237.9,1000,0
1995-02-09,D,Vardhman Holdings Ord Shs,240.0,250.0,240.0,247.5,150,0
1995-02-10,D,Vardhman Holdings Ord Shs,247.5,247.5,247.5,247.5,400,1
1995-02-13,D,Vardhman Holdings Ord Shs,240.0,240.0,240.0,240.0,100,1
1995-02-14,D,Vardhman Holdings Ord Shs,230.0,230.0,230.0,230.0,50,1
1995-02-15,D,Vardhman Holdings Ord Shs,240.0,240.0,232.0,232.0,350,0
1995-02-16,D,Vardhman Holdings Ord Shs,227.0,232.0,227.0,232.0,350,0
1995-02-17,D,Vardhman Holdings Ord Shs,225.0,227.0,225.0,226.0,500,0
1995-02-20,D,Vardhman Holdings Ord Shs,230.0,230.0,225.0,225.0,800,0
1995-02-21,D,Vardhman Holdings Ord Shs,222.0,222.0,220.0,222.0,1050,1
1995-02-22,D,Vardhman Holdings Ord Shs,220.0,220.0,219.0,220.0,700,1
1995-02-23,D,Vardhman Holdings Ord Shs,221.0,221.0,221.0,221.0,50,1
1995-02-28,D,Vardhman Holdings Ord Shs,225.0,248.0,225.0,248.0,450,0
1995-03-01,D,Vardhman Holdings Ord Shs,245.0,245.0,245.0,245.0,100,1
1995-03-02,D,Vardhman Holdings Ord Shs,245.0,245.0,245.0,245.0,300,1
1995-03-03,D,Vardhman Holdings Ord Shs,245.0,245.0,245.0,245.0,100,1
1995-03-06,D,Vardhman Holdings Ord Shs,245.0,245.0,245.0,245.0,950,1
1995-03-07,D,Vardhman Holdings Ord Shs,245.0,245.0,242.0,242.0,150,0
1995-03-08,D,Vardhman Holdings Ord Shs,240.0,240.0,240.0,240.0,300,1
1995-03-09,D,Vardhman Holdings Ord Shs,240.0,240.0,240.0,240.0,500,1
1995-03-10,D,Vardhman Holdings Ord Shs,237.5,237.5,237.5,237.5,300,1
1995-03-14,D,Vardhman Holdings Ord Shs,220.25,220.25,220.0,220.15,250,0
