Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-09-14,D,Vijaya Diagnostic Centre Ord Shs,540.0,648.0,532.5,620.1,22194857,0
2021-09-15,D,Vijaya Diagnostic Centre Ord Shs,618.5,658.0,591.2,640.5,7226253,0
2021-09-16,D,Vijaya Diagnostic Centre Ord Shs,643.95,672.0,636.0,644.05,1756036,0
2021-09-17,D,Vijaya Diagnostic Centre Ord Shs,644.05,649.3,592.5,627.0,1823087,0
2021-09-20,D,Vijaya Diagnostic Centre Ord Shs,613.5,617.8,575.55,584.5,873363,0
2021-09-21,D,Vijaya Diagnostic Centre Ord Shs,583.5,594.1,535.1,575.4,1333438,0
2021-09-22,D,Vijaya Diagnostic Centre Ord Shs,580.0,614.9,574.3,578.7,1007133,0
2021-09-23,D,Vijaya Diagnostic Centre Ord Shs,586.0,600.0,577.0,579.35,480924,0
2021-09-24,D,Vijaya Diagnostic Centre Ord Shs,585.0,591.0,568.5,579.75,378162,0
2021-09-27,D,Vijaya Diagnostic Centre Ord Shs,581.1,585.7,573.4,578.3,428695,0
2021-09-28,D,Vijaya Diagnostic Centre Ord Shs,575.0,580.9,570.3,578.15,503432,0
2021-09-29,D,Vijaya Diagnostic Centre Ord Shs,575.0,575.0,550.55,565.55,262342,0
2021-09-30,D,Vijaya Diagnostic Centre Ord Shs,562.5,571.85,562.5,569.95,170329,0
2021-10-01,D,Vijaya Diagnostic Centre Ord Shs,562.2,572.0,550.0,551.3,292272,0
2021-10-04,D,Vijaya Diagnostic Centre Ord Shs,552.05,561.15,547.7,551.6,202460,0
2021-10-05,D,Vijaya Diagnostic Centre Ord Shs,551.65,585.35,551.65,580.7,498976,0
2021-10-06,D,Vijaya Diagnostic Centre Ord Shs,576.1,580.65,576.1,579.35,142636,0
2021-10-07,D,Vijaya Diagnostic Centre Ord Shs,578.0,581.65,568.6,572.8,90526,0
2021-10-08,D,Vijaya Diagnostic Centre Ord Shs,568.0,586.8,566.15,581.5,542408,0
2021-10-11,D,Vijaya Diagnostic Centre Ord Shs,581.0,585.85,564.0,567.4,137082,0
2021-10-12,D,Vijaya Diagnostic Centre Ord Shs,561.25,573.4,561.25,564.7,96581,0
2021-10-13,D,Vijaya Diagnostic Centre Ord Shs,563.0,569.9,542.0,559.75,235075,0
2021-10-14,D,Vijaya Diagnostic Centre Ord Shs,560.0,565.65,560.0,562.4,1003444,0
2021-10-18,D,Vijaya Diagnostic Centre Ord Shs,565.0,575.7,565.0,574.95,534218,0
2021-10-19,D,Vijaya Diagnostic Centre Ord Shs,574.95,574.95,558.05,561.25,155138,0
2021-10-20,D,Vijaya Diagnostic Centre Ord Shs,560.0,630.0,548.65,584.4,973120,0
2021-10-21,D,Vijaya Diagnostic Centre Ord Shs,584.4,587.0,571.0,572.35,432567,0
2021-10-22,D,Vijaya Diagnostic Centre Ord Shs,573.95,579.5,571.0,573.9,91127,0
2021-10-25,D,Vijaya Diagnostic Centre Ord Shs,580.45,600.0,561.0,569.0,218191,0
2021-10-26,D,Vijaya Diagnostic Centre Ord Shs,568.5,574.9,553.65,569.1,452600,0
2021-10-27,D,Vijaya Diagnostic Centre Ord Shs,563.0,577.0,560.0,568.55,75036,0
2021-10-28,D,Vijaya Diagnostic Centre Ord Shs,566.7,575.0,561.15,569.25,293756,0
2021-10-29,D,Vijaya Diagnostic Centre Ord Shs,562.15,568.95,550.0,564.5,205433,0
2021-11-01,D,Vijaya Diagnostic Centre Ord Shs,560.0,572.35,560.0,569.55,120429,0
2021-11-02,D,Vijaya Diagnostic Centre Ord Shs,565.6,574.0,561.25,569.1,84285,0
2021-11-03,D,Vijaya Diagnostic Centre Ord Shs,563.1,568.75,562.15,564.9,36302,0
2021-11-04,D,Vijaya Diagnostic Centre Ord Shs,537.1,574.0,537.1,559.75,19974,0
2021-11-08,D,Vijaya Diagnostic Centre Ord Shs,560.6,582.45,560.6,564.5,216811,0
2021-11-09,D,Vijaya Diagnostic Centre Ord Shs,560.1,574.9,543.65,570.0,295703,0
2021-11-10,D,Vijaya Diagnostic Centre Ord Shs,563.1,573.4,562.05,564.0,74802,0
2021-11-11,D,Vijaya Diagnostic Centre Ord Shs,563.0,570.2,556.0,564.05,66039,0
2021-11-12,D,Vijaya Diagnostic Centre Ord Shs,561.0,569.7,561.0,565.55,504239,0
2021-11-15,D,Vijaya Diagnostic Centre Ord Shs,565.55,571.0,563.5,568.1,333642,0
2021-11-16,D,Vijaya Diagnostic Centre Ord Shs,566.0,591.65,565.15,590.05,339325,0
2021-11-17,D,Vijaya Diagnostic Centre Ord Shs,590.0,602.95,578.45,584.2,198114,0
2021-11-18,D,Vijaya Diagnostic Centre Ord Shs,580.0,583.25,565.8,571.0,328259,0
2021-11-22,D,Vijaya Diagnostic Centre Ord Shs,568.0,578.0,567.95,575.2,86304,0
2021-11-23,D,Vijaya Diagnostic Centre Ord Shs,567.25,588.9,567.25,583.8,120040,0
2021-11-24,D,Vijaya Diagnostic Centre Ord Shs,577.6,589.1,566.0,568.1,493263,0
2021-11-25,D,Vijaya Diagnostic Centre Ord Shs,567.0,579.0,565.0,571.55,50920,0
2021-11-26,D,Vijaya Diagnostic Centre Ord Shs,567.0,602.0,567.0,585.0,334525,0
2021-11-29,D,Vijaya Diagnostic Centre Ord Shs,576.0,591.85,569.5,572.05,192879,0
2021-11-30,D,Vijaya Diagnostic Centre Ord Shs,570.2,582.6,570.2,576.5,93872,0
2021-12-01,D,Vijaya Diagnostic Centre Ord Shs,580.0,583.6,573.0,575.75,47242,0
2021-12-02,D,Vijaya Diagnostic Centre Ord Shs,573.1,598.6,573.1,590.9,130244,0
2021-12-03,D,Vijaya Diagnostic Centre Ord Shs,590.9,599.45,580.35,584.75,72862,0
2021-12-06,D,Vijaya Diagnostic Centre Ord Shs,584.0,595.85,580.7,589.65,106346,0
2021-12-07,D,Vijaya Diagnostic Centre Ord Shs,590.0,595.0,574.25,579.7,86672,0
2021-12-08,D,Vijaya Diagnostic Centre Ord Shs,579.0,581.0,569.15,571.35,80094,0
2021-12-09,D,Vijaya Diagnostic Centre Ord Shs,572.0,575.75,567.25,570.75,51355,0
2021-12-10,D,Vijaya Diagnostic Centre Ord Shs,568.55,576.45,567.25,573.9,72274,0
2021-12-13,D,Vijaya Diagnostic Centre Ord Shs,573.0,576.45,568.0,570.2,97800,0
2021-12-14,D,Vijaya Diagnostic Centre Ord Shs,570.0,572.1,567.25,570.8,36515,0
2021-12-15,D,Vijaya Diagnostic Centre Ord Shs,576.2,577.0,568.4,570.1,27321,0
2021-12-16,D,Vijaya Diagnostic Centre Ord Shs,571.0,581.9,565.25,567.4,73247,0
2021-12-17,D,Vijaya Diagnostic Centre Ord Shs,567.0,567.0,540.0,541.25,90386,0
2021-12-20,D,Vijaya Diagnostic Centre Ord Shs,526.0,544.05,505.2,510.85,103361,0
2021-12-21,D,Vijaya Diagnostic Centre Ord Shs,524.0,559.0,511.4,548.25,72614,0
2021-12-22,D,Vijaya Diagnostic Centre Ord Shs,538.1,550.0,538.1,548.05,43692,0
2021-12-23,D,Vijaya Diagnostic Centre Ord Shs,550.9,555.0,536.05,542.65,32973,0
2021-12-24,D,Vijaya Diagnostic Centre Ord Shs,538.0,541.55,531.95,532.85,20491,0
2021-12-27,D,Vijaya Diagnostic Centre Ord Shs,533.0,539.25,533.0,536.5,16233,0
2021-12-28,D,Vijaya Diagnostic Centre Ord Shs,537.0,557.25,535.35,555.5,67961,0
2021-12-29,D,Vijaya Diagnostic Centre Ord Shs,558.4,575.0,550.0,565.25,177515,0
2021-12-30,D,Vijaya Diagnostic Centre Ord Shs,565.0,581.0,555.0,578.65,98724,0
2021-12-31,D,Vijaya Diagnostic Centre Ord Shs,573.25,586.9,567.4,582.5,130309,0
2022-01-03,D,Vijaya Diagnostic Centre Ord Shs,591.75,601.0,570.35,598.75,154369,0
2022-01-04,D,Vijaya Diagnostic Centre Ord Shs,596.0,597.95,578.0,579.8,34467,0
2022-01-05,D,Vijaya Diagnostic Centre Ord Shs,585.0,585.0,565.2,568.65,35319,0
2022-01-06,D,Vijaya Diagnostic Centre Ord Shs,580.0,600.0,565.3,568.85,71391,0
2022-01-07,D,Vijaya Diagnostic Centre Ord Shs,570.0,575.45,561.9,564.1,33622,0
2022-01-10,D,Vijaya Diagnostic Centre Ord Shs,565.0,574.85,560.0,562.55,51082,0
2022-01-11,D,Vijaya Diagnostic Centre Ord Shs,565.0,569.15,559.0,560.8,78356,0
2022-01-12,D,Vijaya Diagnostic Centre Ord Shs,562.1,563.75,555.0,555.9,47205,0
2022-01-13,D,Vijaya Diagnostic Centre Ord Shs,550.1,555.9,549.15,551.8,367762,0
2022-01-14,D,Vijaya Diagnostic Centre Ord Shs,546.0,551.95,546.0,548.6,24753,0
2022-01-17,D,Vijaya Diagnostic Centre Ord Shs,552.5,553.9,542.0,545.85,334395,0
2022-01-18,D,Vijaya Diagnostic Centre Ord Shs,549.0,549.0,535.55,537.7,64205,0
2022-01-19,D,Vijaya Diagnostic Centre Ord Shs,535.0,536.8,526.5,528.0,37403,0
2022-01-20,D,Vijaya Diagnostic Centre Ord Shs,525.0,536.9,522.0,523.4,39382,0
2022-01-21,D,Vijaya Diagnostic Centre Ord Shs,523.4,529.85,519.65,523.5,19620,0
2022-01-24,D,Vijaya Diagnostic Centre Ord Shs,529.85,548.6,501.25,518.95,47504,0
2022-01-25,D,Vijaya Diagnostic Centre Ord Shs,508.6,522.3,492.2,516.6,43908,0
2022-01-27,D,Vijaya Diagnostic Centre Ord Shs,524.0,525.0,513.65,516.8,41691,0
2022-01-28,D,Vijaya Diagnostic Centre Ord Shs,515.0,527.0,509.95,510.95,20473,0
2022-01-31,D,Vijaya Diagnostic Centre Ord Shs,520.0,525.0,510.85,516.35,18549,0
2022-02-01,D,Vijaya Diagnostic Centre Ord Shs,520.0,522.95,513.0,514.9,16069,0
2022-02-02,D,Vijaya Diagnostic Centre Ord Shs,514.9,521.0,511.8,513.85,21538,0
2022-02-03,D,Vijaya Diagnostic Centre Ord Shs,514.0,517.95,511.2,513.75,10754,0
2022-02-04,D,Vijaya Diagnostic Centre Ord Shs,505.35,514.95,493.2,503.1,80650,0
2022-02-07,D,Vijaya Diagnostic Centre Ord Shs,499.1,503.0,492.75,494.3,25536,0
2022-02-08,D,Vijaya Diagnostic Centre Ord Shs,494.3,499.05,488.7,492.3,14903,0
2022-02-09,D,Vijaya Diagnostic Centre Ord Shs,506.45,506.45,485.0,486.4,18570,0
2022-02-10,D,Vijaya Diagnostic Centre Ord Shs,496.0,497.2,480.25,482.9,75769,0
2022-02-11,D,Vijaya Diagnostic Centre Ord Shs,489.0,489.0,471.0,473.15,81419,0
2022-02-14,D,Vijaya Diagnostic Centre Ord Shs,461.0,469.7,444.6,448.8,84874,0
2022-02-15,D,Vijaya Diagnostic Centre Ord Shs,459.8,459.8,429.0,436.85,108885,0
2022-02-16,D,Vijaya Diagnostic Centre Ord Shs,449.9,470.0,441.0,442.6,93992,0
2022-02-17,D,Vijaya Diagnostic Centre Ord Shs,447.45,450.0,435.5,443.95,417290,0
2022-02-18,D,Vijaya Diagnostic Centre Ord Shs,445.0,445.0,434.25,435.25,16783,0
2022-02-21,D,Vijaya Diagnostic Centre Ord Shs,430.0,434.0,420.1,420.55,99006,0
2022-02-22,D,Vijaya Diagnostic Centre Ord Shs,415.05,416.05,401.0,408.15,303827,0
2022-02-23,D,Vijaya Diagnostic Centre Ord Shs,403.5,427.25,403.5,415.25,136535,0
2022-02-24,D,Vijaya Diagnostic Centre Ord Shs,401.0,410.8,373.8,379.15,42806,0
2022-02-25,D,Vijaya Diagnostic Centre Ord Shs,379.15,416.95,379.15,411.25,499162,0
2022-02-28,D,Vijaya Diagnostic Centre Ord Shs,409.85,428.0,402.95,421.7,46263,0
2022-03-02,D,Vijaya Diagnostic Centre Ord Shs,423.5,423.5,405.0,409.4,34272,0
2022-03-03,D,Vijaya Diagnostic Centre Ord Shs,419.0,431.85,410.7,425.75,261138,0
2022-03-04,D,Vijaya Diagnostic Centre Ord Shs,416.0,437.55,416.0,430.15,36547,0
2022-03-07,D,Vijaya Diagnostic Centre Ord Shs,415.1,437.45,415.0,417.5,39068,0
2022-03-08,D,Vijaya Diagnostic Centre Ord Shs,412.0,429.75,412.0,423.9,35177,0
2022-03-09,D,Vijaya Diagnostic Centre Ord Shs,430.0,430.95,415.3,424.85,66654,0
2022-03-10,D,Vijaya Diagnostic Centre Ord Shs,429.9,431.1,422.1,424.7,23817,0
2022-03-11,D,Vijaya Diagnostic Centre Ord Shs,416.0,431.9,416.0,421.65,28493,0
