Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-05-08,D,Vikas Lifecare Ord Shs,4.494597,4.494597,4.286514,4.286514,1267271.906712,0
2019-05-09,D,Vikas Lifecare Ord Shs,4.078431,4.078431,4.078431,4.078431,14595.123136,1
2019-05-10,D,Vikas Lifecare Ord Shs,3.911964,3.911964,3.911964,3.911964,245717.812696,1
2019-05-13,D,Vikas Lifecare Ord Shs,3.745498,3.745498,3.745498,3.745498,8410.097296,1
2019-05-14,D,Vikas Lifecare Ord Shs,3.579031,3.579031,3.579031,3.579031,2239.488766,1
2019-05-15,D,Vikas Lifecare Ord Shs,3.412565,3.412565,3.412565,3.412565,998.398693,1
2019-05-16,D,Vikas Lifecare Ord Shs,3.246098,3.246098,3.246098,3.246098,5061.67713,1
2019-05-17,D,Vikas Lifecare Ord Shs,3.121248,3.246098,3.121248,3.121248,2128756.618894,1
2019-05-20,D,Vikas Lifecare Ord Shs,2.996398,3.121248,2.996398,2.996398,1333097.738247,1
2019-05-21,D,Vikas Lifecare Ord Shs,2.871548,3.121248,2.871548,3.079631,1868985.533617,0
2019-05-22,D,Vikas Lifecare Ord Shs,3.204481,3.662264,2.663465,3.662264,17092434.247127,0
2019-05-23,D,Vikas Lifecare Ord Shs,4.078431,4.120047,3.579031,3.703881,1561327.354337,0
2019-05-24,D,Vikas Lifecare Ord Shs,3.703881,3.911964,3.454181,3.620648,1198926.650315,0
2019-05-27,D,Vikas Lifecare Ord Shs,3.370948,3.911964,3.246098,3.537414,3814248.246824,0
2019-05-28,D,Vikas Lifecare Ord Shs,3.454181,3.620648,3.121248,3.204481,496282.244319,0
2019-05-29,D,Vikas Lifecare Ord Shs,3.204481,3.703881,3.038015,3.204481,5102249.841928,1
2019-05-30,D,Vikas Lifecare Ord Shs,3.204481,3.579031,3.121248,3.454181,1185405.616748,0
2019-05-31,D,Vikas Lifecare Ord Shs,3.287715,3.745498,3.204481,3.287715,426509.674266,1
2019-06-03,D,Vikas Lifecare Ord Shs,3.246098,3.537414,2.996398,3.121248,4304697.487947,0
2019-06-04,D,Vikas Lifecare Ord Shs,3.038015,3.121248,2.996398,3.038015,343189.638913,1
2019-06-06,D,Vikas Lifecare Ord Shs,2.996398,3.121248,2.871548,2.913165,283595.689474,0
2019-06-07,D,Vikas Lifecare Ord Shs,3.038015,3.038015,2.372149,2.538615,1798923.41593,0
2019-06-10,D,Vikas Lifecare Ord Shs,2.788315,2.871548,2.413765,2.788315,2369493.251106,1
2019-06-11,D,Vikas Lifecare Ord Shs,2.913165,3.204481,2.538615,3.162865,814573.189466,0
2019-06-12,D,Vikas Lifecare Ord Shs,2.954782,3.246098,2.871548,3.079631,439962.225613,0
2019-06-13,D,Vikas Lifecare Ord Shs,3.162865,3.412565,2.829932,3.287715,1807256.620908,0
2019-06-14,D,Vikas Lifecare Ord Shs,3.079631,3.287715,3.079631,3.162865,434653.051334,0
2019-06-17,D,Vikas Lifecare Ord Shs,2.996398,3.162865,2.788315,2.871548,534824.518783,0
2019-06-18,D,Vikas Lifecare Ord Shs,2.829932,2.954782,2.580232,2.705082,1026925.743303,0
2019-06-19,D,Vikas Lifecare Ord Shs,2.621848,2.871548,2.247299,2.496998,699549.490192,0
2019-06-20,D,Vikas Lifecare Ord Shs,2.413765,2.663465,2.413765,2.496998,162074.589318,0
2019-06-21,D,Vikas Lifecare Ord Shs,2.663465,2.663465,2.288915,2.455382,646087.703124,0
2019-06-24,D,Vikas Lifecare Ord Shs,2.496998,2.580232,2.288915,2.330532,227703.384288,0
2019-06-25,D,Vikas Lifecare Ord Shs,2.455382,2.455382,1.872749,1.872749,1265708.830057,0
