Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-12-01,D,VIP Industries Ord Shs,22.4,22.4,22.0,22.0,3499.999948,0
1994-12-05,D,VIP Industries Ord Shs,21.8,21.8,21.8,21.8,499.999993,1
1994-12-06,D,VIP Industries Ord Shs,22.1,22.1,21.4,21.4,4499.999933,0
1994-12-07,D,VIP Industries Ord Shs,21.8,21.8,21.2,21.4,4999.999925,0
1994-12-08,D,VIP Industries Ord Shs,21.2,21.2,21.2,21.2,999.999985,1
1994-12-09,D,VIP Industries Ord Shs,21.2,21.2,21.2,21.2,499.999993,1
1994-12-13,D,VIP Industries Ord Shs,19.4,19.4,19.4,19.4,499.999993,1
1994-12-16,D,VIP Industries Ord Shs,18.6,18.6,18.6,18.6,1499.999978,1
1994-12-19,D,VIP Industries Ord Shs,18.5,19.8,18.5,19.8,3999.99994,0
1995-01-06,D,VIP Industries Ord Shs,20.0,20.0,19.5,19.5,7499.999888,0
1995-01-11,D,VIP Industries Ord Shs,19.5,19.5,19.2,19.2,999.999985,0
1995-01-17,D,VIP Industries Ord Shs,19.0,19.0,19.0,19.0,2499.999963,1
1995-01-23,D,VIP Industries Ord Shs,19.2,19.2,18.0,18.0,8499.999873,0
1995-01-24,D,VIP Industries Ord Shs,18.2,18.3,18.2,18.3,3499.999948,0
1995-01-25,D,VIP Industries Ord Shs,18.5,18.5,18.5,18.5,999.999985,1
1995-01-30,D,VIP Industries Ord Shs,18.5,18.6,18.5,18.6,999.999985,0
1995-02-02,D,VIP Industries Ord Shs,18.6,19.38,18.6,19.38,1999.99997,0
1995-02-03,D,VIP Industries Ord Shs,18.5,18.5,18.5,18.5,499.999993,1
1995-02-06,D,VIP Industries Ord Shs,18.5,18.5,18.2,18.5,3999.99994,1
1995-02-07,D,VIP Industries Ord Shs,18.5,18.5,18.5,18.5,999.999985,1
1995-02-08,D,VIP Industries Ord Shs,18.5,18.5,18.0,18.0,6999.999896,0
1995-02-09,D,VIP Industries Ord Shs,18.0,18.0,18.0,18.0,499.999993,1
1995-02-13,D,VIP Industries Ord Shs,17.4,17.4,17.4,17.4,499.999993,1
1995-02-14,D,VIP Industries Ord Shs,17.6,17.6,17.6,17.6,1999.99997,1
1995-02-15,D,VIP Industries Ord Shs,17.6,17.6,17.6,17.6,499.999993,1
1995-02-16,D,VIP Industries Ord Shs,17.0,17.0,16.74,16.77,3499.999948,0
1995-02-17,D,VIP Industries Ord Shs,16.8,16.8,16.8,16.8,499.999993,1
1995-02-21,D,VIP Industries Ord Shs,16.0,16.0,16.0,16.0,499.999993,1
