Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-10-15,D,Vishwaraj Sugar Industries Ord Shs,12.24,12.3,12.05,12.07,5434684.919017,0
2019-10-16,D,Vishwaraj Sugar Industries Ord Shs,12.09,12.09,12.02,12.07,2640659.960651,0
2019-10-17,D,Vishwaraj Sugar Industries Ord Shs,12.03,12.08,12.03,12.07,1851489.972411,0
2019-10-18,D,Vishwaraj Sugar Industries Ord Shs,12.04,12.09,12.03,12.08,1464369.978179,0
2019-10-22,D,Vishwaraj Sugar Industries Ord Shs,12.05,12.2,12.05,12.09,386819.994236,0
2019-10-23,D,Vishwaraj Sugar Industries Ord Shs,12.06,12.2,12.06,12.19,582684.991317,0
2019-10-24,D,Vishwaraj Sugar Industries Ord Shs,12.2,12.31,12.1,12.31,1200509.982111,0
2019-10-25,D,Vishwaraj Sugar Industries Ord Shs,12.04,12.6,12.04,12.36,539869.991955,0
2019-10-27,D,Vishwaraj Sugar Industries Ord Shs,12.35,12.6,12.14,12.38,13954.999792,0
2019-10-29,D,Vishwaraj Sugar Industries Ord Shs,12.46,12.6,12.2,12.35,938529.986015,0
2019-10-30,D,Vishwaraj Sugar Industries Ord Shs,12.6,12.6,12.2,12.58,20914.999688,0
2019-10-31,D,Vishwaraj Sugar Industries Ord Shs,12.6,12.61,12.24,12.55,2466064.963253,0
2019-11-01,D,Vishwaraj Sugar Industries Ord Shs,12.6,12.99,12.27,12.79,210239.996867,0
2019-11-04,D,Vishwaraj Sugar Industries Ord Shs,13.0,13.3,12.4,12.89,687044.989762,0
2019-11-05,D,Vishwaraj Sugar Industries Ord Shs,13.19,14.68,12.66,13.97,161369.997595,0
2019-11-06,D,Vishwaraj Sugar Industries Ord Shs,14.55,16.76,14.5,16.46,2344964.965057,0
2019-11-07,D,Vishwaraj Sugar Industries Ord Shs,17.22,18.9,15.4,16.13,3342734.950189,0
2019-11-08,D,Vishwaraj Sugar Industries Ord Shs,16.2,16.8,14.4,14.86,817744.987815,0
2019-11-11,D,Vishwaraj Sugar Industries Ord Shs,14.86,15.6,14.5,14.78,261484.996104,0
2019-11-13,D,Vishwaraj Sugar Industries Ord Shs,15.0,15.0,13.6,13.74,543269.991905,0
2019-11-14,D,Vishwaraj Sugar Industries Ord Shs,13.54,14.0,12.8,13.28,1042244.984469,0
2019-11-15,D,Vishwaraj Sugar Industries Ord Shs,13.99,14.01,13.23,13.46,92904.998616,0
2019-11-18,D,Vishwaraj Sugar Industries Ord Shs,13.8,13.8,13.1,13.15,63739.99905,0
2019-11-19,D,Vishwaraj Sugar Industries Ord Shs,13.1,13.74,13.0,13.54,377599.994373,0
2019-11-20,D,Vishwaraj Sugar Industries Ord Shs,13.98,14.16,13.4,13.83,616384.990815,0
2019-11-21,D,Vishwaraj Sugar Industries Ord Shs,13.83,14.1,13.4,13.78,578819.991375,0
2019-11-22,D,Vishwaraj Sugar Industries Ord Shs,14.38,14.4,13.6,14.17,261074.99611,0
2019-11-25,D,Vishwaraj Sugar Industries Ord Shs,14.4,14.56,13.8,14.18,190224.997165,0
2019-11-26,D,Vishwaraj Sugar Industries Ord Shs,14.38,14.38,13.64,13.79,43104.999358,0
2019-11-27,D,Vishwaraj Sugar Industries Ord Shs,13.8,14.0,13.6,13.95,112439.998325,0
2019-11-28,D,Vishwaraj Sugar Industries Ord Shs,14.4,14.56,13.6,14.08,208129.996899,0
2019-11-29,D,Vishwaraj Sugar Industries Ord Shs,14.36,14.36,13.7,14.05,66749.999005,0
2019-12-02,D,Vishwaraj Sugar Industries Ord Shs,13.6,14.02,13.6,13.71,35429.999472,0
2019-12-03,D,Vishwaraj Sugar Industries Ord Shs,13.7,13.94,13.5,13.5,56424.999159,0
2019-12-04,D,Vishwaraj Sugar Industries Ord Shs,13.61,14.4,13.5,14.18,255239.996197,0
2019-12-05,D,Vishwaraj Sugar Industries Ord Shs,14.2,14.4,14.1,14.32,98174.998537,0
2019-12-06,D,Vishwaraj Sugar Industries Ord Shs,14.33,14.4,14.0,14.36,51794.999228,0
2019-12-09,D,Vishwaraj Sugar Industries Ord Shs,14.4,17.17,14.39,16.99,1786744.973375,0
2019-12-10,D,Vishwaraj Sugar Industries Ord Shs,17.4,19.0,15.63,15.99,3516564.947599,0
2019-12-11,D,Vishwaraj Sugar Industries Ord Shs,15.84,15.85,13.85,14.26,561954.991626,0
2019-12-12,D,Vishwaraj Sugar Industries Ord Shs,13.84,15.76,13.22,15.31,715709.989335,0
2019-12-13,D,Vishwaraj Sugar Industries Ord Shs,15.99,17.36,15.6,16.98,1649639.975418,0
2019-12-16,D,Vishwaraj Sugar Industries Ord Shs,16.7,18.76,16.7,18.34,1552689.976863,0
2019-12-17,D,Vishwaraj Sugar Industries Ord Shs,18.7,20.2,18.53,18.97,3314334.950613,0
2019-12-18,D,Vishwaraj Sugar Industries Ord Shs,19.49,20.4,18.86,19.08,1970424.970638,0
2019-12-19,D,Vishwaraj Sugar Industries Ord Shs,19.39,19.47,15.89,17.1,1230854.981659,0
2019-12-20,D,Vishwaraj Sugar Industries Ord Shs,17.48,18.0,17.0,17.35,370334.994482,0
2019-12-23,D,Vishwaraj Sugar Industries Ord Shs,17.35,17.35,16.4,16.95,155119.997689,0
2019-12-24,D,Vishwaraj Sugar Industries Ord Shs,17.56,17.56,17.0,17.09,124949.998138,0
2019-12-26,D,Vishwaraj Sugar Industries Ord Shs,17.39,17.98,16.8,17.44,245229.996346,0
2019-12-27,D,Vishwaraj Sugar Industries Ord Shs,17.88,17.9,17.42,17.61,462209.993113,0
2019-12-30,D,Vishwaraj Sugar Industries Ord Shs,18.0,18.93,17.62,17.85,955084.985768,0
2019-12-31,D,Vishwaraj Sugar Industries Ord Shs,18.34,18.34,17.4,17.59,572874.991463,0
2020-01-01,D,Vishwaraj Sugar Industries Ord Shs,17.95,18.0,17.34,17.49,437659.993478,0
2020-01-02,D,Vishwaraj Sugar Industries Ord Shs,17.68,17.85,17.2,17.36,417839.993774,0
2020-01-03,D,Vishwaraj Sugar Industries Ord Shs,17.33,17.46,17.0,17.05,320164.995229,0
2020-01-06,D,Vishwaraj Sugar Industries Ord Shs,17.16,17.44,16.2,16.91,351249.994766,0
2020-01-07,D,Vishwaraj Sugar Industries Ord Shs,17.74,18.08,17.18,17.32,591224.99119,0
2020-01-08,D,Vishwaraj Sugar Industries Ord Shs,17.02,17.59,16.95,17.5,481434.992826,0
2020-01-09,D,Vishwaraj Sugar Industries Ord Shs,17.48,18.8,17.46,18.05,1031839.984624,0
2020-01-10,D,Vishwaraj Sugar Industries Ord Shs,18.06,18.44,17.78,17.84,555374.991724,0
2020-01-13,D,Vishwaraj Sugar Industries Ord Shs,18.19,18.58,17.84,18.03,644109.990402,0
2020-01-14,D,Vishwaraj Sugar Industries Ord Shs,18.16,18.4,17.98,18.24,696409.989623,0
2020-01-15,D,Vishwaraj Sugar Industries Ord Shs,18.37,18.4,17.7,17.91,514714.99233,0
2020-01-16,D,Vishwaraj Sugar Industries Ord Shs,18.03,18.3,17.8,17.92,580034.991357,0
