Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-08-17,D,Vivimed Labs Ord Shs,26.2,44.990001,19.8,43.730001,115622088.277097,0
2005-08-18,D,Vivimed Labs Ord Shs,44.940001,46.660001,41.150001,41.880001,43812089.347149,0
2005-08-19,D,Vivimed Labs Ord Shs,42.300001,43.200001,39.000001,40.940001,27229474.594249,0
2005-08-22,D,Vivimed Labs Ord Shs,40.680001,41.400001,38.090001,38.770001,11728289.825235,0
2005-08-23,D,Vivimed Labs Ord Shs,38.800001,41.300001,36.910001,38.350001,31251639.534314,0
2005-08-24,D,Vivimed Labs Ord Shs,38.200001,38.800001,36.560001,37.140001,9686004.855667,0
2005-08-25,D,Vivimed Labs Ord Shs,37.200001,40.600001,37.020001,39.990001,12125454.819317,0
2005-08-26,D,Vivimed Labs Ord Shs,40.600001,41.100001,38.120001,38.870001,9047809.865177,0
2005-08-29,D,Vivimed Labs Ord Shs,38.600001,38.740001,36.860001,37.260001,2257074.966367,0
2005-08-30,D,Vivimed Labs Ord Shs,37.540001,38.700001,37.100001,37.270001,1865724.972199,0
2005-08-31,D,Vivimed Labs Ord Shs,37.450001,40.950001,36.800001,40.100001,4426039.934047,0
2005-09-01,D,Vivimed Labs Ord Shs,40.600001,40.600001,37.070001,37.440001,1980134.970494,0
2005-09-02,D,Vivimed Labs Ord Shs,38.200001,38.700001,36.900001,37.260001,1439264.978553,0
2005-09-05,D,Vivimed Labs Ord Shs,37.410001,37.900001,36.670001,36.980001,735034.989047,0
2005-09-06,D,Vivimed Labs Ord Shs,37.300001,37.600001,36.430001,36.760001,556899.991702,0
2005-09-08,D,Vivimed Labs Ord Shs,37.300001,37.970001,36.210001,36.510001,462164.993113,0
2005-09-09,D,Vivimed Labs Ord Shs,36.800001,37.830001,35.920001,36.560001,1261619.9812,0
2005-09-12,D,Vivimed Labs Ord Shs,36.780001,36.800001,36.120001,36.280001,438149.993471,0
2005-09-13,D,Vivimed Labs Ord Shs,36.600001,37.770001,36.600001,37.100001,1035699.984567,0
2005-09-14,D,Vivimed Labs Ord Shs,37.200001,37.200001,35.410001,35.930001,478824.992865,0
2005-09-15,D,Vivimed Labs Ord Shs,36.400001,36.560001,36.210001,36.300001,217619.996757,0
2005-09-16,D,Vivimed Labs Ord Shs,36.300001,36.670001,35.620001,36.280001,345224.994856,0
2005-09-19,D,Vivimed Labs Ord Shs,36.740001,36.740001,35.020001,35.360001,351514.994762,0
2005-09-20,D,Vivimed Labs Ord Shs,35.890001,35.890001,33.29,33.630001,411839.993863,0
2005-09-21,D,Vivimed Labs Ord Shs,33.800001,35.080001,30.4,32.25,517939.992282,0
2005-09-22,D,Vivimed Labs Ord Shs,32.6,32.6,26.8,27.26,578654.991377,0
2005-09-23,D,Vivimed Labs Ord Shs,28.2,30.8,27.02,29.46,901134.986572,0
2005-09-26,D,Vivimed Labs Ord Shs,30.2,31.88,29.6,30.92,573454.991455,0
2005-09-27,D,Vivimed Labs Ord Shs,31.0,31.78,30.6,30.87,270419.99597,0
2005-09-28,D,Vivimed Labs Ord Shs,31.0,31.02,29.0,30.01,145254.997836,0
2005-09-29,D,Vivimed Labs Ord Shs,30.36,30.36,28.65,29.08,171419.997446,0
2005-09-30,D,Vivimed Labs Ord Shs,29.05,29.05,25.8,27.7,479699.992852,0
2005-10-03,D,Vivimed Labs Ord Shs,27.89,29.72,27.5,28.37,343134.994887,0
2005-10-04,D,Vivimed Labs Ord Shs,28.98,28.99,28.4,28.68,186629.997219,0
2005-10-05,D,Vivimed Labs Ord Shs,28.1,28.5,27.4,27.67,151429.997744,0
2005-10-06,D,Vivimed Labs Ord Shs,28.08,28.08,26.2,27.2,155389.997685,0
2005-10-07,D,Vivimed Labs Ord Shs,27.42,28.0,27.0,27.05,131984.998033,0
2005-10-10,D,Vivimed Labs Ord Shs,27.4,27.97,26.44,26.77,81659.998783,0
2005-10-11,D,Vivimed Labs Ord Shs,27.58,27.6,25.62,25.81,141124.997897,0
2005-10-13,D,Vivimed Labs Ord Shs,26.0,26.3,25.52,25.69,133569.99801,0
2005-10-14,D,Vivimed Labs Ord Shs,25.62,25.98,23.82,24.16,195989.99708,0
2005-10-17,D,Vivimed Labs Ord Shs,24.4,24.6,23.22,23.94,106284.998416,0
2005-10-18,D,Vivimed Labs Ord Shs,23.6,24.98,23.51,23.84,101669.998485,0
2005-10-19,D,Vivimed Labs Ord Shs,22.88,23.98,22.46,23.45,240894.99641,0
2005-10-20,D,Vivimed Labs Ord Shs,23.65,24.0,21.8,22.21,153974.997706,0
2005-10-21,D,Vivimed Labs Ord Shs,22.04,22.76,21.0,21.76,131839.998035,0
2005-10-24,D,Vivimed Labs Ord Shs,22.0,25.87,21.68,25.06,1583199.976408,0
2005-10-25,D,Vivimed Labs Ord Shs,25.0,28.7,23.8,26.94,5874584.912462,0
2005-10-26,D,Vivimed Labs Ord Shs,26.98,27.0,24.85,25.32,2047734.969486,0
2005-10-27,D,Vivimed Labs Ord Shs,25.36,27.58,24.82,26.39,2370104.964683,0
2005-10-28,D,Vivimed Labs Ord Shs,26.2,27.56,26.0,26.4,1031269.984633,0
2005-10-31,D,Vivimed Labs Ord Shs,27.6,27.6,26.05,26.6,383609.994284,0
2005-11-01,D,Vivimed Labs Ord Shs,26.4,26.74,26.2,26.4,38349.999429,1
2005-11-02,D,Vivimed Labs Ord Shs,26.38,28.2,26.2,27.49,882999.986842,0
2005-11-07,D,Vivimed Labs Ord Shs,27.99,30.34,26.8,29.25,1218959.981836,0
2005-11-08,D,Vivimed Labs Ord Shs,29.02,29.7,28.46,28.99,350299.99478,0
2005-11-09,D,Vivimed Labs Ord Shs,28.62,29.0,28.0,28.17,89544.998666,0
2005-11-10,D,Vivimed Labs Ord Shs,29.16,29.16,28.2,28.9,123609.998158,0
2005-11-11,D,Vivimed Labs Ord Shs,29.0,30.76,28.43,29.73,692049.989688,0
2005-11-14,D,Vivimed Labs Ord Shs,29.12,30.48,29.0,29.46,375529.994404,0
2005-11-16,D,Vivimed Labs Ord Shs,28.9,30.6,28.9,30.09,365049.99456,0
2005-11-17,D,Vivimed Labs Ord Shs,30.2,30.48,29.0,29.29,202514.996982,0
2005-11-18,D,Vivimed Labs Ord Shs,29.5,29.8,28.93,29.09,71739.998931,0
2005-11-21,D,Vivimed Labs Ord Shs,28.82,29.29,28.6,28.76,63794.999049,0
2005-11-22,D,Vivimed Labs Ord Shs,28.96,28.96,28.06,28.25,51749.999229,0
2005-11-23,D,Vivimed Labs Ord Shs,28.2,28.5,28.0,28.17,49214.999267,0
2005-11-24,D,Vivimed Labs Ord Shs,28.4,28.8,27.27,27.65,60419.9991,0
2005-11-25,D,Vivimed Labs Ord Shs,28.5,28.6,27.8,28.08,76409.998861,0
2005-11-26,D,Vivimed Labs Ord Shs,28.0,28.2,27.85,27.99,36099.999462,0
2005-11-28,D,Vivimed Labs Ord Shs,26.8,28.36,26.8,27.99,46459.999308,0
2005-11-29,D,Vivimed Labs Ord Shs,28.0,28.0,27.42,27.52,87564.998695,0
2005-11-30,D,Vivimed Labs Ord Shs,27.6,28.3,26.82,27.0,118829.998229,0
2005-12-01,D,Vivimed Labs Ord Shs,27.42,27.42,26.8,26.93,45409.999323,0
2005-12-02,D,Vivimed Labs Ord Shs,27.16,27.4,26.4,26.56,55714.99917,0
2005-12-05,D,Vivimed Labs Ord Shs,27.16,27.16,25.79,26.15,70394.998951,0
2005-12-06,D,Vivimed Labs Ord Shs,26.23,29.74,25.84,28.34,1229314.981682,0
2005-12-07,D,Vivimed Labs Ord Shs,28.54,29.6,28.52,28.92,648074.990343,0
2005-12-08,D,Vivimed Labs Ord Shs,29.38,31.35,29.04,30.89,1935184.971163,0
2005-12-09,D,Vivimed Labs Ord Shs,31.76,31.76,30.9,31.4,486024.992758,0
2005-12-12,D,Vivimed Labs Ord Shs,31.5,31.58,29.7,30.06,269329.995987,0
2005-12-13,D,Vivimed Labs Ord Shs,29.6,31.66,29.45,30.47,338304.994959,0
2005-12-14,D,Vivimed Labs Ord Shs,30.43,31.1,29.81,30.69,181559.997295,0
2005-12-15,D,Vivimed Labs Ord Shs,30.29,30.58,29.47,29.61,75939.998868,0
2005-12-16,D,Vivimed Labs Ord Shs,29.4,30.52,29.4,30.04,161159.997599,0
2005-12-19,D,Vivimed Labs Ord Shs,30.2,30.41,29.8,29.95,62219.999073,0
2005-12-20,D,Vivimed Labs Ord Shs,30.02,31.36,28.99,30.37,367139.994529,0
2005-12-21,D,Vivimed Labs Ord Shs,30.36,32.0,30.36,31.7,473159.992949,0
2005-12-22,D,Vivimed Labs Ord Shs,31.99,33.49,31.68,32.71,996174.985156,0
2005-12-23,D,Vivimed Labs Ord Shs,33.55,33.55,31.4,31.51,232614.996534,0
2005-12-26,D,Vivimed Labs Ord Shs,31.02,31.12,29.42,29.7,171834.997439,0
2005-12-27,D,Vivimed Labs Ord Shs,29.48,30.49,29.3,29.78,236974.996469,0
2005-12-28,D,Vivimed Labs Ord Shs,30.0,30.4,29.24,29.47,93284.99861,0
2005-12-29,D,Vivimed Labs Ord Shs,29.74,31.2,29.6,30.19,255324.996195,0
2005-12-30,D,Vivimed Labs Ord Shs,30.39,30.5,30.0,30.24,94854.998587,0
2006-01-02,D,Vivimed Labs Ord Shs,30.0,31.06,30.0,30.66,103344.99846,0
2006-01-03,D,Vivimed Labs Ord Shs,30.79,32.8,30.67,31.54,500369.992544,0
2006-01-04,D,Vivimed Labs Ord Shs,32.36,32.36,31.2,31.49,124889.998139,0
2006-01-05,D,Vivimed Labs Ord Shs,30.4,32.4,30.4,32.16,182539.99728,0
2006-01-06,D,Vivimed Labs Ord Shs,31.62,32.6,31.6,32.06,146584.997816,0
2006-01-09,D,Vivimed Labs Ord Shs,33.19,34.960001,32.8,33.09,841959.987454,0
2006-01-10,D,Vivimed Labs Ord Shs,33.39,35.340001,33.0,33.850001,974354.985481,0
2006-01-12,D,Vivimed Labs Ord Shs,34.000001,37.200001,33.2,36.080001,1738774.97409,0
2006-01-13,D,Vivimed Labs Ord Shs,36.420001,38.990001,35.720001,38.250001,2143519.968059,0
2006-01-16,D,Vivimed Labs Ord Shs,38.400001,40.960001,35.620001,38.970001,1064169.984143,0
2006-01-17,D,Vivimed Labs Ord Shs,39.400001,40.580001,38.500001,38.650001,675944.989928,0
2006-01-18,D,Vivimed Labs Ord Shs,37.980001,38.600001,37.300001,38.110001,358644.994656,0
2006-01-19,D,Vivimed Labs Ord Shs,38.480001,40.730001,38.210001,39.680001,651369.990294,0
2006-01-20,D,Vivimed Labs Ord Shs,40.340001,42.180001,40.000001,40.450001,1285984.980837,0
2006-01-23,D,Vivimed Labs Ord Shs,40.500001,41.870001,39.610001,41.280001,381244.994319,0
2006-01-24,D,Vivimed Labs Ord Shs,42.040001,49.540001,42.000001,49.180001,7423979.889374,0
2006-01-25,D,Vivimed Labs Ord Shs,49.280001,49.770001,44.300001,44.690001,4463969.933482,0
2006-01-27,D,Vivimed Labs Ord Shs,44.110001,47.280001,43.190001,45.070001,2169664.967669,0
2006-01-30,D,Vivimed Labs Ord Shs,45.200001,46.240001,43.000001,43.380001,500204.992546,0
2006-01-31,D,Vivimed Labs Ord Shs,43.770001,45.480001,43.000001,43.880001,774274.988462,0
2006-02-01,D,Vivimed Labs Ord Shs,44.180001,44.210001,42.000001,42.150001,304074.995469,0
2006-02-02,D,Vivimed Labs Ord Shs,42.580001,44.460001,42.010001,42.170001,521019.992236,0
2006-02-03,D,Vivimed Labs Ord Shs,42.500001,44.390001,42.240001,43.620001,344034.994873,0
2006-02-06,D,Vivimed Labs Ord Shs,43.800001,44.060001,42.230001,42.860001,158229.997642,0
2006-02-07,D,Vivimed Labs Ord Shs,43.280001,43.800001,42.850001,43.210001,120764.9982,0
2006-02-08,D,Vivimed Labs Ord Shs,43.250001,43.310001,41.710001,42.090001,198929.997036,0
2006-02-10,D,Vivimed Labs Ord Shs,43.000001,45.990001,42.560001,44.790001,1091509.983735,0
2006-02-13,D,Vivimed Labs Ord Shs,52.680001,52.680001,46.210001,46.650001,958689.985714,0
2006-02-14,D,Vivimed Labs Ord Shs,46.400001,46.400001,43.800001,44.700001,440714.993433,0
2006-02-15,D,Vivimed Labs Ord Shs,44.400001,46.800001,44.200001,45.660001,640224.99046,0
2006-02-16,D,Vivimed Labs Ord Shs,45.200001,45.800001,44.110001,45.160001,224474.996655,0
2006-02-17,D,Vivimed Labs Ord Shs,44.000001,44.010001,42.910001,43.550001,106609.998411,0
2006-02-20,D,Vivimed Labs Ord Shs,44.000001,44.000001,41.400001,41.580001,24914.999629,0
2006-02-21,D,Vivimed Labs Ord Shs,42.000001,42.900001,39.600001,41.040001,68974.998972,0
2006-02-22,D,Vivimed Labs Ord Shs,39.000001,41.880001,39.000001,40.970001,38034.999433,0
