Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-08-14,D,Vl E-Governance & It Solutions Ord Shs,31.0,31.0,29.45,29.5,1310641,0
2023-08-16,D,Vl E-Governance & It Solutions Ord Shs,30.1,30.95,30.0,30.95,310948,0
2023-08-17,D,Vl E-Governance & It Solutions Ord Shs,32.45,32.45,32.45,32.45,91852,1
2023-08-18,D,Vl E-Governance & It Solutions Ord Shs,34.05,34.05,34.05,34.05,79302,1
2023-08-21,D,Vl E-Governance & It Solutions Ord Shs,35.75,35.75,35.75,35.75,392381,1
2023-08-22,D,Vl E-Governance & It Solutions Ord Shs,36.5,37.5,35.75,37.5,315942,0
2023-08-23,D,Vl E-Governance & It Solutions Ord Shs,39.35,39.35,39.35,39.35,41183,1
2023-08-24,D,Vl E-Governance & It Solutions Ord Shs,41.3,41.3,41.3,41.3,33377,1
2023-08-25,D,Vl E-Governance & It Solutions Ord Shs,43.35,43.35,43.35,43.35,303119,1
2023-08-28,D,Vl E-Governance & It Solutions Ord Shs,45.5,45.5,41.2,43.85,1918615,0
2023-08-29,D,Vl E-Governance & It Solutions Ord Shs,43.4,43.4,39.5,39.5,1148759,0
2023-08-30,D,Vl E-Governance & It Solutions Ord Shs,36.15,39.05,35.55,35.95,2425944,0
2023-08-31,D,Vl E-Governance & It Solutions Ord Shs,35.5,38.3,35.5,37.4,567626,0
2023-09-01,D,Vl E-Governance & It Solutions Ord Shs,37.65,37.75,36.55,36.7,484793,0
2023-09-04,D,Vl E-Governance & It Solutions Ord Shs,37.2,37.35,36.6,37.05,230405,0
2023-09-05,D,Vl E-Governance & It Solutions Ord Shs,37.45,38.0,37.05,37.45,344187,1
2023-09-06,D,Vl E-Governance & It Solutions Ord Shs,37.5,37.7,36.9,37.15,265683,0
2023-09-07,D,Vl E-Governance & It Solutions Ord Shs,37.2,37.55,36.75,37.2,316037,1
2023-09-08,D,Vl E-Governance & It Solutions Ord Shs,37.45,37.65,36.9,37.35,408424,0
2023-09-11,D,Vl E-Governance & It Solutions Ord Shs,37.45,38.8,36.8,37.4,515496,0
2023-09-12,D,Vl E-Governance & It Solutions Ord Shs,37.5,38.1,36.6,36.95,321164,0
2023-09-13,D,Vl E-Governance & It Solutions Ord Shs,37.05,37.1,36.2,36.35,254742,0
2023-09-14,D,Vl E-Governance & It Solutions Ord Shs,36.6,37.1,36.55,36.7,145090,0
2023-09-15,D,Vl E-Governance & It Solutions Ord Shs,37.2,37.2,36.2,36.55,170738,0
2023-09-18,D,Vl E-Governance & It Solutions Ord Shs,36.55,36.55,36.0,36.15,206855,0
2023-09-20,D,Vl E-Governance & It Solutions Ord Shs,35.65,36.0,35.25,35.6,107240,0
2023-09-21,D,Vl E-Governance & It Solutions Ord Shs,36.0,36.35,34.5,34.75,157258,0
2023-09-22,D,Vl E-Governance & It Solutions Ord Shs,35.1,35.1,32.75,32.95,265213,0
2023-09-25,D,Vl E-Governance & It Solutions Ord Shs,32.95,33.0,31.7,31.95,226065,0
2023-09-26,D,Vl E-Governance & It Solutions Ord Shs,32.45,32.45,31.75,31.95,115278,0
2023-09-27,D,Vl E-Governance & It Solutions Ord Shs,31.95,35.1,31.65,35.1,448309,0
2023-09-28,D,Vl E-Governance & It Solutions Ord Shs,35.4,35.7,33.7,34.05,354165,0
2023-09-29,D,Vl E-Governance & It Solutions Ord Shs,33.7,34.2,33.05,33.45,211301,0
2023-10-03,D,Vl E-Governance & It Solutions Ord Shs,33.6,34.1,32.6,33.0,198510,0
2023-10-04,D,Vl E-Governance & It Solutions Ord Shs,33.35,33.35,32.5,32.8,133998,0
2023-10-05,D,Vl E-Governance & It Solutions Ord Shs,33.65,33.65,32.65,32.85,136900,0
2023-10-06,D,Vl E-Governance & It Solutions Ord Shs,33.1,33.6,32.75,33.05,191150,0
2023-10-09,D,Vl E-Governance & It Solutions Ord Shs,33.0,33.2,32.2,32.4,136301,0
2023-10-10,D,Vl E-Governance & It Solutions Ord Shs,32.65,33.0,32.45,32.8,87346,0
2023-10-11,D,Vl E-Governance & It Solutions Ord Shs,32.95,33.2,32.75,32.95,119543,1
2023-10-12,D,Vl E-Governance & It Solutions Ord Shs,33.2,33.4,32.85,32.95,126224,0
2023-10-13,D,Vl E-Governance & It Solutions Ord Shs,32.8,33.1,32.0,32.6,181423,0
2023-10-16,D,Vl E-Governance & It Solutions Ord Shs,32.8,34.5,32.8,33.2,564725,0
2023-10-17,D,Vl E-Governance & It Solutions Ord Shs,33.5,33.8,32.6,32.8,451610,0
2023-10-18,D,Vl E-Governance & It Solutions Ord Shs,33.2,33.25,32.4,32.45,153028,0
2023-10-19,D,Vl E-Governance & It Solutions Ord Shs,32.8,32.8,32.0,32.25,135608,0
