Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-11-07,D,Voltas Ord Shs,14.98209,14.98209,14.98209,14.98209,999.999985,1
1994-11-08,D,Voltas Ord Shs,14.482687,14.482687,14.482687,14.482687,999.999985,1
1994-12-07,D,Voltas Ord Shs,13.28412,13.483881,13.28412,13.483881,1999.99997,0
1994-12-09,D,Voltas Ord Shs,12.485075,12.485075,12.485075,12.485075,1999.99997,1
1994-12-13,D,Voltas Ord Shs,11.486269,11.486269,11.286508,11.286508,2499.999963,0
1994-12-15,D,Voltas Ord Shs,11.61112,11.68603,11.61112,11.68603,1999.99997,0
1994-12-16,D,Voltas Ord Shs,12.185433,12.185433,12.185433,12.185433,999.999985,1
1994-12-19,D,Voltas Ord Shs,11.785911,11.785911,11.785911,11.785911,499.999993,1
1994-12-20,D,Voltas Ord Shs,11.985672,12.485075,11.985672,12.485075,1499.999978,0
1994-12-21,D,Voltas Ord Shs,12.634896,12.634896,12.584956,12.584956,1499.999978,0
1994-12-22,D,Voltas Ord Shs,12.085553,12.085553,11.985672,11.985672,999.999985,0
1994-12-23,D,Voltas Ord Shs,11.985672,11.985672,11.985672,11.985672,999.999985,1
1994-12-26,D,Voltas Ord Shs,11.985672,11.985672,11.985672,11.985672,499.999993,1
1995-01-06,D,Voltas Ord Shs,12.185433,12.185433,12.185433,12.185433,999.999985,1
1995-01-09,D,Voltas Ord Shs,11.486269,11.486269,11.486269,11.486269,999.999985,1
1995-01-11,D,Voltas Ord Shs,10.986866,10.986866,10.986866,10.986866,1999.99997,1
1995-01-12,D,Voltas Ord Shs,10.986866,10.986866,10.287702,10.287702,2999.999955,0
1995-01-18,D,Voltas Ord Shs,11.785911,11.985672,11.785911,11.985672,2499.999963,0
1995-01-23,D,Voltas Ord Shs,11.985672,12.085553,11.885792,11.910762,10999.999836,0
1995-01-24,D,Voltas Ord Shs,11.186627,11.486269,11.186627,11.486269,999.999985,0
1995-01-25,D,Voltas Ord Shs,11.286508,11.486269,10.986866,11.236568,2999.999955,0
1995-01-27,D,Voltas Ord Shs,11.486269,11.486269,11.486269,11.486269,2999.999955,1
1995-01-30,D,Voltas Ord Shs,11.785911,11.785911,11.785911,11.785911,999.999985,1
1995-01-31,D,Voltas Ord Shs,11.785911,11.785911,11.785911,11.785911,499.999993,1
1995-02-02,D,Voltas Ord Shs,11.68603,11.68603,11.68603,11.68603,2999.999955,1
1995-02-03,D,Voltas Ord Shs,11.785911,11.785911,11.785911,11.785911,999.999985,1
1995-02-06,D,Voltas Ord Shs,11.785911,11.785911,10.986866,10.986866,3499.999948,0
1995-02-07,D,Voltas Ord Shs,12.085553,12.085553,10.986866,10.986866,10999.999836,0
1995-02-13,D,Voltas Ord Shs,10.986866,11.486269,10.537403,11.486269,1999.99997,0
1995-02-15,D,Voltas Ord Shs,10.587344,10.587344,10.587344,10.587344,999.999985,1
