Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2011-06-20,D,Vst Tillers Tractors Ord Shs,477.055203,482.956917,457.382823,471.005946,5151,0
2011-06-21,D,Vst Tillers Tractors Ord Shs,480.792955,480.792955,467.219013,467.514099,168,0
2011-06-22,D,Vst Tillers Tractors Ord Shs,467.710822,467.710822,467.710822,467.710822,221,1
2011-06-23,D,Vst Tillers Tractors Ord Shs,465.251775,483.940536,464.268156,465.546861,279,0
2011-06-24,D,Vst Tillers Tractors Ord Shs,472.137108,475.087965,466.235394,472.137108,676,1
2011-06-27,D,Vst Tillers Tractors Ord Shs,473.612536,483.940536,473.120727,473.120727,1630,0
2011-06-28,D,Vst Tillers Tractors Ord Shs,470.16987,483.891355,470.16987,473.26827,52,0
2011-06-29,D,Vst Tillers Tractors Ord Shs,477.055203,486.891392,472.137108,475.087965,71,0
2011-06-30,D,Vst Tillers Tractors Ord Shs,474.104346,478.038822,472.137108,472.137108,519,0
2011-07-01,D,Vst Tillers Tractors Ord Shs,462.300918,481.973298,462.300918,472.137108,64,0
2011-07-04,D,Vst Tillers Tractors Ord Shs,472.137108,485.907773,468.202632,481.973298,2889,0
2011-07-05,D,Vst Tillers Tractors Ord Shs,487.875011,516.399962,478.530631,504.448991,3244,0
2011-07-06,D,Vst Tillers Tractors Ord Shs,511.481867,527.21977,511.481867,514.727809,11094,0
2011-07-07,D,Vst Tillers Tractors Ord Shs,527.21977,540.006817,498.69482,532.629675,17456,0
2011-07-08,D,Vst Tillers Tractors Ord Shs,541.974055,557.711959,538.039579,541.974055,12605,1
2011-07-11,D,Vst Tillers Tractors Ord Shs,541.482246,553.187311,532.629675,544.580645,7161,0
2011-07-12,D,Vst Tillers Tractors Ord Shs,540.990436,540.990436,521.318057,536.859236,3917,0
2011-07-13,D,Vst Tillers Tractors Ord Shs,531.400151,545.908531,526.924685,540.006817,287,0
2011-07-14,D,Vst Tillers Tractors Ord Shs,540.990436,540.990436,526.285332,531.449332,1638,0
2011-07-15,D,Vst Tillers Tractors Ord Shs,529.678818,540.498627,526.236151,531.301789,1481,0
2011-07-18,D,Vst Tillers Tractors Ord Shs,536.072341,546.89215,527.416494,543.842931,2943,0
2011-07-19,D,Vst Tillers Tractors Ord Shs,540.006817,565.384187,540.006817,554.859464,6342,0
2011-07-20,D,Vst Tillers Tractors Ord Shs,560.564454,568.531767,553.826664,558.007044,9578,0
2011-07-21,D,Vst Tillers Tractors Ord Shs,558.695578,564.597291,558.695578,558.695578,2548,1
2011-07-22,D,Vst Tillers Tractors Ord Shs,560.662816,568.285863,553.285673,559.039844,3848,0
2011-07-25,D,Vst Tillers Tractors Ord Shs,566.908796,570.499005,560.662816,560.711997,2134,0
2011-07-26,D,Vst Tillers Tractors Ord Shs,556.826702,564.597291,542.564226,557.121787,19587,0
2011-07-27,D,Vst Tillers Tractors Ord Shs,545.908531,555.744721,545.908531,552.892226,1271,0
2011-07-28,D,Vst Tillers Tractors Ord Shs,550.875807,560.662816,550.777445,553.088949,4690,0
2011-07-29,D,Vst Tillers Tractors Ord Shs,551.908607,557.76114,550.826626,550.826626,2691,0
2011-08-01,D,Vst Tillers Tractors Ord Shs,550.826626,552.793864,545.908531,551.02335,1518,0
2011-08-02,D,Vst Tillers Tractors Ord Shs,501.842401,563.564492,501.842401,538.974017,745,0
2011-08-03,D,Vst Tillers Tractors Ord Shs,536.072341,536.072341,512.66221,521.613142,329,0
2011-08-04,D,Vst Tillers Tractors Ord Shs,520.334438,520.334438,496.776763,501.055506,568,0
2011-08-05,D,Vst Tillers Tractors Ord Shs,491.809487,511.481867,472.23547,497.465296,2095,0
2011-08-08,D,Vst Tillers Tractors Ord Shs,491.809487,497.219392,483.940536,491.268497,1359,0
2011-08-09,D,Vst Tillers Tractors Ord Shs,468.202632,520.186895,467.219013,492.793106,1155,0
2011-08-10,D,Vst Tillers Tractors Ord Shs,517.285219,517.285219,492.793106,513.350743,1297,0
2011-08-11,D,Vst Tillers Tractors Ord Shs,506.563772,516.350781,506.563772,506.711315,1101,0
2011-08-12,D,Vst Tillers Tractors Ord Shs,491.809487,514.432724,491.809487,504.448991,7747,0
2011-08-16,D,Vst Tillers Tractors Ord Shs,525.154171,525.154171,499.678439,502.186668,3658,0
2011-08-17,D,Vst Tillers Tractors Ord Shs,498.203011,501.645677,498.203011,499.137449,4451,0
2011-08-18,D,Vst Tillers Tractors Ord Shs,473.120727,501.547315,473.120727,488.956992,2399,0
2011-08-19,D,Vst Tillers Tractors Ord Shs,484.038897,486.399583,473.169908,481.924117,3480,0
2011-08-22,D,Vst Tillers Tractors Ord Shs,477.055203,505.973601,472.137108,487.924192,1696,0
2011-08-23,D,Vst Tillers Tractors Ord Shs,451.481109,501.399772,451.481109,480.104422,572,0
2011-08-24,D,Vst Tillers Tractors Ord Shs,487.875011,487.875011,481.924117,481.973298,2049,0
2011-08-25,D,Vst Tillers Tractors Ord Shs,477.153565,490.825868,477.104384,487.334021,2028,0
2011-08-26,D,Vst Tillers Tractors Ord Shs,486.891392,493.776725,477.153565,486.645488,6184,0
2011-08-29,D,Vst Tillers Tractors Ord Shs,493.776725,499.678439,485.907773,492.645563,1782,0
2011-08-30,D,Vst Tillers Tractors Ord Shs,491.809487,516.399962,491.809487,510.006438,536,0
2011-09-02,D,Vst Tillers Tractors Ord Shs,511.481867,531.203427,506.563772,526.432875,1761,0
2011-09-05,D,Vst Tillers Tractors Ord Shs,531.154246,536.072341,513.842552,533.219846,1058,0
2011-09-06,D,Vst Tillers Tractors Ord Shs,535.088722,535.088722,521.318057,526.186971,971,0
2011-09-07,D,Vst Tillers Tractors Ord Shs,528.25257,528.25257,517.432762,521.318057,1399,0
2011-09-08,D,Vst Tillers Tractors Ord Shs,527.21977,527.21977,509.514629,511.531048,258,0
2011-09-09,D,Vst Tillers Tractors Ord Shs,511.531048,526.236151,497.760382,500.957144,1144,0
2011-09-12,D,Vst Tillers Tractors Ord Shs,506.514591,506.514591,483.202821,490.088154,406,0
2011-09-13,D,Vst Tillers Tractors Ord Shs,534.105103,534.105103,482.956917,487.973373,742,0
2011-09-14,D,Vst Tillers Tractors Ord Shs,496.727582,504.055544,486.891392,487.383202,631,0
2011-09-15,D,Vst Tillers Tractors Ord Shs,491.760306,501.596496,486.842212,501.399772,355,0
2011-09-16,D,Vst Tillers Tractors Ord Shs,505.580153,506.514591,491.858668,493.530821,497,0
2011-09-19,D,Vst Tillers Tractors Ord Shs,501.596496,506.563772,497.022668,501.30141,1055,0
2011-09-20,D,Vst Tillers Tractors Ord Shs,506.514591,526.039428,488.85863,491.858668,1560,0
2011-09-21,D,Vst Tillers Tractors Ord Shs,501.547315,508.088381,491.907849,495.989868,695,0
2011-09-22,D,Vst Tillers Tractors Ord Shs,495.989868,499.678439,491.907849,496.973487,1290,0
2011-09-23,D,Vst Tillers Tractors Ord Shs,482.022479,521.318057,482.022479,508.580191,2506,0
2011-09-26,D,Vst Tillers Tractors Ord Shs,500.662058,515.416343,491.907849,514.334362,835,0
2011-09-27,D,Vst Tillers Tractors Ord Shs,502.629296,526.236151,502.629296,520.48198,934,0
2011-09-28,D,Vst Tillers Tractors Ord Shs,511.481867,525.744342,506.711315,507.744115,493,0
2011-09-29,D,Vst Tillers Tractors Ord Shs,507.547391,519.301638,507.547391,511.481867,427,0
2011-09-30,D,Vst Tillers Tractors Ord Shs,525.744342,525.744342,503.612915,509.514629,845,0
2011-10-03,D,Vst Tillers Tractors Ord Shs,516.399962,516.399962,487.481564,501.694858,453,0
2011-10-04,D,Vst Tillers Tractors Ord Shs,501.694858,511.481867,481.973298,495.793144,17574,0
2011-10-05,D,Vst Tillers Tractors Ord Shs,506.46541,506.46541,487.038935,500.416153,17566,0
2011-10-07,D,Vst Tillers Tractors Ord Shs,492.842287,506.563772,488.416002,490.530783,472,0
2011-10-10,D,Vst Tillers Tractors Ord Shs,505.580153,506.563772,493.924268,501.30141,1433,0
2011-10-11,D,Vst Tillers Tractors Ord Shs,505.580153,506.612953,498.793182,505.481791,636,0
2011-10-12,D,Vst Tillers Tractors Ord Shs,496.825944,505.678515,496.727582,497.465296,555,0
2011-10-13,D,Vst Tillers Tractors Ord Shs,501.596496,506.563772,501.596496,506.563772,260,0
2011-10-14,D,Vst Tillers Tractors Ord Shs,506.563772,509.416267,494.760344,505.826058,616,0
2011-10-17,D,Vst Tillers Tractors Ord Shs,511.481867,525.055809,507.055581,512.022857,2683,0
2011-10-18,D,Vst Tillers Tractors Ord Shs,518.3672,518.3672,502.82602,505.678515,1348,0
2011-10-19,D,Vst Tillers Tractors Ord Shs,505.776877,516.350781,505.776877,510.547429,383,0
2011-10-20,D,Vst Tillers Tractors Ord Shs,516.399962,516.399962,496.727582,503.071925,996,0
2011-10-21,D,Vst Tillers Tractors Ord Shs,512.465486,512.465486,496.727582,499.72762,361,0
2011-10-24,D,Vst Tillers Tractors Ord Shs,503.662096,511.235962,499.678439,499.825982,900,0
2011-10-25,D,Vst Tillers Tractors Ord Shs,506.514591,508.53101,495.153792,505.088344,751,0
2011-10-26,D,Vst Tillers Tractors Ord Shs,540.990436,540.990436,507.547391,513.793371,264,0
2011-10-28,D,Vst Tillers Tractors Ord Shs,522.301676,522.301676,501.645677,502.727658,251,0
2011-10-31,D,Vst Tillers Tractors Ord Shs,508.53101,520.334438,501.645677,504.940801,626,0
2011-11-01,D,Vst Tillers Tractors Ord Shs,517.629485,519.350819,500.416153,506.416229,888,0
2011-11-02,D,Vst Tillers Tractors Ord Shs,494.416078,515.072076,494.416078,513.399924,322,0
2011-11-03,D,Vst Tillers Tractors Ord Shs,511.481867,517.137676,497.416115,497.416115,148,0
2011-11-04,D,Vst Tillers Tractors Ord Shs,498.891544,502.580115,492.891468,492.891468,729,0
2011-11-08,D,Vst Tillers Tractors Ord Shs,491.809487,501.645677,467.219013,495.104611,1613,0
2011-11-09,D,Vst Tillers Tractors Ord Shs,484.235621,505.334248,484.038897,491.809487,987,0
2011-11-11,D,Vst Tillers Tractors Ord Shs,491.809487,498.69482,491.809487,492.793106,1145,0
2011-11-14,D,Vst Tillers Tractors Ord Shs,496.678401,501.547315,491.809487,492.055392,1050,0
2011-11-15,D,Vst Tillers Tractors Ord Shs,491.907849,499.678439,491.760306,496.334135,959,0
2011-11-16,D,Vst Tillers Tractors Ord Shs,498.69482,501.645677,487.875011,499.18663,4913,0
2011-11-17,D,Vst Tillers Tractors Ord Shs,499.678439,499.678439,491.809487,492.006211,879,0
2011-11-18,D,Vst Tillers Tractors Ord Shs,491.809487,493.776725,476.071584,491.809487,4765,1
2011-11-21,D,Vst Tillers Tractors Ord Shs,486.989754,493.678363,480.00606,488.366821,1853,0
2011-11-22,D,Vst Tillers Tractors Ord Shs,481.973298,481.973298,467.219013,468.005908,1436,0
2011-11-23,D,Vst Tillers Tractors Ord Shs,467.268194,486.74385,424.923397,446.31711,3726,0
2011-11-24,D,Vst Tillers Tractors Ord Shs,448.038443,448.038443,433.284158,436.726825,1740,0
2011-11-25,D,Vst Tillers Tractors Ord Shs,447.34991,491.612764,447.34991,459.005795,368,0
2011-11-28,D,Vst Tillers Tractors Ord Shs,460.33368,486.596307,460.33368,465.694404,424,0
2011-11-29,D,Vst Tillers Tractors Ord Shs,480.989679,482.956917,464.268156,465.300956,190,0
2011-11-30,D,Vst Tillers Tractors Ord Shs,467.219013,471.153489,427.874254,434.366139,2576,0
2011-12-01,D,Vst Tillers Tractors Ord Shs,433.038254,452.464728,423.300426,431.857911,1038,0
2011-12-02,D,Vst Tillers Tractors Ord Shs,428.759511,436.726825,428.759511,432.644806,2944,0
2011-12-05,D,Vst Tillers Tractors Ord Shs,433.775968,437.710444,420.103664,432.251358,1810,0
2011-12-07,D,Vst Tillers Tractors Ord Shs,432.84153,437.710444,422.956159,432.792349,1300,0
2011-12-08,D,Vst Tillers Tractors Ord Shs,429.841492,429.841492,418.038064,424.087321,3709,0
2011-12-09,D,Vst Tillers Tractors Ord Shs,418.038064,432.792349,413.119969,431.80873,418,0
2011-12-12,D,Vst Tillers Tractors Ord Shs,431.80873,432.693987,415.136388,420.988921,392,0
2011-12-13,D,Vst Tillers Tractors Ord Shs,418.136426,422.956159,416.070826,420.546293,2092,0
2011-12-14,D,Vst Tillers Tractors Ord Shs,432.693987,432.693987,415.185569,418.038064,392,0
2011-12-15,D,Vst Tillers Tractors Ord Shs,422.906978,422.906978,415.185569,420.300388,766,0
2011-12-16,D,Vst Tillers Tractors Ord Shs,424.874216,424.874216,417.644617,418.579055,707,0
2011-12-19,D,Vst Tillers Tractors Ord Shs,418.038064,420.988921,410.169112,412.431436,1445,0
2011-12-20,D,Vst Tillers Tractors Ord Shs,410.169112,413.119969,404.267399,412.234712,1019,0
2011-12-21,D,Vst Tillers Tractors Ord Shs,412.13635,426.841454,408.251055,409.874027,892,0
2011-12-22,D,Vst Tillers Tractors Ord Shs,394.431209,422.956159,394.431209,410.267474,1016,0
2011-12-23,D,Vst Tillers Tractors Ord Shs,411.398636,418.038064,410.464198,412.824884,1120,0
2011-12-26,D,Vst Tillers Tractors Ord Shs,413.16915,418.038064,394.529571,404.119856,2492,0
2011-12-27,D,Vst Tillers Tractors Ord Shs,405.251018,408.201874,403.578865,405.201837,735,0
2011-12-28,D,Vst Tillers Tractors Ord Shs,406.136275,408.201874,398.464047,403.234599,521,0
2011-12-29,D,Vst Tillers Tractors Ord Shs,431.612006,431.612006,394.48039,395.709914,973,0
2011-12-30,D,Vst Tillers Tractors Ord Shs,403.332961,403.775589,398.414866,402.300161,183,0
2012-01-02,D,Vst Tillers Tractors Ord Shs,419.808578,419.808578,408.201874,412.382255,221,0
2012-01-03,D,Vst Tillers Tractors Ord Shs,421.97254,421.97254,404.759208,408.841227,569,0
2012-01-04,D,Vst Tillers Tractors Ord Shs,418.972502,419.759397,413.119969,415.087207,891,0
2012-01-05,D,Vst Tillers Tractors Ord Shs,421.97254,426.890635,415.087207,416.070826,399,0
2012-01-06,D,Vst Tillers Tractors Ord Shs,413.119969,417.939702,408.201874,409.726484,847,0
2012-01-07,D,Vst Tillers Tractors Ord Shs,417.988883,418.038064,413.070788,417.792159,42,0
2012-01-09,D,Vst Tillers Tractors Ord Shs,411.201912,431.759549,410.169112,420.988921,347,0
2012-01-10,D,Vst Tillers Tractors Ord Shs,419.120045,422.956159,415.628198,416.857721,770,0
2012-01-11,D,Vst Tillers Tractors Ord Shs,418.038064,420.988921,417.054445,420.93974,215,0
2012-01-12,D,Vst Tillers Tractors Ord Shs,420.988921,420.988921,413.119969,416.070826,596,0
2012-01-13,D,Vst Tillers Tractors Ord Shs,424.923397,442.628539,413.119969,421.234826,2455,0
2012-01-16,D,Vst Tillers Tractors Ord Shs,427.825073,427.825073,415.136388,416.070826,560,0
2012-01-17,D,Vst Tillers Tractors Ord Shs,416.070826,427.874254,411.05437,423.54633,1362,0
2012-01-18,D,Vst Tillers Tractors Ord Shs,427.038178,431.612006,424.923397,430.825111,1003,0
2012-01-19,D,Vst Tillers Tractors Ord Shs,416.562636,442.628539,416.562636,438.202253,1983,0
2012-01-20,D,Vst Tillers Tractors Ord Shs,425.316845,447.546633,425.316845,430.726749,2070,0
2012-01-23,D,Vst Tillers Tractors Ord Shs,440.562939,440.562939,422.956159,431.907092,1491,0
2012-01-24,D,Vst Tillers Tractors Ord Shs,428.857873,432.792349,422.956159,423.693873,2014,0
2012-01-25,D,Vst Tillers Tractors Ord Shs,430.825111,430.825111,413.316693,417.742979,3211,0
2012-01-27,D,Vst Tillers Tractors Ord Shs,428.120159,432.792349,422.956159,424.775854,3157,0
2012-01-30,D,Vst Tillers Tractors Ord Shs,431.562825,432.792349,423.00534,423.398788,2527,0
2012-01-31,D,Vst Tillers Tractors Ord Shs,429.841492,435.792387,423.349607,430.530025,2841,0
2012-02-01,D,Vst Tillers Tractors Ord Shs,431.710368,433.775968,429.152959,432.497263,2815,0
2012-02-02,D,Vst Tillers Tractors Ord Shs,432.792349,437.464539,424.972578,428.759511,7391,0
2012-02-03,D,Vst Tillers Tractors Ord Shs,431.415282,432.792349,428.857873,432.743168,10173,0
2012-02-06,D,Vst Tillers Tractors Ord Shs,436.726825,452.464728,436.726825,444.989224,5636,0
2012-02-07,D,Vst Tillers Tractors Ord Shs,448.136805,449.513871,442.726901,443.513796,1647,0
2012-02-08,D,Vst Tillers Tractors Ord Shs,446.563015,448.431891,424.529949,436.431739,2315,0
2012-02-09,D,Vst Tillers Tractors Ord Shs,436.97273,442.628539,432.743168,438.743244,3960,0
2012-02-10,D,Vst Tillers Tractors Ord Shs,450.49749,450.49749,437.710444,441.743282,3166,0
2012-02-13,D,Vst Tillers Tractors Ord Shs,442.628539,444.694138,440.661301,442.67772,3672,0
2012-02-14,D,Vst Tillers Tractors Ord Shs,442.628539,445.579396,442.628539,443.661339,11656,0
2012-02-15,D,Vst Tillers Tractors Ord Shs,450.49749,452.464728,443.612158,447.546633,7483,0
2012-02-16,D,Vst Tillers Tractors Ord Shs,450.49749,452.464728,437.710444,442.136729,2728,0
2012-02-17,D,Vst Tillers Tractors Ord Shs,443.366253,447.497453,438.694063,443.317072,2159,0
2012-02-21,D,Vst Tillers Tractors Ord Shs,443.661339,447.497453,438.694063,439.08751,3069,0
2012-02-22,D,Vst Tillers Tractors Ord Shs,442.628539,448.284348,430.825111,432.693987,2848,0
2012-02-23,D,Vst Tillers Tractors Ord Shs,432.84153,438.694063,428.857873,434.021873,3077,0
2012-02-24,D,Vst Tillers Tractors Ord Shs,431.31692,432.792349,418.136426,421.185645,1874,0
2012-02-27,D,Vst Tillers Tractors Ord Shs,422.956159,427.874254,406.529722,409.824846,3376,0
2012-02-28,D,Vst Tillers Tractors Ord Shs,414.103588,427.825073,414.103588,424.234864,3911,0
2012-02-29,D,Vst Tillers Tractors Ord Shs,424.923397,440.366215,422.956159,430.923473,19002,0
2012-03-01,D,Vst Tillers Tractors Ord Shs,442.333453,442.382634,425.366026,438.54652,795,0
2012-03-02,D,Vst Tillers Tractors Ord Shs,437.710444,442.628539,437.710444,441.989186,1327,0
2012-03-03,D,Vst Tillers Tractors Ord Shs,438.694063,521.318057,437.710444,442.874443,1258,0
2012-03-05,D,Vst Tillers Tractors Ord Shs,442.628539,449.41551,440.661301,444.989224,3807,0
2012-03-06,D,Vst Tillers Tractors Ord Shs,413.218331,446.169567,413.218331,443.21871,1413,0
2012-03-07,D,Vst Tillers Tractors Ord Shs,442.530177,445.530215,442.530177,442.628539,2619,0
2012-03-09,D,Vst Tillers Tractors Ord Shs,424.03814,451.776195,424.03814,444.25151,2196,0
2012-03-12,D,Vst Tillers Tractors Ord Shs,461.956651,472.137108,454.481147,458.317261,4504,0
2012-03-13,D,Vst Tillers Tractors Ord Shs,463.284537,479.120803,463.284537,471.153489,1771,0
2012-03-14,D,Vst Tillers Tractors Ord Shs,473.366632,480.989679,462.300918,466.579661,2192,0
2012-03-15,D,Vst Tillers Tractors Ord Shs,464.268156,464.268156,445.579396,447.054824,1185,0
2012-03-16,D,Vst Tillers Tractors Ord Shs,462.104194,470.16987,445.628576,456.448385,2138,0
2012-03-19,D,Vst Tillers Tractors Ord Shs,446.563015,485.71105,446.563015,463.97307,4191,0
2012-03-20,D,Vst Tillers Tractors Ord Shs,467.219013,476.465031,457.382823,460.087775,873,0
2012-03-21,D,Vst Tillers Tractors Ord Shs,469.13707,469.13707,456.399204,460.923852,305,0
2012-03-22,D,Vst Tillers Tractors Ord Shs,458.415623,462.300918,448.530252,451.481109,990,0
2012-03-23,D,Vst Tillers Tractors Ord Shs,452.464728,463.874708,448.038443,452.071281,742,0
2012-03-26,D,Vst Tillers Tractors Ord Shs,444.103967,449.661414,440.759663,441.103929,3028,0
2012-03-27,D,Vst Tillers Tractors Ord Shs,461.022213,461.022213,440.661301,442.579358,964,0
2012-03-28,D,Vst Tillers Tractors Ord Shs,437.759625,453.251624,432.84153,436.874368,3906,0
2012-03-29,D,Vst Tillers Tractors Ord Shs,442.530177,446.661376,437.120272,446.464653,138,0
2012-03-30,D,Vst Tillers Tractors Ord Shs,439.726863,449.366329,439.677682,444.743319,857,0
2012-04-02,D,Vst Tillers Tractors Ord Shs,449.513871,460.33368,449.513871,455.66149,572,0
2012-04-03,D,Vst Tillers Tractors Ord Shs,453.792614,467.219013,447.497453,449.9565,2580,0
2012-04-04,D,Vst Tillers Tractors Ord Shs,435.349758,460.579585,435.349758,457.481185,654,0
2012-04-09,D,Vst Tillers Tractors Ord Shs,467.219013,467.219013,449.513871,455.710671,1544,0
2012-04-10,D,Vst Tillers Tractors Ord Shs,454.677871,467.120651,453.448347,457.432004,1680,0
2012-04-11,D,Vst Tillers Tractors Ord Shs,450.792576,458.26808,449.661414,453.349985,4170,0
2012-04-12,D,Vst Tillers Tractors Ord Shs,461.317299,461.317299,453.546709,454.972957,7484,0
2012-04-13,D,Vst Tillers Tractors Ord Shs,456.399204,467.219013,448.530252,464.022251,10590,0
2012-04-16,D,Vst Tillers Tractors Ord Shs,462.300918,471.153489,459.399242,464.563242,2899,0
2012-04-17,D,Vst Tillers Tractors Ord Shs,467.219013,473.956803,464.317337,471.989565,2916,0
2012-04-18,D,Vst Tillers Tractors Ord Shs,464.317337,487.875011,464.317337,477.251927,6619,0
