Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-10-13,D,VA Tech Wabag Ord Shs,300.000004,361.360005,300.000004,341.590005,46344249.309417,0
2010-10-14,D,VA Tech Wabag Ord Shs,343.200005,344.800005,330.000005,333.700005,3326849.950426,0
2010-10-15,D,VA Tech Wabag Ord Shs,334.000005,350.000005,326.440005,342.990005,2653819.960455,0
2010-10-18,D,VA Tech Wabag Ord Shs,340.000005,350.000005,331.000005,337.000005,1138304.983038,0
2010-10-19,D,VA Tech Wabag Ord Shs,333.200005,342.480005,332.800005,334.500005,678214.989894,0
2010-10-20,D,VA Tech Wabag Ord Shs,334.400005,337.580005,327.040005,328.550005,218359.996746,0
2010-10-21,D,VA Tech Wabag Ord Shs,330.000005,336.560005,329.000005,331.690005,355629.994701,0
2010-10-22,D,VA Tech Wabag Ord Shs,328.000005,340.000005,328.000005,337.790005,798529.988101,0
2010-10-25,D,VA Tech Wabag Ord Shs,339.000005,339.010005,312.200005,328.260005,492164.992666,0
2010-10-26,D,VA Tech Wabag Ord Shs,330.250005,334.790005,325.000005,326.440005,113994.998301,0
2010-10-27,D,VA Tech Wabag Ord Shs,329.800005,329.800005,320.200005,321.850005,202424.996984,0
2010-10-28,D,VA Tech Wabag Ord Shs,323.930005,331.000005,321.000005,323.700005,278999.995843,0
2010-10-29,D,VA Tech Wabag Ord Shs,326.000005,332.000005,322.020005,326.730005,232594.996534,0
2010-11-01,D,VA Tech Wabag Ord Shs,329.980005,335.960005,324.000005,329.520005,183734.997262,0
2010-11-02,D,VA Tech Wabag Ord Shs,330.240005,338.660005,329.460005,333.440005,195149.997092,0
2010-11-03,D,VA Tech Wabag Ord Shs,333.000005,338.000005,328.000005,336.200005,164154.997554,0
2010-11-04,D,VA Tech Wabag Ord Shs,338.400005,338.400005,332.900005,334.420005,57934.999137,0
2010-11-05,D,VA Tech Wabag Ord Shs,334.040005,345.880005,334.040005,336.970005,129379.998072,0
2010-11-08,D,VA Tech Wabag Ord Shs,336.000005,338.400005,332.450005,334.330005,67519.998994,0
2010-11-09,D,VA Tech Wabag Ord Shs,330.200005,354.800005,330.000005,341.740005,794299.988164,0
2010-11-10,D,VA Tech Wabag Ord Shs,341.800005,347.800005,330.450005,333.760005,271574.995953,0
2010-11-11,D,VA Tech Wabag Ord Shs,335.000005,336.400005,330.250005,331.680005,185699.997233,0
2010-11-12,D,VA Tech Wabag Ord Shs,331.680005,339.800005,330.200005,336.740005,74119.998896,0
2010-11-15,D,VA Tech Wabag Ord Shs,337.880005,348.800005,332.010005,333.980005,458919.993162,0
2010-11-16,D,VA Tech Wabag Ord Shs,334.620005,338.600005,327.000005,329.820005,174999.997392,0
2010-11-18,D,VA Tech Wabag Ord Shs,338.200005,339.740005,324.410005,332.930005,165994.997526,0
2010-11-19,D,VA Tech Wabag Ord Shs,331.200005,335.200005,329.000005,332.970005,75594.998874,0
2010-11-22,D,VA Tech Wabag Ord Shs,336.000005,337.400005,330.000005,334.070005,53254.999206,0
2010-11-23,D,VA Tech Wabag Ord Shs,333.990005,335.740005,329.000005,330.310005,39839.999406,0
2010-11-24,D,VA Tech Wabag Ord Shs,331.800005,337.000005,330.000005,334.460005,52324.99922,0
2010-11-25,D,VA Tech Wabag Ord Shs,334.010005,340.800005,331.580005,333.160005,75809.99887,0
2010-11-26,D,VA Tech Wabag Ord Shs,332.000005,334.000005,309.430005,331.380005,89549.998666,0
2010-11-29,D,VA Tech Wabag Ord Shs,331.200005,331.200005,320.220005,326.980005,48519.999277,0
2010-11-30,D,VA Tech Wabag Ord Shs,327.020005,327.020005,321.600005,324.370005,37929.999435,0
2010-12-01,D,VA Tech Wabag Ord Shs,324.220005,334.800005,310.800005,328.120005,198989.997035,0
2010-12-02,D,VA Tech Wabag Ord Shs,338.000005,338.000005,328.400005,329.900005,67329.998997,0
2010-12-03,D,VA Tech Wabag Ord Shs,331.800005,333.800005,320.400005,323.590005,66254.999013,0
2010-12-06,D,VA Tech Wabag Ord Shs,326.000005,330.000005,310.200005,325.580005,126324.998118,0
2010-12-07,D,VA Tech Wabag Ord Shs,329.600005,333.000005,320.000005,325.000005,167819.997499,0
2010-12-08,D,VA Tech Wabag Ord Shs,322.200005,329.000005,311.050005,314.470005,239094.996437,0
2010-12-09,D,VA Tech Wabag Ord Shs,317.580005,324.000005,312.580005,313.850005,184059.997257,0
2010-12-10,D,VA Tech Wabag Ord Shs,319.600005,319.600005,312.850005,314.630005,39734.999408,0
2010-12-13,D,VA Tech Wabag Ord Shs,309.400005,315.000005,288.000004,302.270005,229834.996575,0
2010-12-14,D,VA Tech Wabag Ord Shs,305.000005,307.600005,295.220004,298.620004,29989.999553,0
2010-12-15,D,VA Tech Wabag Ord Shs,300.000004,307.000005,295.000004,299.290004,51069.999239,0
2010-12-16,D,VA Tech Wabag Ord Shs,299.200004,306.000005,293.000004,294.700004,8904.999867,0
2010-12-20,D,VA Tech Wabag Ord Shs,294.000004,298.980004,285.220004,288.320004,22984.999657,0
2010-12-21,D,VA Tech Wabag Ord Shs,288.000004,289.940004,281.400004,287.880004,38884.999421,0
2010-12-22,D,VA Tech Wabag Ord Shs,287.780004,292.770004,286.050004,290.210004,14034.999791,0
2010-12-23,D,VA Tech Wabag Ord Shs,288.600004,310.000005,288.600004,307.520005,83489.998756,0
2010-12-24,D,VA Tech Wabag Ord Shs,302.000005,311.800005,300.550004,307.890005,28199.99958,0
2010-12-27,D,VA Tech Wabag Ord Shs,309.800005,311.000005,304.900005,308.130005,5764.999914,0
2010-12-28,D,VA Tech Wabag Ord Shs,308.000005,310.000005,304.620005,305.600005,7984.999881,0
2010-12-29,D,VA Tech Wabag Ord Shs,305.600005,311.600005,295.260004,307.650005,69009.998972,0
2010-12-30,D,VA Tech Wabag Ord Shs,306.000005,315.800005,305.230005,313.910005,70559.998949,0
2010-12-31,D,VA Tech Wabag Ord Shs,312.200005,320.600005,312.000005,317.330005,28809.999571,0
2011-01-03,D,VA Tech Wabag Ord Shs,312.020005,319.760005,312.000005,313.610005,4774.999929,0
2011-01-04,D,VA Tech Wabag Ord Shs,313.600005,315.600005,307.700005,310.970005,16629.999752,0
2011-01-05,D,VA Tech Wabag Ord Shs,310.970005,313.800005,306.000005,306.160005,3419.999949,0
2011-01-06,D,VA Tech Wabag Ord Shs,306.000005,308.940005,304.000005,306.250005,2229.999967,0
2011-01-07,D,VA Tech Wabag Ord Shs,305.600005,306.000005,296.060004,298.090004,5459.999919,0
2011-01-10,D,VA Tech Wabag Ord Shs,298.000004,301.000004,292.030004,294.250004,11364.999831,0
2011-01-11,D,VA Tech Wabag Ord Shs,294.200004,300.200004,292.240004,293.990004,21384.999681,0
2011-01-12,D,VA Tech Wabag Ord Shs,294.000004,298.400004,292.200004,296.040004,74099.998896,0
2011-01-13,D,VA Tech Wabag Ord Shs,296.200004,309.780005,296.000004,301.110004,15249.999773,0
2011-01-14,D,VA Tech Wabag Ord Shs,300.000004,302.980005,295.450004,300.200004,29284.999564,0
2011-01-17,D,VA Tech Wabag Ord Shs,301.800004,301.800004,289.000004,290.260004,13419.9998,0
