Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-05-15,D,Websol Energy System Ord Shs,192.25,192.5,175.5,184.575,32246,0
2007-05-16,D,Websol Energy System Ord Shs,191.5,191.5,182.5,185.95,1490,0
2007-05-17,D,Websol Energy System Ord Shs,181.525,186.5,181.525,186.5,1372,0
2007-05-18,D,Websol Energy System Ord Shs,183.075,183.5,179.75,180.25,1622,0
2007-05-21,D,Websol Energy System Ord Shs,175.5,186.5,175.5,182.225,1770,0
2007-05-22,D,Websol Energy System Ord Shs,177.825,182.475,177.8,180.0,810,0
2007-05-23,D,Websol Energy System Ord Shs,177.525,179.5,177.5,177.5,3220,0
2007-05-24,D,Websol Energy System Ord Shs,172.25,187.0,172.25,180.0,2662,0
2007-05-25,D,Websol Energy System Ord Shs,170.0,199.0,170.0,191.3,16756,0
2007-05-28,D,Websol Energy System Ord Shs,227.5,227.5,200.0,204.775,140264,0
2007-05-29,D,Websol Energy System Ord Shs,207.5,223.5,207.5,220.575,158188,0
2007-05-30,D,Websol Energy System Ord Shs,220.5,235.0,218.0,228.5,126414,0
2007-05-31,D,Websol Energy System Ord Shs,235.0,242.5,230.5,237.275,102686,0
2007-06-01,D,Websol Energy System Ord Shs,243.0,263.45,236.05,246.45,117586,0
2007-06-04,D,Websol Energy System Ord Shs,253.0,253.45,237.675,241.225,30626,0
2007-06-05,D,Websol Energy System Ord Shs,194.125,239.975,194.125,234.45,22772,0
2007-06-06,D,Websol Energy System Ord Shs,237.0,238.0,225.275,228.3,17958,0
2007-06-07,D,Websol Energy System Ord Shs,226.0,237.35,223.5,232.875,45886,0
2007-06-08,D,Websol Energy System Ord Shs,230.0,244.35,229.95,231.9,40094,0
2007-06-11,D,Websol Energy System Ord Shs,206.825,251.0,206.825,238.475,40600,0
2007-06-12,D,Websol Energy System Ord Shs,236.325,241.325,215.0,229.85,11316,0
2007-06-13,D,Websol Energy System Ord Shs,250.0,250.0,225.0,226.2,5976,0
2007-06-14,D,Websol Energy System Ord Shs,241.0,241.0,225.6,230.7,10234,0
2007-06-15,D,Websol Energy System Ord Shs,234.0,234.0,225.5,225.7,3226,0
2007-06-18,D,Websol Energy System Ord Shs,241.0,253.9,234.0,246.575,56874,0
2007-06-19,D,Websol Energy System Ord Shs,245.0,249.25,237.5,242.925,13614,0
2007-06-20,D,Websol Energy System Ord Shs,247.5,250.0,242.65,246.275,19906,0
2007-06-21,D,Websol Energy System Ord Shs,228.025,281.0,228.025,258.9,92896,0
2007-06-22,D,Websol Energy System Ord Shs,263.4,272.475,255.075,260.475,53464,0
2007-06-25,D,Websol Energy System Ord Shs,233.325,273.0,233.325,269.85,56490,0
2007-06-26,D,Websol Energy System Ord Shs,265.0,283.45,263.5,269.15,43100,0
2007-06-27,D,Websol Energy System Ord Shs,272.45,272.45,251.025,255.225,67828,0
2007-06-28,D,Websol Energy System Ord Shs,275.75,275.75,252.5,255.3,52152,0
2007-06-29,D,Websol Energy System Ord Shs,269.0,269.0,240.05,255.175,21618,0
2007-07-02,D,Websol Energy System Ord Shs,256.0,263.8,251.0,254.925,9170,0
2007-07-03,D,Websol Energy System Ord Shs,259.0,259.0,247.8,249.375,9726,0
2007-07-04,D,Websol Energy System Ord Shs,252.5,252.5,242.8,242.95,9552,0
2007-07-05,D,Websol Energy System Ord Shs,248.0,255.0,238.275,244.8,27118,0
2007-07-06,D,Websol Energy System Ord Shs,260.5,265.0,246.5,254.175,108772,0
2007-07-09,D,Websol Energy System Ord Shs,259.0,261.0,255.0,256.925,49752,0
2007-07-10,D,Websol Energy System Ord Shs,260.0,282.4,256.75,269.4,233490,0
2007-07-11,D,Websol Energy System Ord Shs,265.25,276.5,265.25,271.85,66984,0
2007-07-12,D,Websol Energy System Ord Shs,280.0,280.0,271.5,272.825,64908,0
2007-07-13,D,Websol Energy System Ord Shs,284.5,284.5,265.0,269.9,59718,0
