Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2004-11-04,D,Welspun Enterprises Ord Shs,41.9705,43.401313,34.387194,36.485719,1593499,0
2004-11-05,D,Welspun Enterprises Ord Shs,37.3919,37.3919,33.862563,34.3395,335266,0
2004-11-08,D,Welspun Enterprises Ord Shs,34.673356,40.205831,32.956381,38.775019,1904424,0
2004-11-09,D,Welspun Enterprises Ord Shs,39.108875,39.251956,36.6288,37.105738,450355,0
2004-11-10,D,Welspun Enterprises Ord Shs,37.201125,39.251956,36.390331,37.534981,559339,0
2004-11-11,D,Welspun Enterprises Ord Shs,38.155,39.013488,37.487288,38.011919,319009,0
2004-11-12,D,Welspun Enterprises Ord Shs,38.631938,38.631938,37.821144,38.107306,77053,0
2004-11-16,D,Welspun Enterprises Ord Shs,38.631938,41.159706,37.678063,40.778156,1015157,0
2004-11-17,D,Welspun Enterprises Ord Shs,39.585813,41.398175,38.775019,39.061181,472456,0
2004-11-18,D,Welspun Enterprises Ord Shs,39.490425,40.348913,38.441163,38.679631,278859,0
2004-11-19,D,Welspun Enterprises Ord Shs,39.395038,39.6812,37.201125,37.344206,374830,0
2004-11-22,D,Welspun Enterprises Ord Shs,37.582675,37.964225,36.819575,37.344206,141379,0
2004-11-23,D,Welspun Enterprises Ord Shs,38.011919,39.585813,37.630369,38.059613,299141,0
2004-11-24,D,Welspun Enterprises Ord Shs,38.155,39.108875,37.534981,37.77345,212353,0
2004-11-25,D,Welspun Enterprises Ord Shs,38.059613,38.488856,37.01035,37.344206,155181,0
2004-11-29,D,Welspun Enterprises Ord Shs,37.296513,38.059613,36.819575,36.962656,62988,0
2004-11-30,D,Welspun Enterprises Ord Shs,38.059613,38.059613,35.054906,35.436456,134228,0
2004-12-01,D,Welspun Enterprises Ord Shs,36.056475,36.056475,34.864131,35.197988,63531,0
2004-12-02,D,Welspun Enterprises Ord Shs,35.961088,37.964225,35.054906,36.342638,189386,0
2004-12-03,D,Welspun Enterprises Ord Shs,36.771881,36.819575,35.293375,35.48415,62432,0
2004-12-06,D,Welspun Enterprises Ord Shs,36.056475,36.771881,35.770313,35.8657,58472,0
2004-12-07,D,Welspun Enterprises Ord Shs,35.770313,36.485719,35.436456,35.627231,51133,0
2004-12-08,D,Welspun Enterprises Ord Shs,35.770313,36.294944,35.007213,35.197988,40919,0
2004-12-09,D,Welspun Enterprises Ord Shs,35.054906,38.059613,35.054906,36.867269,305987,0
2004-12-10,D,Welspun Enterprises Ord Shs,36.485719,37.534981,35.818006,36.342638,128188,0
2004-12-13,D,Welspun Enterprises Ord Shs,36.294944,40.06275,36.294944,39.156569,741060,0
2004-12-14,D,Welspun Enterprises Ord Shs,39.871975,42.447438,39.776588,41.9705,1240051,0
2004-12-15,D,Welspun Enterprises Ord Shs,42.924375,43.687475,40.778156,41.350481,1075495,0
2004-12-16,D,Welspun Enterprises Ord Shs,41.9705,42.161275,40.253525,40.635075,320132,0
2004-12-17,D,Welspun Enterprises Ord Shs,40.921238,41.2074,38.584244,38.870406,254252,0
2004-12-20,D,Welspun Enterprises Ord Shs,39.395038,41.875113,39.108875,39.347344,256509,0
