Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-09-20,D,Welspun Investments and Commercials Ord Shs,53.0,101.4,53.0,99.6,388,0
2010-09-21,D,Welspun Investments and Commercials Ord Shs,104.6,104.6,104.6,104.6,2969,1
2010-09-22,D,Welspun Investments and Commercials Ord Shs,109.85,109.85,109.85,109.85,947,1
2010-09-23,D,Welspun Investments and Commercials Ord Shs,115.35,115.35,115.35,115.35,3795,1
2010-09-24,D,Welspun Investments and Commercials Ord Shs,121.15,121.15,121.15,121.15,233,1
2010-09-27,D,Welspun Investments and Commercials Ord Shs,127.25,127.25,127.25,127.25,461,1
2010-09-28,D,Welspun Investments and Commercials Ord Shs,133.65,133.65,120.9,126.4,68952,0
2010-09-29,D,Welspun Investments and Commercials Ord Shs,120.1,120.1,120.1,120.1,1223,1
2010-09-30,D,Welspun Investments and Commercials Ord Shs,114.1,114.1,114.1,114.1,54,1
2010-10-01,D,Welspun Investments and Commercials Ord Shs,108.4,119.85,108.4,119.85,19851,0
2010-10-04,D,Welspun Investments and Commercials Ord Shs,126.0,143.85,122.1,143.85,12548,0
2010-10-05,D,Welspun Investments and Commercials Ord Shs,158.9,159.0,144.25,146.25,50392,0
2010-10-06,D,Welspun Investments and Commercials Ord Shs,142.4,150.0,132.0,141.85,9184,0
2010-10-07,D,Welspun Investments and Commercials Ord Shs,149.9,149.9,137.0,141.25,3096,0
2010-10-08,D,Welspun Investments and Commercials Ord Shs,134.0,141.75,131.05,133.65,974,0
2010-10-11,D,Welspun Investments and Commercials Ord Shs,125.3,133.0,125.3,127.1,1407,0
2010-10-12,D,Welspun Investments and Commercials Ord Shs,118.1,126.0,116.65,123.75,1268,0
2010-10-13,D,Welspun Investments and Commercials Ord Shs,123.0,148.5,123.0,148.5,32590,0
2010-10-14,D,Welspun Investments and Commercials Ord Shs,155.0,178.2,150.35,154.85,286586,0
2010-10-15,D,Welspun Investments and Commercials Ord Shs,154.8,165.0,148.0,153.1,89500,0
2010-10-18,D,Welspun Investments and Commercials Ord Shs,153.2,153.5,137.5,140.8,5270,0
2010-10-19,D,Welspun Investments and Commercials Ord Shs,146.0,146.0,133.75,136.25,5325,0
2010-10-20,D,Welspun Investments and Commercials Ord Shs,134.5,147.9,132.1,141.6,8769,0
2010-10-21,D,Welspun Investments and Commercials Ord Shs,148.8,148.8,137.0,138.7,1282,0
2010-10-22,D,Welspun Investments and Commercials Ord Shs,145.0,148.9,138.1,139.45,3009,0
2010-10-25,D,Welspun Investments and Commercials Ord Shs,140.0,146.5,136.2,138.05,3005,0
2010-10-26,D,Welspun Investments and Commercials Ord Shs,137.1,162.0,137.1,152.5,45885,0
2010-10-27,D,Welspun Investments and Commercials Ord Shs,155.0,155.0,140.3,141.15,3275,0
2010-10-28,D,Welspun Investments and Commercials Ord Shs,148.1,148.1,140.1,143.65,2029,0
2010-10-29,D,Welspun Investments and Commercials Ord Shs,134.1,142.0,134.1,140.65,1902,0
2010-11-01,D,Welspun Investments and Commercials Ord Shs,139.1,145.0,138.05,140.1,1474,0
2010-11-02,D,Welspun Investments and Commercials Ord Shs,137.2,143.0,136.0,140.15,3186,0
2010-11-03,D,Welspun Investments and Commercials Ord Shs,137.75,141.8,130.4,137.25,878,0
2010-11-04,D,Welspun Investments and Commercials Ord Shs,141.0,141.0,130.0,134.3,1378,0
2010-11-05,D,Welspun Investments and Commercials Ord Shs,132.2,141.0,131.4,137.4,409,0
