Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-12,D,Windsor Machines Ord Shs,51.0,51.0,51.0,51.0,200,1
1995-01-17,D,Windsor Machines Ord Shs,51.0,51.0,50.25,50.625,400,0
1995-01-18,D,Windsor Machines Ord Shs,51.0,51.0,51.0,51.0,200,1
1995-01-19,D,Windsor Machines Ord Shs,51.25,53.75,51.25,53.75,600,0
1995-01-23,D,Windsor Machines Ord Shs,51.0,51.0,51.0,51.0,800,1
1995-01-24,D,Windsor Machines Ord Shs,51.375,52.5,51.375,52.5,400,0
1995-01-25,D,Windsor Machines Ord Shs,51.0,51.0,51.0,51.0,200,1
1995-01-31,D,Windsor Machines Ord Shs,52.375,52.375,51.25,51.25,800,0
1995-02-02,D,Windsor Machines Ord Shs,51.5,51.5,51.5,51.5,200,1
1995-02-03,D,Windsor Machines Ord Shs,51.5,51.5,51.5,51.5,1000,1
1995-02-06,D,Windsor Machines Ord Shs,52.5,52.5,52.5,52.5,400,1
1995-02-07,D,Windsor Machines Ord Shs,51.5,51.625,51.5,51.625,600,0
1995-02-08,D,Windsor Machines Ord Shs,52.0,52.5,52.0,52.5,600,0
1995-02-09,D,Windsor Machines Ord Shs,52.5,52.5,52.5,52.5,19400,1
1995-02-10,D,Windsor Machines Ord Shs,52.5,52.5,52.45,52.475,7000,0
1995-02-13,D,Windsor Machines Ord Shs,52.0,52.0,52.0,52.0,2200,1
1995-02-14,D,Windsor Machines Ord Shs,51.0,51.5,51.0,51.5,1400,0
1995-02-15,D,Windsor Machines Ord Shs,51.0,52.0,51.0,51.55,10400,0
1995-02-16,D,Windsor Machines Ord Shs,51.95,52.5,51.95,52.225,1200,0
1995-02-17,D,Windsor Machines Ord Shs,51.25,51.5,51.0,51.0,1000,0
1995-02-20,D,Windsor Machines Ord Shs,50.0,52.5,50.0,52.475,2800,0
1995-02-21,D,Windsor Machines Ord Shs,50.0,52.0,50.0,51.25,1200,0
1995-02-22,D,Windsor Machines Ord Shs,51.0,51.0,51.0,51.0,200,1
1995-02-28,D,Windsor Machines Ord Shs,50.5,50.5,50.5,50.5,200,1
1995-03-01,D,Windsor Machines Ord Shs,52.0,52.5,51.5,51.5,1000,0
1995-03-02,D,Windsor Machines Ord Shs,55.0,55.0,55.0,55.0,200,1
1995-03-08,D,Windsor Machines Ord Shs,57.5,57.5,56.125,56.125,400,0
1995-03-09,D,Windsor Machines Ord Shs,58.0,58.0,58.0,58.0,200,1
1995-03-10,D,Windsor Machines Ord Shs,61.25,61.35,61.25,61.35,1000,0
1995-03-13,D,Windsor Machines Ord Shs,61.25,61.25,59.25,59.25,1400,0
1995-03-14,D,Windsor Machines Ord Shs,58.75,60.0,58.75,59.975,2800,0
1995-03-15,D,Windsor Machines Ord Shs,60.0,60.0,60.0,60.0,400,1
1995-03-16,D,Windsor Machines Ord Shs,61.0,61.0,61.0,61.0,800,1
1995-03-20,D,Windsor Machines Ord Shs,62.5,62.5,61.25,61.875,1600,0
1995-03-21,D,Windsor Machines Ord Shs,61.0,62.5,61.0,62.0,2600,0
1995-03-22,D,Windsor Machines Ord Shs,62.5,62.5,62.5,62.5,200,1
1995-03-23,D,Windsor Machines Ord Shs,62.5,62.5,62.5,62.5,200,1
1995-03-27,D,Windsor Machines Ord Shs,61.75,62.5,61.75,62.25,1200,0
1995-03-28,D,Windsor Machines Ord Shs,62.525,62.525,62.525,62.525,400,1
