Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2014-05-09,D,Wonderla Holidays Ord Shs,160.0,168.0,152.2,157.8,3454392,0
2014-05-12,D,Wonderla Holidays Ord Shs,159.8,163.65,157.5,160.1,365222,0
2014-05-13,D,Wonderla Holidays Ord Shs,160.05,168.1,159.05,168.1,498789,0
2014-05-14,D,Wonderla Holidays Ord Shs,174.9,176.5,169.0,176.5,262239,0
2014-05-15,D,Wonderla Holidays Ord Shs,182.0,185.3,176.0,178.25,769972,0
2014-05-16,D,Wonderla Holidays Ord Shs,184.7,186.9,169.35,170.7,368799,0
2014-05-19,D,Wonderla Holidays Ord Shs,171.0,174.5,163.0,166.8,575598,0
2014-05-20,D,Wonderla Holidays Ord Shs,165.15,175.1,163.0,175.1,396483,0
2014-05-21,D,Wonderla Holidays Ord Shs,183.7,183.85,175.35,183.85,239704,0
2014-05-22,D,Wonderla Holidays Ord Shs,188.4,193.0,188.0,192.85,302617,0
2014-05-23,D,Wonderla Holidays Ord Shs,206.2,207.95,191.0,193.7,1066598,0
2014-05-26,D,Wonderla Holidays Ord Shs,195.0,206.9,184.0,193.85,902637,0
2014-05-27,D,Wonderla Holidays Ord Shs,194.6,223.0,187.0,215.7,2749751,0
2014-05-28,D,Wonderla Holidays Ord Shs,216.8,226.0,208.65,209.9,1248363,0
2014-05-29,D,Wonderla Holidays Ord Shs,214.5,221.4,205.65,212.6,969082,0
2014-05-30,D,Wonderla Holidays Ord Shs,214.8,216.75,202.5,203.95,471776,0
2014-06-02,D,Wonderla Holidays Ord Shs,204.85,204.9,196.0,201.05,464566,0
2014-06-03,D,Wonderla Holidays Ord Shs,203.45,209.65,200.15,203.95,309009,0
2014-06-04,D,Wonderla Holidays Ord Shs,204.95,206.7,198.15,200.05,226793,0
2014-06-05,D,Wonderla Holidays Ord Shs,201.0,202.95,198.5,200.3,296875,0
2014-06-06,D,Wonderla Holidays Ord Shs,203.65,219.0,200.0,212.85,1463552,0
2014-06-09,D,Wonderla Holidays Ord Shs,214.45,222.5,213.0,216.15,615591,0
2014-06-10,D,Wonderla Holidays Ord Shs,217.0,217.9,210.5,213.9,359634,0
2014-06-11,D,Wonderla Holidays Ord Shs,215.4,220.0,204.3,209.6,506516,0
2014-06-12,D,Wonderla Holidays Ord Shs,209.5,215.9,206.2,210.3,275639,0
2014-06-13,D,Wonderla Holidays Ord Shs,212.4,214.9,202.3,204.15,259361,0
2014-06-16,D,Wonderla Holidays Ord Shs,205.65,205.65,194.4,198.4,249029,0
2014-06-17,D,Wonderla Holidays Ord Shs,201.4,206.2,199.0,204.2,227130,0
2014-06-18,D,Wonderla Holidays Ord Shs,205.0,208.75,200.1,204.0,212023,0
2014-06-19,D,Wonderla Holidays Ord Shs,205.0,206.65,200.05,202.15,125214,0
2014-06-20,D,Wonderla Holidays Ord Shs,202.0,203.7,200.0,201.95,125540,0
2014-06-23,D,Wonderla Holidays Ord Shs,202.6,203.6,200.0,202.15,81191,0
2014-06-24,D,Wonderla Holidays Ord Shs,203.0,207.4,201.85,202.3,103816,0
2014-06-25,D,Wonderla Holidays Ord Shs,203.4,205.0,200.6,201.65,56455,0
2014-06-26,D,Wonderla Holidays Ord Shs,202.7,205.0,200.2,200.8,92395,0
2014-06-27,D,Wonderla Holidays Ord Shs,201.85,202.95,198.1,199.4,60656,0
2014-06-30,D,Wonderla Holidays Ord Shs,200.85,217.0,200.2,213.4,813777,0
2014-07-01,D,Wonderla Holidays Ord Shs,214.95,218.4,212.5,213.75,240257,0
2014-07-02,D,Wonderla Holidays Ord Shs,215.45,217.0,212.1,213.15,172607,0
2014-07-03,D,Wonderla Holidays Ord Shs,214.35,227.9,212.5,220.6,1115916,0
2014-07-04,D,Wonderla Holidays Ord Shs,222.6,242.4,220.6,238.9,1626900,0
2014-07-07,D,Wonderla Holidays Ord Shs,240.5,253.8,238.25,245.3,1084776,0
2014-07-08,D,Wonderla Holidays Ord Shs,245.9,245.9,220.1,223.2,422100,0
2014-07-09,D,Wonderla Holidays Ord Shs,224.3,225.5,213.0,215.8,290532,0
2014-07-10,D,Wonderla Holidays Ord Shs,215.2,233.0,209.0,221.2,366424,0
2014-07-11,D,Wonderla Holidays Ord Shs,222.8,227.0,213.0,215.2,200754,0
