Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-09-27,D,Worth Peripherals Ord Shs,51.6,51.6,51.6,51.6,186000,1
2017-09-28,D,Worth Peripherals Ord Shs,61.9,61.9,61.9,61.9,519000,1
2017-09-29,D,Worth Peripherals Ord Shs,73.45,74.25,60.55,71.3,3738000,0
2017-10-03,D,Worth Peripherals Ord Shs,74.2,83.75,73.0,83.15,747000,0
2017-10-04,D,Worth Peripherals Ord Shs,83.6,91.45,74.85,76.85,1533000,0
2017-10-05,D,Worth Peripherals Ord Shs,71.4,78.0,69.5,70.8,429000,0
2017-10-06,D,Worth Peripherals Ord Shs,71.95,77.85,71.95,77.3,378000,0
2017-10-09,D,Worth Peripherals Ord Shs,79.95,80.0,75.6,76.7,132000,0
2017-10-10,D,Worth Peripherals Ord Shs,77.95,77.95,73.5,73.75,117000,0
2017-10-11,D,Worth Peripherals Ord Shs,75.0,75.0,68.1,70.25,285000,0
2017-10-12,D,Worth Peripherals Ord Shs,70.8,73.9,70.8,72.2,54000,0
2017-10-13,D,Worth Peripherals Ord Shs,72.0,73.85,70.5,72.7,51000,0
2017-10-16,D,Worth Peripherals Ord Shs,73.2,73.2,69.2,71.2,36000,0
2017-10-17,D,Worth Peripherals Ord Shs,73.3,73.3,70.2,72.8,30000,0
2017-10-18,D,Worth Peripherals Ord Shs,73.3,73.3,70.1,71.6,33000,0
2017-10-19,D,Worth Peripherals Ord Shs,71.5,73.8,71.5,73.25,51000,0
2017-10-23,D,Worth Peripherals Ord Shs,75.95,79.0,75.95,77.95,132000,0
2017-10-24,D,Worth Peripherals Ord Shs,77.95,78.0,76.6,76.6,9000,0
2017-10-25,D,Worth Peripherals Ord Shs,75.4,75.4,71.85,72.7,57000,0
2017-10-26,D,Worth Peripherals Ord Shs,73.1,75.45,73.1,75.2,27000,0
2017-10-27,D,Worth Peripherals Ord Shs,73.0,73.85,72.25,72.4,27000,0
2017-10-30,D,Worth Peripherals Ord Shs,73.9,75.05,73.5,74.15,69000,0
2017-10-31,D,Worth Peripherals Ord Shs,76.5,77.0,75.1,76.25,63000,0
2017-11-01,D,Worth Peripherals Ord Shs,78.0,79.5,77.7,78.4,78000,0
2017-11-02,D,Worth Peripherals Ord Shs,86.0,86.0,79.8,81.65,252000,0
2017-11-03,D,Worth Peripherals Ord Shs,81.5,81.5,77.1,77.15,69000,0
2017-11-06,D,Worth Peripherals Ord Shs,76.55,76.55,72.4,72.9,120000,0
2017-11-07,D,Worth Peripherals Ord Shs,72.7,75.3,72.7,74.0,48000,0
2017-11-08,D,Worth Peripherals Ord Shs,74.25,78.8,74.25,77.95,72000,0
2017-11-09,D,Worth Peripherals Ord Shs,77.5,77.5,76.5,76.8,15000,0
2017-11-10,D,Worth Peripherals Ord Shs,76.8,80.0,76.8,79.0,57000,0
2017-11-13,D,Worth Peripherals Ord Shs,74.5,77.5,74.5,76.6,12000,0
2017-11-14,D,Worth Peripherals Ord Shs,79.9,81.4,78.5,80.6,78000,0
2017-11-15,D,Worth Peripherals Ord Shs,80.0,81.0,76.0,77.2,105000,0
2017-11-16,D,Worth Peripherals Ord Shs,79.6,80.8,78.0,79.5,75000,0
2017-11-17,D,Worth Peripherals Ord Shs,79.0,80.3,79.0,79.5,51000,0
2017-11-20,D,Worth Peripherals Ord Shs,80.0,84.7,80.0,84.2,141000,0
2017-11-21,D,Worth Peripherals Ord Shs,85.0,92.6,85.0,92.6,360000,0
2017-11-22,D,Worth Peripherals Ord Shs,99.45,99.45,90.0,92.35,258000,0
2017-11-23,D,Worth Peripherals Ord Shs,92.2,96.95,92.2,95.0,69000,0
2017-11-24,D,Worth Peripherals Ord Shs,96.0,97.0,93.0,93.8,27000,0
2017-11-27,D,Worth Peripherals Ord Shs,96.45,96.45,92.0,92.0,18000,0
2017-11-28,D,Worth Peripherals Ord Shs,93.0,94.9,93.0,94.7,15000,0
2017-11-29,D,Worth Peripherals Ord Shs,93.0,93.35,88.25,91.95,87000,0
2017-11-30,D,Worth Peripherals Ord Shs,90.8,101.1,90.75,101.05,228000,0
2017-12-01,D,Worth Peripherals Ord Shs,106.7,109.95,101.2,103.2,135000,0
2017-12-04,D,Worth Peripherals Ord Shs,98.0,102.0,97.0,102.0,15000,0
2017-12-05,D,Worth Peripherals Ord Shs,98.75,98.75,98.5,98.6,6000,0
2017-12-06,D,Worth Peripherals Ord Shs,95.0,98.5,95.0,98.5,9000,0
2017-12-07,D,Worth Peripherals Ord Shs,96.2,100.0,96.2,98.1,33000,0
2017-12-08,D,Worth Peripherals Ord Shs,103.0,105.0,102.0,104.5,39000,0
2017-12-11,D,Worth Peripherals Ord Shs,108.6,108.6,102.0,102.0,21000,0
2017-12-12,D,Worth Peripherals Ord Shs,100.1,100.1,99.0,99.5,12000,0
2017-12-13,D,Worth Peripherals Ord Shs,101.0,102.9,101.0,101.95,6000,0
2017-12-14,D,Worth Peripherals Ord Shs,99.0,99.0,96.0,96.0,9000,0
