Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-01-10,D,Zee Media Corporation Ord Shs,16.96162,16.96162,6.38443,6.527365,16042771,0
2007-01-11,D,Zee Media Corporation Ord Shs,6.57501,7.003815,5.745987,5.993741,10034178,0
2007-01-12,D,Zee Media Corporation Ord Shs,6.174792,6.174792,5.650697,5.679284,3933807,0
2007-01-15,D,Zee Media Corporation Ord Shs,5.793632,6.47972,5.641168,6.031857,7418356,0
2007-01-16,D,Zee Media Corporation Ord Shs,6.09856,6.403488,5.984212,6.298669,3997368,0
2007-01-17,D,Zee Media Corporation Ord Shs,6.460662,6.47972,6.270082,6.355843,3219884,0
2007-01-18,D,Zee Media Corporation Ord Shs,6.38443,6.613126,6.19385,6.270082,3922278,0
2007-01-19,D,Zee Media Corporation Ord Shs,6.346314,6.393959,6.174792,6.241495,1300011,0
2007-01-22,D,Zee Media Corporation Ord Shs,6.346314,6.346314,6.089031,6.117618,1351214,0
2007-01-23,D,Zee Media Corporation Ord Shs,6.146205,6.460662,6.089031,6.231966,2319056,0
2007-01-24,D,Zee Media Corporation Ord Shs,6.231966,6.28914,6.09856,6.146205,1188002,0
2007-01-25,D,Zee Media Corporation Ord Shs,6.212908,6.212908,6.022328,6.089031,1011753,0
2007-01-29,D,Zee Media Corporation Ord Shs,6.155734,6.38443,6.09856,6.308198,1557557,0
2007-01-31,D,Zee Media Corporation Ord Shs,6.432075,6.565481,6.317727,6.346314,1220901,0
2007-02-01,D,Zee Media Corporation Ord Shs,6.38443,6.441604,6.270082,6.346314,980520,0
2007-02-02,D,Zee Media Corporation Ord Shs,6.422546,6.746532,6.308198,6.57501,2843161,0
2007-02-05,D,Zee Media Corporation Ord Shs,6.660771,7.318272,6.622655,6.95617,7915106,0
2007-02-06,D,Zee Media Corporation Ord Shs,7.05146,7.261098,6.95617,7.041931,3310568,0
2007-02-07,D,Zee Media Corporation Ord Shs,7.175337,7.175337,6.95617,7.013344,1387885,0
2007-02-08,D,Zee Media Corporation Ord Shs,7.05146,7.413562,6.95617,7.156279,3378606,0
2007-02-09,D,Zee Media Corporation Ord Shs,7.165808,7.184866,6.784648,6.86088,1298091,0
2007-02-12,D,Zee Media Corporation Ord Shs,6.689358,6.832293,6.089031,6.546423,1977001,0
2007-02-13,D,Zee Media Corporation Ord Shs,6.632184,6.898996,6.393959,6.651242,1702354,0
2007-02-14,D,Zee Media Corporation Ord Shs,6.6703,6.708416,5.726929,6.365372,1976718,0
2007-02-15,D,Zee Media Corporation Ord Shs,6.403488,7.05146,6.403488,6.851351,2249862,0
2007-02-19,D,Zee Media Corporation Ord Shs,6.86088,8.223527,6.86088,8.185411,22505368,0
2007-02-20,D,Zee Media Corporation Ord Shs,8.433165,8.433165,7.375446,7.499323,8156621,0
2007-02-21,D,Zee Media Corporation Ord Shs,7.499323,8.261643,7.346859,7.851896,11031632,0
2007-02-22,D,Zee Media Corporation Ord Shs,7.861425,8.747622,7.680374,8.38552,18352972,0
2007-02-23,D,Zee Media Corporation Ord Shs,8.38552,8.471281,7.804251,7.880483,7179552,0
2007-02-26,D,Zee Media Corporation Ord Shs,8.00436,8.213998,7.604142,7.861425,4970250,0
2007-02-27,D,Zee Media Corporation Ord Shs,7.90907,8.090121,7.804251,7.823309,3146305,0
2007-02-28,D,Zee Media Corporation Ord Shs,7.24204,7.785193,6.717945,7.518381,2247890,0
2007-03-01,D,Zee Media Corporation Ord Shs,7.52791,7.81378,7.384975,7.518381,1817853,0
2007-03-02,D,Zee Media Corporation Ord Shs,7.52791,8.080592,7.394504,7.480265,3585675,0
2007-03-05,D,Zee Media Corporation Ord Shs,7.24204,7.394504,6.546423,6.984757,2482058,0
2007-03-06,D,Zee Media Corporation Ord Shs,7.194395,7.985302,6.879938,6.984757,2093101,0
2007-03-07,D,Zee Media Corporation Ord Shs,7.099105,7.175337,6.527365,6.57501,2315663,0
2007-03-08,D,Zee Media Corporation Ord Shs,6.622655,7.280156,6.403488,7.108634,2938199,0
2007-03-09,D,Zee Media Corporation Ord Shs,7.280156,7.280156,6.937112,7.089576,2551651,0
2007-03-12,D,Zee Media Corporation Ord Shs,7.213453,7.213453,6.889467,7.003815,987922,0
2007-03-13,D,Zee Media Corporation Ord Shs,7.05146,7.175337,6.946641,7.032402,1004489,0
2007-03-14,D,Zee Media Corporation Ord Shs,6.689358,6.927583,6.689358,6.851351,950678,0
2007-03-15,D,Zee Media Corporation Ord Shs,7.127692,7.394504,6.908525,6.95617,1854524,0
2007-03-16,D,Zee Media Corporation Ord Shs,6.965699,7.127692,6.76559,6.822764,1007411,0
2007-03-19,D,Zee Media Corporation Ord Shs,6.908525,7.022873,6.851351,6.937112,657175,0
2007-03-20,D,Zee Media Corporation Ord Shs,7.013344,7.118163,6.95617,6.975228,602405,0
2007-03-21,D,Zee Media Corporation Ord Shs,7.05146,7.05146,6.95617,7.003815,444866,0
2007-03-22,D,Zee Media Corporation Ord Shs,7.099105,7.156279,7.013344,7.099105,742425,1
2007-03-23,D,Zee Media Corporation Ord Shs,7.14675,7.222982,7.003815,7.041931,709543,0
2007-03-26,D,Zee Media Corporation Ord Shs,7.099105,7.099105,6.937112,7.041931,652461,0
2007-03-28,D,Zee Media Corporation Ord Shs,7.003815,7.060989,6.889467,6.95617,357326,0
2007-03-29,D,Zee Media Corporation Ord Shs,6.984757,7.394504,6.95617,7.222982,698850,0
2007-03-30,D,Zee Media Corporation Ord Shs,7.289685,7.689903,7.289685,7.394504,1667464,0
2007-04-02,D,Zee Media Corporation Ord Shs,7.222982,7.222982,7.013344,7.060989,516446,0
2007-04-03,D,Zee Media Corporation Ord Shs,7.05146,7.327801,7.05146,7.24204,717802,0
2007-04-04,D,Zee Media Corporation Ord Shs,7.423091,7.556497,7.251569,7.33733,797941,0
2007-04-05,D,Zee Media Corporation Ord Shs,7.394504,7.394504,6.984757,7.184866,583727,0
2007-04-09,D,Zee Media Corporation Ord Shs,7.05146,7.6232,7.05146,7.537439,1105965,0
2007-04-10,D,Zee Media Corporation Ord Shs,7.566026,8.032947,7.33733,7.975773,2407865,0
2007-04-11,D,Zee Media Corporation Ord Shs,7.947186,8.156824,7.680374,7.737548,1779101,0
2007-04-12,D,Zee Media Corporation Ord Shs,7.43262,7.966244,7.43262,7.728019,777905,0
2007-04-13,D,Zee Media Corporation Ord Shs,7.642258,7.947186,7.642258,7.747077,652827,0
2007-04-16,D,Zee Media Corporation Ord Shs,7.870954,7.90907,7.71849,7.747077,504703,0
2007-04-17,D,Zee Media Corporation Ord Shs,7.823309,7.90907,7.642258,7.680374,503668,0
2007-04-18,D,Zee Media Corporation Ord Shs,7.71849,7.823309,7.537439,7.556497,491164,0
2007-04-19,D,Zee Media Corporation Ord Shs,7.52791,7.71849,7.43262,7.585084,468556,0
2007-04-20,D,Zee Media Corporation Ord Shs,7.6232,7.985302,7.6232,7.728019,1061007,0
2007-04-23,D,Zee Media Corporation Ord Shs,7.728019,7.90907,7.461207,7.670845,728353,0
2007-04-24,D,Zee Media Corporation Ord Shs,7.6232,8.00436,7.546968,7.604142,403682,0
2007-04-25,D,Zee Media Corporation Ord Shs,7.6232,7.851896,7.546968,7.689903,559579,0
2007-04-26,D,Zee Media Corporation Ord Shs,7.756606,7.81378,7.508852,7.556497,481500,0
2007-04-27,D,Zee Media Corporation Ord Shs,7.566026,7.766135,7.43262,7.670845,653246,0
2007-04-30,D,Zee Media Corporation Ord Shs,7.604142,7.766135,7.546968,7.6232,458429,0
2007-05-03,D,Zee Media Corporation Ord Shs,7.6232,7.766135,7.594613,7.613671,485574,0
2007-05-04,D,Zee Media Corporation Ord Shs,7.661316,7.699432,7.52791,7.6232,489844,0
2007-05-07,D,Zee Media Corporation Ord Shs,7.6232,8.356933,7.6232,7.928128,6001907,0
2007-05-08,D,Zee Media Corporation Ord Shs,8.061534,8.271172,7.870954,7.918599,2458606,0
2007-05-09,D,Zee Media Corporation Ord Shs,7.994831,8.061534,7.775664,7.870954,972942,0
2007-05-10,D,Zee Media Corporation Ord Shs,7.966244,8.080592,7.870954,7.947186,1015356,0
2007-05-11,D,Zee Media Corporation Ord Shs,7.81378,8.118708,7.680374,7.985302,1265288,0
2007-05-14,D,Zee Media Corporation Ord Shs,8.156824,8.156824,7.985302,8.071063,722728,0
2007-05-15,D,Zee Media Corporation Ord Shs,8.071063,8.518926,8.00436,8.337875,3759407,0
2007-05-16,D,Zee Media Corporation Ord Shs,8.38552,9.033492,8.299759,8.900086,6789904,0
2007-05-17,D,Zee Media Corporation Ord Shs,8.976318,9.119253,8.595158,8.699977,2634460,0
2007-05-18,D,Zee Media Corporation Ord Shs,8.690448,8.995376,8.48081,8.76668,2314321,0
2007-05-21,D,Zee Media Corporation Ord Shs,8.86197,9.224072,8.86197,8.928673,2913714,0
2007-05-22,D,Zee Media Corporation Ord Shs,9.100195,9.690993,8.871499,9.586174,7858822,0
2007-05-23,D,Zee Media Corporation Ord Shs,9.71958,9.795812,9.071608,9.176427,4926969,0
2007-05-24,D,Zee Media Corporation Ord Shs,9.224072,9.376536,8.995376,9.062079,1893882,0
2007-05-25,D,Zee Media Corporation Ord Shs,8.86197,9.33842,8.804796,9.24313,1473942,0
2007-05-28,D,Zee Media Corporation Ord Shs,9.214543,9.643348,9.214543,9.395594,2936448,0
2007-05-29,D,Zee Media Corporation Ord Shs,9.490884,9.490884,9.262188,9.300304,1009376,0
2007-05-30,D,Zee Media Corporation Ord Shs,9.14784,9.471826,9.062079,9.100195,978996,0
2007-05-31,D,Zee Media Corporation Ord Shs,9.176427,9.271717,8.985847,9.081137,681068,0
2007-06-01,D,Zee Media Corporation Ord Shs,9.195485,9.281246,8.699977,8.871499,769005,0
2007-06-04,D,Zee Media Corporation Ord Shs,8.985847,9.023963,8.690448,8.738093,625888,0
2007-06-05,D,Zee Media Corporation Ord Shs,8.76668,8.86197,8.633274,8.804796,596970,0
2007-06-06,D,Zee Media Corporation Ord Shs,8.699977,8.804796,8.509397,8.557042,566448,0
2007-06-07,D,Zee Media Corporation Ord Shs,8.537984,8.661861,8.38552,8.442694,605121,0
2007-06-08,D,Zee Media Corporation Ord Shs,8.109179,8.528455,8.109179,8.404578,569239,0
2007-06-11,D,Zee Media Corporation Ord Shs,8.461752,8.67139,8.318817,8.366462,519480,0
