Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-11-25,D,Zim Laboratories Ord Shs,336.0,339.5,330.15,336.4,34653,0
2022-11-28,D,Zim Laboratories Ord Shs,336.4,336.4,321.1,326.1,7039,0
2022-11-29,D,Zim Laboratories Ord Shs,318.0,328.8,318.0,320.95,2896,0
2022-11-30,D,Zim Laboratories Ord Shs,321.9,325.0,311.1,315.75,6266,0
2022-12-01,D,Zim Laboratories Ord Shs,305.0,320.05,300.0,317.55,7010,0
2022-12-02,D,Zim Laboratories Ord Shs,328.75,328.75,316.6,323.4,4674,0
2022-12-05,D,Zim Laboratories Ord Shs,327.95,330.35,309.6,320.95,9391,0
2022-12-06,D,Zim Laboratories Ord Shs,310.3,327.0,310.3,324.0,7039,0
2022-12-07,D,Zim Laboratories Ord Shs,319.6,322.0,316.25,320.8,2922,0
2022-12-08,D,Zim Laboratories Ord Shs,317.25,330.0,312.05,320.4,4315,0
2022-12-09,D,Zim Laboratories Ord Shs,327.35,327.95,311.0,320.15,3025,0
2022-12-12,D,Zim Laboratories Ord Shs,329.9,336.15,325.5,331.5,25757,0
2022-12-13,D,Zim Laboratories Ord Shs,334.95,348.05,325.05,346.3,57448,0
2022-12-14,D,Zim Laboratories Ord Shs,357.0,362.45,347.5,350.3,27168,0
2022-12-15,D,Zim Laboratories Ord Shs,358.9,358.9,334.2,342.15,17719,0
2022-12-16,D,Zim Laboratories Ord Shs,346.5,358.0,337.7,355.35,14446,0
2022-12-19,D,Zim Laboratories Ord Shs,373.05,373.05,337.6,341.4,60175,0
2022-12-20,D,Zim Laboratories Ord Shs,337.6,350.0,325.1,340.4,26443,0
2022-12-21,D,Zim Laboratories Ord Shs,340.6,349.0,325.25,331.8,22924,0
2022-12-22,D,Zim Laboratories Ord Shs,110.1,116.1,110.1,116.05,88301,0
2022-12-23,D,Zim Laboratories Ord Shs,116.05,116.05,110.25,110.25,18168,0
2022-12-26,D,Zim Laboratories Ord Shs,110.25,110.25,104.75,105.8,9952,0
2022-12-27,D,Zim Laboratories Ord Shs,106.0,108.0,102.0,103.55,10531,0
2022-12-28,D,Zim Laboratories Ord Shs,106.9,106.9,102.0,105.5,8332,0
2022-12-29,D,Zim Laboratories Ord Shs,105.0,105.0,102.0,102.25,16630,0
2022-12-30,D,Zim Laboratories Ord Shs,102.2,103.95,97.15,97.2,41782,0
2023-01-02,D,Zim Laboratories Ord Shs,97.2,100.0,97.2,98.85,15543,0
2023-01-03,D,Zim Laboratories Ord Shs,98.5,102.15,97.0,98.65,11090,0
2023-01-04,D,Zim Laboratories Ord Shs,99.95,99.95,97.0,97.45,8785,0
2023-01-05,D,Zim Laboratories Ord Shs,97.45,97.45,94.25,94.8,11173,0
2023-01-06,D,Zim Laboratories Ord Shs,95.0,96.0,93.25,94.8,9125,0
2023-01-09,D,Zim Laboratories Ord Shs,94.8,95.0,90.1,91.25,22802,0
2023-01-10,D,Zim Laboratories Ord Shs,91.2,91.2,88.75,89.85,9476,0
2023-01-11,D,Zim Laboratories Ord Shs,89.05,94.3,86.65,92.95,23381,0
2023-01-12,D,Zim Laboratories Ord Shs,92.95,96.15,92.65,94.4,8962,0
2023-01-13,D,Zim Laboratories Ord Shs,94.3,95.45,90.0,91.85,10710,0
2023-01-16,D,Zim Laboratories Ord Shs,91.85,95.55,89.7,91.0,7050,0
2023-01-17,D,Zim Laboratories Ord Shs,91.9,91.9,86.5,89.3,8597,0
2023-01-18,D,Zim Laboratories Ord Shs,89.3,91.4,85.5,88.0,14170,0
2023-01-19,D,Zim Laboratories Ord Shs,87.9,87.9,86.5,86.6,8177,0
2023-01-20,D,Zim Laboratories Ord Shs,86.1,88.45,86.1,87.85,6675,0
2023-01-23,D,Zim Laboratories Ord Shs,89.25,89.45,88.0,89.1,5492,0
2023-01-24,D,Zim Laboratories Ord Shs,88.05,90.25,86.2,87.5,13624,0
2023-01-25,D,Zim Laboratories Ord Shs,89.4,89.4,83.25,84.8,9697,0
2023-01-27,D,Zim Laboratories Ord Shs,85.45,85.45,81.0,83.2,7599,0
2023-01-30,D,Zim Laboratories Ord Shs,82.95,83.0,81.2,81.6,28695,0
2023-01-31,D,Zim Laboratories Ord Shs,81.65,84.55,81.55,83.4,10705,0
2023-02-01,D,Zim Laboratories Ord Shs,84.45,86.0,83.45,84.45,12408,1
2023-02-02,D,Zim Laboratories Ord Shs,85.55,85.55,81.0,81.45,13410,0
2023-02-03,D,Zim Laboratories Ord Shs,80.3,83.1,78.0,82.55,14286,0
2023-02-06,D,Zim Laboratories Ord Shs,85.8,86.6,79.0,83.3,25426,0
2023-02-07,D,Zim Laboratories Ord Shs,82.05,84.65,80.0,80.45,10728,0
2023-02-08,D,Zim Laboratories Ord Shs,81.35,83.45,81.0,82.0,9457,0
2023-02-09,D,Zim Laboratories Ord Shs,82.95,82.95,80.15,80.2,6066,0
2023-02-10,D,Zim Laboratories Ord Shs,80.7,81.4,78.0,79.75,3532,0
2023-02-13,D,Zim Laboratories Ord Shs,81.35,81.35,79.0,79.5,2819,0
2023-02-14,D,Zim Laboratories Ord Shs,79.55,82.1,79.45,81.1,3626,0
