Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2000-04-27,D,Zydus Lifesciences Ord Shs,10.726348,11.291059,7.987974,8.211966,11917494.139711,0
2000-04-28,D,Zydus Lifesciences Ord Shs,8.211966,8.511673,7.555766,7.555766,4056748.005142,0
2000-05-02,D,Zydus Lifesciences Ord Shs,7.098319,7.098319,6.953197,6.953197,839999.58694,0
2000-05-03,D,Zydus Lifesciences Ord Shs,6.41057,7.508444,6.397951,6.492595,10210494.979108,0
2000-05-04,D,Zydus Lifesciences Ord Shs,6.858553,7.013139,6.858553,7.013139,6623246.743096,0
2000-05-05,D,Zydus Lifesciences Ord Shs,7.568385,7.574695,7.256059,7.574695,2548498.746805,0
2000-05-08,D,Zydus Lifesciences Ord Shs,8.180418,8.180418,8.180418,8.180418,266999.868706,1
2000-05-09,D,Zydus Lifesciences Ord Shs,8.836618,8.836618,7.6441,8.836618,7616996.254431,1
2000-05-10,D,Zydus Lifesciences Ord Shs,9.338232,9.543295,9.085848,9.543295,2604748.719145,0
2000-05-11,D,Zydus Lifesciences Ord Shs,10.095386,10.306759,9.035371,10.193185,12472493.866797,0
2000-05-12,D,Zydus Lifesciences Ord Shs,10.597001,10.85254,9.590617,9.719964,6209246.946675,0
2000-05-15,D,Zydus Lifesciences Ord Shs,9.527521,10.477118,8.943881,10.300449,6575246.766699,0
2000-05-16,D,Zydus Lifesciences Ord Shs,10.379319,10.600156,9.779906,10.300449,3891748.086278,0
2000-05-17,D,Zydus Lifesciences Ord Shs,10.473963,10.783135,10.284675,10.44557,3723748.16889,0
2000-05-18,D,Zydus Lifesciences Ord Shs,10.410867,10.581227,9.78306,9.95342,3846748.108407,0
2000-05-19,D,Zydus Lifesciences Ord Shs,9.843002,10.751586,9.672642,10.606465,9990745.087168,0
2000-05-22,D,Zydus Lifesciences Ord Shs,10.720038,11.010281,10.284675,10.612775,3574498.242282,0
2000-05-23,D,Zydus Lifesciences Ord Shs,10.53706,10.68849,9.906098,10.007052,3477748.289858,0
2000-05-24,D,Zydus Lifesciences Ord Shs,9.906098,10.473963,9.79568,10.095386,1017749.499534,0
2000-05-25,D,Zydus Lifesciences Ord Shs,10.215269,10.505511,9.94711,10.057529,1254749.382992,0
2000-05-26,D,Zydus Lifesciences Ord Shs,10.347771,10.385629,10.03229,10.092232,708749.651481,0
2000-05-29,D,Zydus Lifesciences Ord Shs,10.155328,10.473963,10.048064,10.410867,1421999.300748,0
2000-05-30,D,Zydus Lifesciences Ord Shs,10.354081,11.243737,10.256282,10.94403,1164749.427248,0
2000-05-31,D,Zydus Lifesciences Ord Shs,11.672791,11.821066,11.168021,11.814757,2304748.866667,0
2000-06-01,D,Zydus Lifesciences Ord Shs,12.114464,12.114464,11.483502,11.723267,1037999.489576,0
2000-06-02,D,Zydus Lifesciences Ord Shs,11.988271,12.363694,11.735887,12.168095,1234499.392949,0
2000-06-05,D,Zydus Lifesciences Ord Shs,12.423635,13.124002,12.051367,12.26274,1180499.419503,0
2000-06-06,D,Zydus Lifesciences Ord Shs,12.556137,13.187098,11.991426,13.019894,1756499.136262,0
2000-06-07,D,Zydus Lifesciences Ord Shs,13.360613,14.032587,13.187098,13.969491,1966499.032997,0
2000-06-08,D,Zydus Lifesciences Ord Shs,14.187173,15.086293,14.187173,14.628846,2030999.00128,0
2000-06-09,D,Zydus Lifesciences Ord Shs,13.881156,14.764503,13.458412,13.581449,2228998.903916,0
2000-06-12,D,Zydus Lifesciences Ord Shs,13.754964,14.322829,12.496195,12.496195,1356749.332834,0
2000-06-13,D,Zydus Lifesciences Ord Shs,11.675945,12.17756,11.565527,11.858924,1447499.288209,0
2000-06-14,D,Zydus Lifesciences Ord Shs,12.606614,12.789593,12.114464,12.600304,1365749.328409,0
2000-06-15,D,Zydus Lifesciences Ord Shs,12.366848,12.612923,11.742196,12.234346,718499.646686,0
2000-06-16,D,Zydus Lifesciences Ord Shs,12.240656,12.493041,11.988271,12.464647,616499.696843,0
2000-06-19,D,Zydus Lifesciences Ord Shs,12.934714,12.99781,12.303752,12.442564,2407498.816141,0
2000-06-20,D,Zydus Lifesciences Ord Shs,12.619233,13.026203,12.385777,12.587685,3417748.319362,0
2000-06-21,D,Zydus Lifesciences Ord Shs,13.026203,13.026203,11.988271,12.067142,1979249.026727,0
2000-06-22,D,Zydus Lifesciences Ord Shs,12.089225,12.240656,11.6791,11.798983,749249.631565,0
2000-06-23,D,Zydus Lifesciences Ord Shs,11.609694,11.767435,11.104925,11.205879,685499.662914,0
2000-06-26,D,Zydus Lifesciences Ord Shs,10.789444,11.104925,10.480273,10.770515,791999.610543,0
2000-06-27,D,Zydus Lifesciences Ord Shs,11.294214,11.294214,10.28783,10.436106,1083749.467079,0
2000-06-28,D,Zydus Lifesciences Ord Shs,10.53706,10.909327,10.426641,10.679026,1335749.343161,0
2000-06-29,D,Zydus Lifesciences Ord Shs,10.896708,10.959804,10.546524,10.590691,1212749.403645,0
2000-06-30,D,Zydus Lifesciences Ord Shs,10.6948,10.6948,10.347771,10.391938,509999.749214,0
2000-07-03,D,Zydus Lifesciences Ord Shs,10.499202,10.600156,10.363545,10.480273,344999.83035,0
2000-07-04,D,Zydus Lifesciences Ord Shs,10.473963,10.52444,10.158483,10.205805,1152749.433149,0
2000-07-05,D,Zydus Lifesciences Ord Shs,10.410867,11.0229,10.28152,10.93772,3017248.516303,0
2000-07-06,D,Zydus Lifesciences Ord Shs,10.978733,11.287904,10.789444,10.839921,1552499.236577,0
2000-07-07,D,Zydus Lifesciences Ord Shs,10.729503,10.912482,10.03229,10.341461,2888998.579369,0
2000-07-10,D,Zydus Lifesciences Ord Shs,10.284675,10.410867,10.221579,10.27521,563999.72266,0
2000-07-11,D,Zydus Lifesciences Ord Shs,10.347771,10.347771,10.013361,10.089077,1556249.234733,0
2000-07-12,D,Zydus Lifesciences Ord Shs,10.221579,10.464499,10.164792,10.347771,623999.693155,0
2000-07-13,D,Zydus Lifesciences Ord Shs,10.410867,10.568608,10.300449,10.379319,499499.754377,0
2000-07-14,D,Zydus Lifesciences Ord Shs,10.600156,10.600156,9.969194,10.158483,815999.598742,0
2000-07-17,D,Zydus Lifesciences Ord Shs,10.284675,10.347771,10.126934,10.171102,619499.695368,0
2000-07-18,D,Zydus Lifesciences Ord Shs,10.066993,10.158483,9.906098,9.994433,1085999.465972,0
2000-07-19,D,Zydus Lifesciences Ord Shs,10.155328,10.331997,10.03229,10.060683,731114.640483,0
2000-07-20,D,Zydus Lifesciences Ord Shs,9.912408,10.016516,9.656868,9.899788,518639.744965,0
2000-07-21,D,Zydus Lifesciences Ord Shs,10.013361,10.025981,9.464425,9.533831,684689.663312,0
2000-07-24,D,Zydus Lifesciences Ord Shs,8.833463,9.464425,8.773522,8.773522,459104.774241,0
2000-07-25,D,Zydus Lifesciences Ord Shs,8.265598,8.770367,8.076309,8.458041,1837469.096446,0
2000-07-26,D,Zydus Lifesciences Ord Shs,8.817689,9.136325,8.770367,9.136325,317849.843701,0
